station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
-2.0, None, None, None, None, 1976-12-18 08:00:00, None
-12.0, None, None, None, None, 1976-12-19 08:00:00, None
-7.0, None, None, None, None, 1976-12-28 08:00:00, None
-15.0, None, None, None, None, 1977-01-03 15:00:00, None
-21.0, None, None, None, None, 1977-01-04 08:00:00, None
-25.0, None, None, None, None, 1977-01-05 08:00:00, None
-22.0, None, None, None, None, 1977-01-06 08:00:00, None
-18.0, None, None, None, None, 1977-01-07 08:00:00, None
-22.0, None, None, None, None, 1977-01-08 08:00:00, None
-16.0, None, None, None, None, 1977-01-08 15:00:00, None
-10.0, None, None, None, None, 1977-01-09 08:00:00, None
-10.0, None, None, None, None, 1977-01-09 16:00:00, None
-12.0, None, None, None, None, 1977-01-10 08:00:00, None
-16.0, None, None, None, None, 1977-01-10 15:00:00, None
-18.0, None, None, None, None, 1977-01-11 08:00:00, None
-12.0, None, None, None, None, 1977-01-11 16:00:00, None
-11.0, None, 25.0, None, None, 1977-01-12 08:00:00, None
-8.0, None, None, None, None, 1977-01-12 16:00:00, None
-9.0, None, 3.0, None, None, 1977-01-14 08:00:00, None
-2.0, None, None, None, None, 1977-01-14 15:00:00, None
-5.0, None, None, None, None, 1977-01-15 08:00:00, None
-5.0, None, None, None, None, 1977-01-15 15:00:00, None
-6.0, None, None, None, None, 1977-01-16 08:00:00, None
-4.0, None, None, None, None, 1977-01-16 15:00:00, None
-2.0, None, 5.0, None, None, 1977-01-17 08:00:00, None
0.0, None, None, None, None, 1977-01-18 08:00:00, None
2.0, None, None, None, None, 1977-01-18 21:00:00, None
-2.0, None, None, None, None, 1977-01-19 08:00:00, None
-1.0, None, None, None, None, 1977-01-19 21:00:00, None
-5.0, None, None, None, None, 1977-01-20 21:00:00, None
-10.0, None, None, None, None, 1977-01-21 08:00:00, None
-3.0, None, None, None, None, 1977-01-21 21:00:00, None
-5.0, None, None, None, None, 1977-01-22 16:00:00, None
-8.0, None, None, None, None, 1977-01-23 16:00:00, None
-10.0, None, None, None, None, 1977-01-24 08:00:00, None
-8.0, None, None, None, None, 1977-01-24 16:00:00, None
-20.0, None, None, None, None, 1977-01-25 08:00:00, None
-16.0, None, None, None, None, 1977-01-25 21:00:00, None
-11.0, None, None, None, None, 1977-01-26 08:00:00, None
-14.0, None, None, None, None, 1977-01-26 21:00:00, None
-8.0, None, None, None, None, 1977-01-27 08:00:00, None
-5.0, None, None, None, None, 1977-01-27 21:00:00, None
-10.0, None, None, None, None, 1977-01-28 08:00:00, None
-14.0, None, None, None, None, 1977-01-29 16:00:00, None
-14.0, None, None, None, None, 1977-01-30 08:00:00, None
-10.0, None, None, None, None, 1977-01-30 16:00:00, None
-13.0, None, None, None, None, 1977-01-31 08:00:00, None
-6.0, None, None, None, None, 1977-02-01 08:00:00, None
-5.0, None, None, None, None, 1977-02-01 21:00:00, None
-8.0, None, None, None, None, 1977-02-02 08:00:00, None
-8.0, None, None, None, None, 1977-02-03 08:00:00, None
-2.0, None, None, None, None, 1977-02-03 16:00:00, None
-8.0, None, None, None, None, 1977-02-04 08:00:00, None
0.0, None, None, None, None, 1977-02-04 16:00:00, None
-2.0, None, None, None, None, 1977-02-05 16:00:00, None
2.0, None, None, None, None, 1977-02-06 16:00:00, None
-5.0, None, None, None, None, 1977-02-07 08:00:00, None
-3.0, None, None, None, None, 1977-02-07 21:00:00, None
-9.0, None, None, None, None, 1977-02-08 08:00:00, None
-1.0, None, None, None, None, 1977-02-08 16:00:00, None
-4.0, None, None, None, None, 1977-02-09 08:00:00, None
2.0, None, None, None, None, 1977-02-09 16:00:00, None
0.0, None, 3.0, None, None, 1977-02-10 08:00:00, None
3.0, None, None, None, None, 1977-02-10 21:00:00, None
-2.0, None, None, None, None, 1977-02-11 08:00:00, None
0.0, None, None, None, None, 1977-02-11 16:00:00, None
3.0, None, None, None, None, 1977-02-12 08:00:00, None
6.0, None, None, None, None, 1977-02-12 16:00:00, None
3.0, None, None, None, None, 1977-02-13 15:00:00, None
-10.0, None, None, None, None, 1977-02-14 08:00:00, None
-1.0, None, None, None, None, 1977-02-14 21:00:00, None
-5.0, None, None, None, None, 1977-02-15 08:00:00, None
4.0, None, None, None, None, 1977-02-15 16:00:00, None
-4.0, None, None, None, None, 1977-02-16 08:00:00, None
2.0, None, None, None, None, 1977-02-16 21:00:00, None
-6.0, None, None, None, None, 1977-02-17 08:00:00, 14.0
1.0, None, None, None, None, 1977-02-17 21:00:00, None
-8.0, None, None, None, None, 1977-02-18 08:00:00, 12.0
-4.0, None, None, None, None, 1977-02-18 21:00:00, None
2.0, None, None, None, None, 1977-02-19 16:00:00, None
2.0, None, None, None, None, 1977-02-20 16:00:00, None
-4.0, None, None, None, None, 1977-02-21 08:00:00, 14.0
2.0, None, None, None, None, 1977-02-21 21:00:00, None
0.0, None, 2.0, None, None, 1977-02-22 08:00:00, 14.0
2.0, None, None, None, None, 1977-02-22 21:00:00, None
0.0, None, None, None, None, 1977-02-23 08:00:00, None
-1.0, None, None, None, None, 1977-02-23 21:00:00, 15.0
-11.0, None, None, None, None, 1977-02-24 08:00:00, 14.0
2.0, None, None, None, None, 1977-02-24 21:00:00, 15.0
-1.0, None, None, None, None, 1977-02-25 21:00:00, 15.0
2.0, None, None, None, None, 1977-02-26 16:00:00, None
2.0, None, None, None, None, 1977-02-27 16:00:00, None
0.0, None, None, None, None, 1977-02-28 08:00:00, 0.0
3.0, None, None, None, None, 1977-02-28 16:00:00, 0.0
0.0, None, 3.0, None, None, 1977-03-01 08:00:00, 3.0
3.0, None, None, None, None, 1977-03-01 21:00:00, 0.0
-5.0, None, None, None, None, 1977-03-02 08:00:00, 0.0
4.0, None, None, None, None, 1977-03-02 16:00:00, 0.0
-4.0, None, None, None, None, 1977-03-03 08:00:00, 0.0
-7.0, None, None, None, None, 1977-03-04 08:00:00, 0.0
4.0, None, None, None, None, 1977-03-04 21:00:00, 0.0
-1.0, None, None, None, None, 1977-03-07 08:00:00, 0.0
7.0, None, None, None, None, 1977-03-07 21:00:00, 0.0
None, None, None, None, None, 1977-03-08 16:00:00, 0.0
-1.0, None, None, None, None, 1977-03-09 08:00:00, 0.0
6.0, None, None, None, None, 1977-03-09 21:00:00, 0.0
-2.0, None, None, None, None, 1977-03-10 08:00:00, 0.0
2.0, None, None, None, None, 1977-03-10 21:00:00, 0.0
6.0, None, None, None, None, 1977-03-11 21:00:00, 0.0
0.0, None, None, None, None, 1977-03-12 16:00:00, 0.0
None, None, 15.0, None, None, 1977-03-13 08:00:00, 15.0
-6.0, None, None, None, None, 1977-03-14 08:00:00, None
-2.0, None, None, None, None, 1977-03-14 21:00:00, None
-3.0, None, None, None, None, 1977-03-15 08:00:00, None
0.0, None, None, None, None, 1977-03-15 21:00:00, None
-1.0, None, 10.0, None, None, 1977-03-16 08:00:00, None
-5.0, None, None, None, None, 1977-03-17 08:00:00, None
4.0, None, None, None, None, 1977-03-17 21:00:00, None
4.0, None, None, None, None, 1977-03-18 21:00:00, None
-5.0, None, None, None, None, 1977-03-21 08:00:00, None
5.0, None, None, None, None, 1977-03-21 21:00:00, None
