station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
2.0, None, None, None, None, None, None, 1974-04-30 06:45:00, None, None, None
-2.0, None, None, None, None, None, None, 1976-12-01 07:00:00, None, None, None
0.0, None, None, 1.0, None, None, None, 1976-12-02 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1976-12-03 07:00:00, None, None, None
-1.0, None, None, 35.0, None, None, None, 1976-12-06 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1976-12-07 07:00:00, None, None, None
-2.0, None, None, 3.0, None, None, None, 1976-12-08 07:00:00, None, None, 49.0
0.0, None, None, None, None, None, None, 1976-12-09 07:00:00, None, None, None
-2.0, None, None, 4.0, None, None, None, 1976-12-10 07:00:00, None, None, None
2.0, None, None, 10.0, None, None, None, 1976-12-12 07:00:00, None, None, None
-1.0, None, None, 10.0, None, None, None, 1976-12-13 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1976-12-14 07:00:00, None, None, None
-1.0, None, None, 7.0, None, None, None, 1976-12-15 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1976-12-16 07:00:00, None, None, None
-8.0, None, None, 2.0, None, None, None, 1976-12-17 07:00:00, None, None, None
-11.0, None, None, None, None, None, None, 1976-12-18 07:00:00, None, None, None
-3.0, None, None, 7.0, None, None, None, 1976-12-19 07:00:00, None, None, None
-3.0, None, None, 7.0, None, None, None, 1976-12-20 07:00:00, None, None, None
-3.0, None, None, 4.0, None, None, None, 1976-12-21 07:00:00, None, None, None
-2.0, None, None, 4.0, None, None, None, 1976-12-22 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1976-12-23 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1976-12-24 07:00:00, None, None, None
-3.0, None, None, 23.0, None, None, None, 1976-12-29 07:00:00, None, None, None
-6.0, None, None, None, None, None, None, 1976-12-30 07:00:00, None, None, None
-6.0, None, None, None, None, None, None, 1976-12-31 07:00:00, None, None, None
-13.0, None, None, None, None, None, None, 1977-01-04 07:00:00, None, None, None
-9.0, None, None, None, None, None, None, 1977-01-05 07:00:00, None, None, None
-6.0, None, None, None, None, None, None, 1977-01-06 07:00:00, None, None, None
-8.0, None, None, 7.0, None, None, None, 1977-01-07 07:00:00, None, None, None
-6.0, None, None, None, None, None, None, 1977-01-10 07:00:00, None, None, None
-5.0, None, None, 2.0, None, None, None, 1977-01-11 07:00:00, None, None, None
-13.0, None, None, None, None, None, None, 1977-01-12 07:00:00, None, None, None
-7.0, None, None, None, None, None, None, 1977-01-13 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1977-01-14 07:00:00, None, None, None
-1.0, None, None, 10.0, None, None, None, 1977-01-17 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1977-01-18 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1977-01-19 07:00:00, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-20 07:00:00, None, None, None
1.0, None, None, None, None, None, None, 1977-01-21 07:00:00, None, None, None
0.0, None, None, 2.0, None, None, None, 1977-01-24 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1977-01-25 07:00:00, None, None, None
-8.0, None, None, None, None, None, None, 1977-01-26 07:00:00, None, None, None
-8.0, None, None, None, None, None, None, 1977-01-27 07:00:00, None, None, None
-7.0, None, None, None, None, None, None, 1977-01-28 07:00:00, None, None, None
-2.0, None, None, 10.0, None, None, None, 1977-01-31 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-02-01 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-02-02 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-02-03 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-02-04 07:00:00, None, None, None
2.0, None, None, None, None, None, None, 1977-02-07 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-02-08 07:00:00, None, None, None
1.0, None, None, None, None, None, None, 1977-02-09 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1977-02-10 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1977-02-11 07:00:00, None, None, None
-1.0, None, None, 3.0, None, None, None, 1977-02-14 07:00:00, None, None, None
-1.0, None, None, 13.0, None, None, None, 1977-02-15 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-02-16 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-02-17 07:00:00, None, None, None
-1.0, None, None, 5.0, None, None, None, 1977-02-18 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1977-02-21 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1977-02-22 07:00:00, None, None, None
-1.0, None, None, None, None, None, None, 1977-02-23 07:00:00, None, None, None
-2.0, None, None, 2.0, None, None, None, 1977-02-24 07:00:00, None, None, None
-1.0, None, None, 1.0, None, None, None, 1977-02-25 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-02-28 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-01 07:00:00, None, None, None
-5.0, None, None, None, None, None, None, 1977-03-02 07:00:00, None, None, None
1.0, None, None, None, None, None, None, 1977-03-03 07:00:00, None, None, None
0.0, None, None, 15.0, None, None, None, 1977-03-04 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-07 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-08 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1977-03-09 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-10 07:00:00, None, None, None
-1.0, None, None, 6.0, None, None, None, 1977-03-11 07:00:00, None, None, None
-6.0, None, None, None, None, None, None, 1977-03-14 07:00:00, None, None, None
-8.0, None, None, None, None, None, None, 1977-03-15 07:00:00, None, None, None
-2.0, None, None, None, None, None, None, 1977-03-16 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-17 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-18 07:00:00, None, None, None
-4.0, None, None, 4.0, None, None, None, 1977-03-21 07:00:00, None, None, None
-2.0, None, None, None, None, None, None, 1977-03-22 07:00:00, None, None, None
-2.0, None, None, None, None, None, None, 1977-03-23 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-24 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-25 07:00:00, None, None, None
0.0, None, None, 10.0, None, None, None, 1977-03-28 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1977-03-29 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-03-30 07:00:00, None, None, None
-2.0, None, None, None, None, None, None, 1977-03-31 07:00:00, None, None, None
0.0, None, None, None, None, None, None, 1977-04-01 07:00:00, None, None, None
1.0, None, None, None, None, None, None, 1977-04-04 07:00:00, None, None, None
-3.0, None, None, None, None, None, None, 1977-04-05 07:00:00, None, None, None
1.0, None, None, None, None, None, None, 1977-04-06 07:00:00, None, None, None
3.0, None, None, None, None, None, None, 1977-04-07 07:00:00, None, None, None
-1.0, None, None, 20.0, None, None, None, 1977-04-12 07:00:00, None, None, None
