station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
1.0, None, None, None, None, None, 1975-11-03 07:00:00, None, 0.0
10.0, None, None, None, None, None, 1975-11-03 16:00:00, None, 0.0
5.0, None, None, None, None, None, 1975-11-04 07:00:00, None, 0.0
13.0, None, None, None, None, None, 1975-11-04 16:00:00, None, 0.0
0.0, None, None, None, None, None, 1975-11-05 07:00:00, None, 0.0
-2.0, None, None, None, None, None, 1975-11-06 07:00:00, None, 0.0
-3.0, None, None, 2.0, None, None, 1975-11-07 07:00:00, None, 2.0
-10.0, None, None, 8.0, None, None, 1975-11-08 07:00:00, None, 10.0
-2.0, None, None, 1.0, None, None, 1975-11-09 07:00:00, None, None
-10.0, None, None, None, None, None, 1975-11-10 07:00:00, None, None
-4.0, None, None, None, None, None, 1975-11-12 07:00:00, None, None
-6.0, None, None, None, None, None, 1975-11-13 07:00:00, None, None
6.0, None, None, None, None, None, 1975-11-13 13:00:00, None, None
8.0, None, None, None, None, None, 1975-11-14 07:00:00, None, None
-5.0, None, None, None, None, None, 1975-11-15 07:00:00, None, None
-5.0, None, None, 1.0, None, None, 1975-11-16 07:00:00, None, None
-2.0, None, None, None, None, None, 1975-11-17 07:00:00, None, None
-6.0, None, None, None, None, None, 1975-11-17 17:00:00, None, None
-10.0, None, None, None, None, None, 1975-11-18 07:00:00, None, None
3.0, None, None, None, None, None, 1975-11-18 14:00:00, None, None
-11.0, None, None, None, None, None, 1975-11-19 07:00:00, None, None
0.0, None, None, None, None, None, 1975-11-19 17:00:00, None, None
-10.0, None, None, None, None, None, 1975-11-20 07:00:00, None, None
-18.0, None, None, None, None, None, 1975-11-20 22:00:00, None, None
-11.0, None, None, None, None, None, 1975-11-21 07:00:00, None, None
-8.0, None, None, None, None, None, 1975-11-21 23:00:00, None, None
-4.0, None, None, 10.0, None, None, 1975-11-22 00:00:00, None, None
-7.0, None, None, None, None, None, 1975-11-22 07:00:00, None, None
-5.0, None, None, None, None, None, 1975-11-23 08:00:00, None, None
-3.0, None, None, 5.0, None, None, 1975-11-23 14:00:00, None, None
-4.0, None, None, 6.0, None, None, 1975-11-24 07:00:00, None, None
-4.0, None, None, None, None, None, 1975-11-24 14:00:00, None, None
-6.0, None, None, None, None, None, 1975-11-25 07:00:00, None, None
0.0, None, None, None, None, None, 1975-11-25 14:00:00, None, None
2.0, None, None, 12.0, None, None, 1975-11-26 07:00:00, None, None
-10.0, None, None, None, None, None, 1975-11-27 07:00:00, None, None
-7.0, None, None, 6.0, None, None, 1975-11-27 14:00:00, None, None
-14.0, None, None, None, None, None, 1975-11-28 06:00:00, None, None
-10.0, None, None, None, None, None, 1975-11-28 13:00:00, None, None
-24.0, None, None, None, None, None, 1975-11-29 07:00:00, None, None
-20.0, None, None, None, None, None, 1975-11-29 23:00:00, None, None
-15.0, None, None, 4.0, None, None, 1975-11-30 07:00:00, None, None
-14.0, None, None, 10.0, None, None, 1975-11-30 14:00:00, None, None
-2.0, None, None, 13.0, None, None, 1975-12-01 07:00:00, None, None
-1.0, None, None, None, None, -1.0, 1975-12-01 22:00:00, None, None
-2.0, None, None, None, None, None, 1975-12-02 06:00:00, None, None
4.0, None, None, None, None, None, 1975-12-02 22:00:00, None, None
2.0, None, None, None, None, None, 1975-12-03 06:00:00, None, None
1.0, None, None, None, None, None, 1975-12-03 22:00:00, None, None
-2.0, None, None, None, None, None, 1975-12-04 06:00:00, None, None
-12.0, None, None, None, None, None, 1975-12-04 21:00:00, None, None
-16.0, None, None, None, None, None, 1975-12-05 06:00:00, None, None
-20.0, None, None, None, None, None, 1975-12-05 22:00:00, None, None
-20.0, None, None, None, None, None, 1975-12-06 01:00:00, None, None
-9.0, None, None, None, None, None, 1975-12-06 17:00:00, None, None
-6.0, None, None, None, None, None, 1975-12-07 17:00:00, None, None
-4.0, None, None, None, None, None, 1975-12-08 06:00:00, None, None
0.0, None, None, None, None, None, 1975-12-08 10:00:00, None, None
1.0, None, None, None, None, None, 1975-12-09 07:00:00, None, None
-2.0, None, None, 1.0, None, None, 1975-12-10 07:00:00, None, None
-8.0, None, None, None, None, None, 1975-12-10 17:00:00, None, None
-18.0, None, None, None, None, None, 1975-12-11 07:00:00, None, None
-14.0, None, None, None, None, None, 1975-12-11 18:00:00, None, None
-12.0, None, None, None, None, None, 1975-12-12 07:00:00, None, None
-14.0, None, None, None, None, None, 1975-12-12 18:00:00, None, None
-10.0, None, None, 5.0, None, None, 1975-12-13 16:00:00, None, None
-12.0, None, None, None, None, None, 1975-12-13 19:00:00, None, None
-15.0, None, None, 5.0, None, None, 1975-12-14 13:00:00, None, None
-11.0, None, None, None, None, None, 1975-12-14 18:00:00, None, None
-10.0, None, None, 11.0, None, None, 1975-12-15 07:00:00, None, None
-8.0, None, None, None, None, None, 1975-12-15 20:00:00, None, None
-9.0, None, None, 10.0, None, None, 1975-12-16 07:00:00, None, None
-8.0, None, None, None, None, None, 1975-12-16 20:00:00, None, None
-11.0, None, None, None, None, None, 1975-12-17 07:00:00, None, None
-5.0, None, None, None, None, None, 1975-12-17 20:00:00, None, None
-6.0, None, None, None, None, None, 1975-12-18 07:00:00, None, None
-5.0, None, None, None, None, None, 1975-12-18 19:00:00, None, None
-8.0, None, None, None, None, None, 1975-12-19 07:00:00, None, None
-9.0, None, None, None, None, None, 1975-12-19 19:00:00, None, None
0.0, None, None, None, None, None, 1975-12-20 23:00:00, None, None
-8.0, None, None, None, None, None, 1975-12-21 07:00:00, None, None
-10.0, None, None, None, None, None, 1975-12-22 07:00:00, None, None
-9.0, None, None, None, None, None, 1975-12-22 20:00:00, None, None
-5.0, None, None, None, None, None, 1975-12-23 07:00:00, None, None
-2.0, None, None, None, None, None, 1975-12-23 22:00:00, None, None
-4.0, None, None, None, None, None, 1975-12-24 07:00:00, None, None
-2.0, None, None, None, None, None, 1975-12-24 20:00:00, None, None
