station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
1.0, None, None, None, 1.0, None, 1975-11-05 07:00:00, 0.0
11.0, None, None, None, 1.0, 11.0, 1975-11-05 15:00:00, 0.0
5.0, None, None, None, 3.0, 11.0, 1975-11-06 07:00:00, 0.0
7.0, None, None, None, 5.0, 7.0, 1975-11-06 15:00:00, 0.0
6.0, None, None, None, 2.0, 7.0, 1975-11-07 07:00:00, 0.0
5.0, None, None, None, 5.0, 6.0, 1975-11-07 15:00:00, 0.0
None, None, None, 2.0, None, None, 1975-11-09 07:00:00, 2.0
-2.0, None, None, None, -4.0, None, 1975-11-10 07:00:00, 0.0
1.0, None, None, 1.0, 0.0, None, 1975-11-12 07:00:00, 0.0
5.0, None, None, None, 1.0, 5.0, 1975-11-12 15:00:00, 0.0
-4.0, None, None, None, -4.0, 5.0, 1975-11-13 07:00:00, 0.0
4.0, None, None, None, -4.0, 6.0, 1975-11-13 15:00:00, 0.0
2.0, None, None, None, 2.0, 6.0, 1975-11-14 07:00:00, 0.0
6.0, None, None, None, 2.0, 6.0, 1975-11-14 15:00:00, 0.0
1.0, None, None, 3.0, 0.0, 6.0, 1975-11-17 07:00:00, 1.0
1.0, None, None, None, 0.0, 4.0, 1975-11-17 15:00:00, 0.0
-5.0, None, None, None, -5.0, 1.0, 1975-11-18 07:00:00, 0.0
-5.0, None, None, None, -5.0, 0.0, 1975-11-18 15:00:00, 0.0
-9.0, None, None, None, -9.0, -5.0, 1975-11-19 07:00:00, 0.0
None, None, None, None, -9.0, None, 1975-11-20 07:00:00, 0.0
None, None, None, None, -1.0, None, 1975-11-20 15:00:00, 0.0
-4.0, None, None, None, -4.0, None, 1975-11-21 07:00:00, 0.0
None, None, None, None, None, 0.0, 1975-11-21 15:00:00, 0.0
