station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-15.0, None, None, -18.0, -14.0, 1985-01-07 06:00:00, None, 30.0
-5.0, None, None, -15.0, -3.0, 1985-01-07 16:00:00, None, 30.0
-6.0, None, None, -7.0, -4.0, 1985-01-08 06:00:00, None, 30.0
-6.0, None, None, -13.0, 8.0, 1985-01-08 17:00:00, None, 30.0
-7.0, None, None, -7.0, 2.0, 1985-01-09 06:00:00, None, 30.0
-6.0, None, None, -15.0, -6.0, 1985-01-09 16:00:00, None, 30.0
-6.0, None, None, -6.0, -2.5, 1985-01-10 06:00:00, None, 30.0
-5.0, None, None, -7.0, -4.0, 1985-01-10 16:15:00, None, 30.0
-7.0, None, None, -7.5, -4.5, 1985-01-11 06:00:00, None, 30.0
-5.5, None, None, -9.0, -2.5, 1985-01-11 16:20:00, None, 30.0
2.5, None, None, -8.0, 3.0, 1985-01-12 06:00:00, None, 30.0
-2.0, None, None, -2.0, 4.5, 1985-01-12 16:15:00, None, 30.0
-2.5, None, 2.0, -4.0, 0.0, 1985-01-13 06:00:00, None, 30.0
-1.0, 2.0, 2.0, -2.5, 0.0, 1985-01-13 16:00:00, None, 32.0
-2.0, 4.0, 2.0, -3.0, 0.0, 1985-01-14 06:00:00, None, 34.0
-1.0, 2.0, None, -1.5, 0.0, 1985-01-14 16:15:00, None, 34.0
-7.5, None, None, -8.0, -0.5, 1985-01-15 06:00:00, None, 34.0
-1.0, None, None, -8.0, -1.0, 1985-01-15 17:00:00, None, 34.0
0.0, 1.0, 1.0, -2.0, 0.5, 1985-01-16 06:00:00, None, 35.0
2.5, None, None, 0.0, 4.0, 1985-01-16 18:00:00, None, 34.0
-7.0, None, None, -7.5, 4.5, 1985-01-17 06:30:00, None, 34.0
-2.5, None, None, -9.0, -2.0, 1985-01-17 16:40:00, None, 34.0
-4.0, None, None, -5.0, -2.0, 1985-01-18 06:00:00, None, 34.0
-1.0, None, None, -4.0, -1.0, 1985-01-18 16:20:00, None, 34.0
0.0, None, None, -2.0, 2.0, 1985-01-19 06:00:00, None, 34.0
2.0, None, None, 0.0, 2.0, 1985-01-19 16:30:00, None, 34.0
-3.0, None, None, -4.0, 2.0, 1985-01-20 06:30:00, None, 34.0
-2.5, None, None, -6.5, -1.0, 1985-01-20 20:30:00, None, 34.0
-4.0, None, None, -5.0, -2.0, 1985-01-21 06:30:00, None, 34.0
-1.5, None, None, -4.0, 0.0, 1985-01-21 18:15:00, None, 32.0
-3.0, None, None, -3.0, -0.5, 1985-01-22 06:00:00, None, 32.0
-1.0, None, None, -3.0, -1.0, 1985-01-22 16:00:00, None, 32.0
-3.5, None, None, -4.0, -0.5, 1985-01-23 06:00:00, None, 32.0
-2.5, None, None, -4.0, 2.5, 1985-01-23 16:00:00, None, 32.0
-5.0, None, None, -5.5, -2.0, 1985-01-24 06:00:00, None, 32.0
-5.0, None, None, -5.5, -1.0, 1985-01-24 22:00:00, None, 32.0
-13.0, None, None, -13.0, -4.5, 1985-01-25 06:00:00, None, 32.0
-9.0, None, None, -14.5, -3.5, 1985-01-25 19:45:00, None, 32.0
-8.0, None, None, -8.0, -2.5, 1985-01-26 06:00:00, None, 32.0
-4.5, None, None, -11.0, -3.5, 1985-01-26 16:20:00, None, 32.0
-7.0, None, None, -13.0, -4.5, 1985-01-27 06:00:00, None, 32.0
-5.5, None, None, -7.0, -4.0, 1985-01-27 18:55:00, None, 32.0
-7.5, None, None, -7.5, -5.0, 1985-01-28 06:00:00, None, 32.0
-7.5, None, None, -8.5, -5.0, 1985-01-28 22:15:00, None, 32.0
-8.0, None, None, -8.0, -7.0, 1985-01-29 06:00:00, None, 32.0
-6.0, None, None, -8.0, -4.0, 1985-01-29 17:00:00, None, 32.0
-9.0, None, None, -9.0, -5.0, 1985-01-30 06:00:00, None, 31.0
-5.0, None, None, -12.0, -4.0, 1985-01-30 17:00:00, None, 31.0
-7.0, None, None, -8.0, -4.5, 1985-01-31 06:00:00, None, 31.0
-7.5, 5.0, 5.0, -7.5, -5.5, 1985-01-31 16:20:00, None, 35.0
-11.0, 6.0, 4.0, -11.0, -7.0, 1985-02-01 06:00:00, None, 41.0
-9.5, None, None, -11.0, -2.5, 1985-02-01 23:00:00, None, 41.0
-7.0, None, None, -9.0, -7.0, 1985-02-02 06:00:00, None, 41.0
-8.0, None, 1.0, -9.0, -4.0, 1985-02-03 06:00:00, None, 42.0
-5.0, 1.0, 1.0, -8.0, -4.0, 1985-02-03 16:15:00, None, 42.0
-16.0, None, None, -16.0, -4.8, 1985-02-03 23:10:00, None, 42.0
-11.0, None, None, -17.0, -11.0, 1985-02-04 06:00:00, None, 42.0
-7.5, None, 1.0, -11.5, -2.5, 1985-02-04 23:00:00, None, 43.0
-15.0, None, None, -15.0, -4.0, 1985-02-05 06:00:00, None, 43.0
-3.0, None, 1.0, -15.0, -3.0, 1985-02-05 18:00:00, None, 43.0
-7.0, None, None, -19.0, -4.0, 1985-02-06 06:00:00, None, 43.0
-7.0, None, 1.0, -8.0, -5.0, 1985-02-06 18:00:00, None, 43.0
-14.0, None, None, -14.0, -7.0, 1985-02-07 06:00:00, None, 43.0
-16.0, None, None, -16.5, -13.5, 1985-02-07 15:15:00, None, 43.0
-25.5, None, None, -27.0, -15.5, 1985-02-08 06:00:00, None, 43.0
-18.5, None, None, -26.0, -17.0, 1985-02-08 16:30:00, None, 43.0
-18.0, None, None, -19.0, -18.0, 1985-02-09 06:00:00, None, 43.0
-19.5, None, None, -21.0, -17.0, 1985-02-09 18:10:00, None, 43.0
-19.0, None, None, -22.0, -19.0, 1985-02-10 06:30:00, None, 43.0
-16.5, None, None, -22.0, -15.5, 1985-02-10 16:15:00, None, 43.0
-17.5, 1.0, 1.0, -22.0, -16.0, 1985-02-11 06:00:00, None, 44.0
-11.0, 6.0, 6.0, -18.0, -10.5, 1985-02-11 16:20:00, None, 50.0
-11.0, 5.0, 5.0, -17.0, -8.0, 1985-02-12 06:00:00, None, 55.0
-2.5, 5.0, 5.0, -14.0, 0.0, 1985-02-12 16:00:00, None, 55.0
-2.5, 5.0, 5.0, -15.0, 0.0, 1985-02-13 06:00:00, None, 60.0
3.0, 5.0, 5.0, -3.0, 4.0, 1985-02-13 16:00:00, None, 60.0
2.0, None, None, -2.5, 4.0, 1985-02-14 06:00:00, None, 60.0
1.0, None, None, -0.5, 6.0, 1985-02-14 18:30:00, None, 60.0
-3.0, 2.0, 2.0, -4.0, 2.0, 1985-02-15 06:00:00, None, 60.0
-1.5, None, None, -5.5, 0.5, 1985-02-15 17:00:00, None, 60.0
-4.0, None, None, -4.5, -4.0, 1985-02-16 06:00:00, None, 60.0
-2.0, None, None, -6.0, 0.0, 1985-02-16 16:35:00, None, 60.0
-1.5, None, None, -1.5, 3.0, 1985-02-17 06:00:00, None, 60.0
1.5, 3.0, 3.0, -13.5, 2.0, 1985-02-17 16:30:00, None, 63.0
-1.0, None, None, -1.5, 2.5, 1985-02-18 06:00:00, None, 60.0
4.5, None, None, -0.5, 6.0, 1985-02-18 16:45:00, None, 60.0
2.5, None, None, 2.0, 6.0, 1985-02-19 06:00:00, None, 58.0
4.5, None, None, -3.5, 5.0, 1985-02-19 16:00:00, None, 58.0
-5.0, None, None, -6.5, 5.0, 1985-02-20 06:00:00, None, 56.0
3.5, None, None, -5.0, 4.0, 1985-02-20 16:00:00, None, 55.0
3.5, None, None, 1.5, 4.5, 1985-02-21 06:00:00, None, 53.0
4.0, None, None, 1.0, 7.5, 1985-02-22 06:00:00, None, 50.0
7.0, None, None, -1.0, 7.0, 1985-02-22 16:00:00, None, 48.0
0.0, 5.0, 5.0, 0.0, 6.5, 1985-02-23 06:00:00, None, 53.0
-7.0, None, None, -7.0, 8.0, 1985-02-24 06:00:00, None, 53.0
3.0, None, None, -4.0, 5.5, 1985-02-24 16:30:00, None, 53.0
-5.5, None, None, -6.0, 3.5, 1985-02-25 06:00:00, None, 53.0
2.0, None, None, -5.5, 3.0, 1985-02-25 19:20:00, None, 53.0
-3.0, None, None, -6.0, 3.0, 1985-02-26 06:00:00, None, 50.0
5.0, None, None, -3.0, 8.0, 1985-02-26 17:00:00, None, 50.0
5.0, None, None, 4.0, 5.5, 1985-02-27 06:00:00, None, 48.0
5.5, None, None, -4.0, 8.0, 1985-02-27 16:00:00, None, 48.0
-3.5, None, None, -3.5, 5.5, 1985-02-28 06:00:00, None, 45.0
3.5, None, None, -4.5, 4.0, 1985-02-28 16:30:00, None, 45.0
-8.0, None, None, -8.0, 3.5, 1985-03-01 06:15:00, None, 45.0
2.5, None, None, -8.5, 3.0, 1985-03-01 16:30:00, None, 45.0
-5.0, None, None, -5.0, -2.0, 1985-03-02 06:15:00, None, 45.0
2.5, None, None, -5.0, 4.0, 1985-03-02 16:50:00, None, 45.0
-3.0, None, None, -5.0, 4.0, 1985-03-03 06:00:00, None, 45.0
-1.0, 4.0, 4.0, -4.0, -0.5, 1985-03-03 16:10:00, None, 49.0
-3.0, 9.0, 9.0, -4.0, -3.0, 1985-03-04 06:00:00, None, 58.0
-1.5, None, None, -3.0, 0.5, 1985-03-04 16:35:00, None, 58.0
-6.5, None, None, -7.0, -2.0, 1985-03-05 06:15:00, None, 15.0
-3.0, None, None, -6.0, -2.0, 1985-03-05 16:00:00, None, 10.0
-9.5, 2.0, 2.0, -10.0, -2.0, 1985-03-06 06:00:00, None, 12.0
0.0, None, None, -10.0, 0.0, 1985-03-06 16:00:00, None, 12.0
-14.0, None, None, -14.5, 0.0, 1985-03-07 06:00:00, None, 12.0
-9.0, None, None, -14.5, 5.5, 1985-03-08 06:00:00, None, 12.0
5.5, None, None, -9.0, 6.0, 1985-03-08 16:10:00, None, 12.0
-2.0, None, None, -2.0, 5.0, 1985-03-09 06:00:00, None, 12.0
-8.0, None, None, -9.0, 6.5, 1985-03-10 06:00:00, None, 12.0
7.0, None, None, -9.5, 8.0, 1985-03-10 14:00:00, None, 12.0
-3.5, None, None, -4.0, 7.5, 1985-03-11 06:00:00, None, 10.0
-4.5, None, None, -5.0, 4.0, 1985-03-12 06:00:00, None, 9.0
6.0, None, None, -4.0, 7.5, 1985-03-12 16:00:00, None, 9.0
-2.5, None, None, -3.0, 7.0, 1985-03-13 06:00:00, None, 8.0
5.0, None, None, 3.0, 8.0, 1985-03-13 16:50:00, None, 8.0
-3.5, None, None, -4.0, 7.5, 1985-03-14 06:00:00, None, 8.0
-2.0, None, None, -4.0, 4.5, 1985-03-15 06:00:00, None, 7.0
-3.0, None, None, -3.0, 8.0, 1985-03-16 06:00:00, None, 7.0
1.0, None, None, -3.5, 8.0, 1985-03-17 06:00:00, None, 7.0
-2.0, None, None, -2.0, 9.0, 1985-03-18 06:00:00, None, 6.0
0.5, None, None, -2.0, 8.0, 1985-03-19 06:00:00, None, 6.0
-2.0, None, None, -4.0, 7.0, 1985-03-20 06:00:00, None, 6.0
-2.0, None, None, -4.0, 5.5, 1985-03-21 06:00:00, None, 5.0
-1.5, None, None, -3.0, 7.0, 1985-03-22 06:00:00, None, 4.0
0.0, 13.0, 13.0, -8.0, 7.0, 1985-03-23 06:00:00, None, 17.0
-13.0, None, None, -14.0, 5.0, 1985-03-25 06:00:00, None, 12.0
-11.0, None, None, -13.0, 4.0, 1985-03-26 06:00:00, None, 8.0
-9.0, None, None, -11.0, 6.0, 1985-03-27 06:00:00, None, 5.0
-2.0, None, None, -9.0, 5.0, 1985-03-28 06:00:00, None, 3.0
-6.5, None, None, -7.0, 5.0, 1985-03-29 06:00:00, None, 2.0
1.0, 5.0, 5.0, -6.5, 2.0, 1985-03-30 09:00:00, None, 7.0
1.0, None, None, -0.5, 8.0, 1985-04-01 07:00:00, None, 4.0
-7.0, 4.0, 4.0, -7.0, 7.0, 1985-11-02 06:25:00, None, 4.0
1.0, 3.0, 3.0, -7.0, 7.0, 1985-11-02 16:30:00, None, 7.0
-4.0, 1.0, 1.0, -6.0, 7.0, 1985-11-03 06:30:00, None, 7.0
0.0, 1.0, 1.0, -7.0, 2.0, 1985-11-03 16:15:00, None, 4.0
-9.0, 1.0, 1.0, -10.0, 4.0, 1985-11-04 06:00:00, None, 5.0
0.0, 0.0, 0.0, -9.0, 0.0, 1985-11-04 16:15:00, None, 5.0
-4.5, 4.0, 4.0, -8.0, 0.0, 1985-11-05 06:00:00, None, 9.0
-5.5, 1.0, 1.0, -9.0, None, 1985-11-05 17:00:00, None, 10.0
-8.0, 4.0, 4.0, -11.0, 0.0, 1985-11-06 06:15:00, None, 10.0
-1.5, 0.0, 0.0, -8.0, 2.0, 1985-11-06 15:30:00, None, 10.0
-5.0, 0.0, 0.0, -6.0, 4.5, 1985-11-07 06:15:00, None, 10.0
-0.5, 0.0, 0.0, -4.0, -0.5, 1985-11-07 16:20:00, None, 9.0
-5.0, 0.0, 0.0, -7.0, 0.0, 1985-11-08 06:00:00, None, 9.0
-12.5, 0.0, 0.0, -12.5, -2.0, 1985-11-08 22:50:00, None, 9.0
-14.0, 2.0, 2.0, -15.0, -2.0, 1985-11-09 06:00:00, None, 9.0
-11.0, 0.0, 0.0, -14.5, 2.0, 1985-11-09 16:35:00, None, 9.0
-22.5, 0.0, 0.0, -23.0, None, 1985-11-10 06:00:00, None, 8.0
-14.5, 0.0, 0.0, -24.5, -12.0, 1985-11-10 16:30:00, None, 8.0
-16.0, 0.0, 0.0, -20.0, -9.0, 1985-11-12 06:00:00, None, 5.0
-6.5, 0.0, 0.0, -17.0, -6.0, 1985-11-12 16:00:00, None, 7.0
-6.0, 0.0, 0.0, -8.0, -6.0, 1985-11-13 06:00:00, None, 7.0
-2.0, 0.0, 0.0, -6.0, -2.0, 1985-11-13 16:00:00, None, 7.0
-4.0, 0.0, 0.0, -6.0, -2.0, 1985-11-14 06:15:00, None, 7.0
3.5, 0.0, 0.0, -4.0, 3.5, 1985-11-14 17:25:00, None, 7.0
4.0, 0.0, 0.0, 4.0, 4.0, 1985-11-15 06:00:00, None, 2.0
-0.5, 0.0, 0.0, -0.5, 3.0, 1985-11-15 16:00:00, None, 2.0
-3.5, 0.0, 0.0, -3.5, 3.0, 1985-11-16 06:00:00, None, 2.0
-4.0, 4.0, 4.0, -7.5, -0.5, 1985-11-16 16:15:00, None, 6.0
-14.0, 1.0, 1.0, -17.0, -1.0, 1985-11-17 06:00:00, None, 7.0
-11.0, 0.0, 0.0, -14.0, -3.0, 1985-11-17 16:30:00, None, 7.0
-18.0, 0.0, 0.0, -18.0, -3.0, 1985-11-18 06:15:00, None, 7.0
-11.0, 0.0, 0.0, -21.0, -10.5, 1985-11-18 20:20:00, None, 7.0
-14.0, 0.1, 0.1, -14.0, -10.5, 1985-11-19 06:15:00, None, 7.0
-12.5, None, None, -18.0, -9.0, 1985-11-19 17:00:00, None, 7.0
-25.0, 0.0, 0.0, -25.0, -18.5, 1985-11-20 06:00:00, None, 7.0
-16.0, 0.0, 0.0, -26.5, -14.5, 1985-11-20 16:00:00, None, 7.0
-22.0, 0.0, 0.0, -22.0, -15.0, 1985-11-21 06:00:00, None, 7.0
-15.5, 0.0, 0.0, -23.0, -13.0, 1985-11-21 16:00:00, None, 7.0
-29.0, 0.0, 0.0, -29.0, -13.0, 1985-11-22 06:00:00, None, 7.0
-24.0, 0.0, 0.0, -29.0, -18.0, 1985-11-22 22:55:00, None, 6.0
-24.0, 0.0, 0.0, -24.5, -18.0, 1985-11-23 06:00:00, None, 6.0
-15.0, 0.0, 0.0, -24.0, -14.0, 1985-11-23 16:00:00, None, 6.0
-15.0, 1.0, 1.0, -19.5, -14.0, 1985-11-24 06:00:00, None, 6.0
-17.0, 0.0, 0.0, -21.0, -13.0, 1985-11-24 22:15:00, None, 6.0
-22.0, 0.1, 0.1, -25.5, -13.0, 1985-11-25 06:10:00, None, 6.0
-26.0, 0.0, 0.0, -26.0, -25.0, 1985-11-25 16:25:00, None, 6.0
-29.0, 0.0, 0.0, -29.5, -24.5, 1985-11-26 06:15:00, None, 6.0
-27.0, 0.0, 0.0, -31.0, -26.0, 1985-11-26 16:00:00, None, 6.0
-35.0, 0.0, 0.0, -36.0, -27.0, 1985-11-27 06:25:00, None, 6.0
-24.5, 0.0, 0.0, -36.0, -24.0, 1985-11-27 16:00:00, None, 6.0
-33.0, 0.0, 0.0, -33.0, -24.0, 1985-11-28 06:10:00, None, 6.0
-25.0, 0.0, 0.0, -33.0, -22.0, 1985-11-28 19:55:00, None, 6.0
-25.0, 0.0, 0.0, -28.0, -24.0, 1985-11-29 06:15:00, None, 6.0
-25.0, 0.0, 0.0, -27.0, -13.0, 1985-11-29 22:30:00, None, 6.0
-29.0, 0.0, 0.0, -29.0, -13.0, 1985-11-30 06:00:00, None, 6.0
-27.0, 0.0, 0.0, -29.5, -13.0, 1985-12-01 06:00:00, None, 6.0
-21.0, 0.0, 0.0, -27.0, -15.5, 1985-12-02 06:10:00, None, 6.0
-16.0, 0.0, 0.0, -25.0, -16.0, 1985-12-02 16:00:00, None, 6.0
-14.0, 0.1, 0.1, -16.0, -14.0, 1985-12-03 06:15:00, None, 6.0
-10.0, 0.1, 0.1, -14.0, -10.0, 1985-12-03 16:00:00, None, 6.0
-7.0, 4.0, 4.0, -11.0, -7.0, 1985-12-04 06:15:00, None, 10.0
-4.0, 0.0, 0.0, -7.0, -2.0, 1985-12-04 16:00:00, None, 10.0
-9.0, 0.1, 0.1, -14.0, -5.5, 1985-12-05 06:15:00, None, 10.0
-2.5, 0.0, 0.0, -10.5, -2.5, 1985-12-05 17:00:00, None, 10.0
-10.0, 0.1, 0.1, -12.0, -2.0, 1985-12-06 06:15:00, None, 10.0
-13.5, 0.0, 0.0, -13.5, -2.5, 1985-12-06 21:10:00, None, 10.0
-17.0, 0.1, 0.1, -18.0, -3.0, 1985-12-07 06:00:00, None, 10.0
-13.5, 0.0, 0.0, -17.0, -5.5, 1985-12-07 20:15:00, None, 10.0
-21.0, 0.0, 0.0, -21.0, -4.0, 1985-12-08 06:00:00, None, 10.0
-18.5, 0.0, 0.0, -22.0, -6.0, 1985-12-08 20:20:00, None, 10.0
-22.0, 0.0, 0.0, -23.0, -5.5, 1985-12-09 06:15:00, None, 10.0
-18.0, 0.0, 0.0, -23.0, -11.0, 1985-12-09 21:00:00, None, 8.0
-21.0, 0.0, 0.0, -21.0, -11.0, 1985-12-10 06:15:00, None, 8.0
-11.0, 0.0, 0.0, -21.0, -11.0, 1985-12-10 16:00:00, None, 8.0
-10.5, 0.0, 0.0, -14.0, -10.5, 1985-12-11 06:15:00, None, 8.0
-10.0, 0.0, 0.0, -14.0, -7.0, 1985-12-11 16:00:00, None, 8.0
-16.0, 0.0, 0.0, -16.5, -9.5, 1985-12-12 06:15:00, None, 8.0
-11.0, 0.0, 0.0, -18.0, -10.0, 1985-12-12 22:45:00, None, 8.0
-14.0, 0.0, 0.0, -14.0, -10.0, 1985-12-13 06:15:00, None, 8.0
-14.5, 0.0, 0.0, -14.5, -7.0, 1985-12-13 22:45:00, None, 8.0
-12.0, 0.0, 0.0, -15.0, -3.0, 1985-12-14 06:00:00, None, 8.0
-5.5, 0.0, 0.0, -12.0, -5.0, 1985-12-14 16:55:00, None, 8.0
-5.0, 0.0, 0.0, -10.0, -5.0, 1985-12-15 06:00:00, None, 8.0
-2.5, 0.0, 0.0, -5.0, -2.5, 1985-12-15 16:00:00, None, 8.0
4.0, 0.0, 0.0, -4.0, 4.5, 1985-12-16 06:15:00, None, 8.0
0.0, 0.0, 0.0, -0.5, 1.0, 1985-12-16 16:00:00, None, 8.0
-2.5, 0.0, 0.0, -6.0, 5.0, 1985-12-17 06:15:00, None, 8.0
2.5, 0.0, 0.0, -3.0, 3.0, 1985-12-17 16:00:00, None, 8.0
-5.0, 0.0, 0.0, -5.0, 2.5, 1985-12-18 06:15:00, None, 8.0
0.0, 0.0, 0.0, -4.0, 7.0, 1985-12-18 16:00:00, None, 8.0
-1.0, 0.0, 0.0, -2.0, 1.5, 1985-12-19 06:15:00, None, 8.0
1.0, 0.0, 0.0, -2.0, 2.0, 1985-12-19 16:25:00, None, 6.0
-2.5, 0.0, 0.0, -4.5, 2.5, 1985-12-20 06:15:00, None, 6.0
1.0, 0.0, 0.0, -2.5, 1.5, 1985-12-20 17:30:00, None, 6.0
-5.0, 0.0, 0.0, -5.0, 1.0, 1985-12-21 06:00:00, None, 8.0
-3.0, 0.0, 0.0, -6.0, 2.0, 1985-12-21 22:00:00, None, 6.0
-3.0, 0.0, 0.0, -3.0, 2.0, 1985-12-22 06:00:00, None, 6.0
-2.5, 0.0, 0.0, -5.5, -1.0, 1985-12-22 16:25:00, None, 6.0
-6.5, 0.0, 0.0, -8.0, -1.0, 1985-12-23 06:10:00, None, 6.0
-4.0, 0.0, 0.0, -7.0, -2.0, 1985-12-23 16:00:00, None, 6.0
-8.0, 0.0, 0.0, -10.0, -4.0, 1985-12-24 06:15:00, None, 6.0
-17.5, 0.0, 0.0, -18.0, -5.5, 1985-12-27 06:10:00, None, 6.0
-15.0, 0.0, 0.0, -19.0, -11.0, 1985-12-27 16:00:00, None, 6.0
-12.0, 0.0, 0.0, -16.0, -11.0, 1985-12-28 06:00:00, None, 6.0
-8.0, 0.0, 0.0, -13.5, -8.0, 1985-12-28 22:20:00, None, 6.0
-9.0, 1.0, 1.0, -11.0, -8.0, 1985-12-29 06:00:00, None, 6.0
-6.0, 0.0, 0.0, -10.0, -5.0, 1985-12-29 17:30:00, None, 6.0
-8.0, 0.1, 0.1, -10.0, -5.0, 1985-12-30 06:15:00, None, 6.0
-7.0, 0.0, 0.0, -9.0, -7.0, 1985-12-30 16:40:00, None, 6.0
-7.0, 0.0, 0.0, -10.0, -7.0, 1985-12-31 06:15:00, None, 6.0
-3.0, 0.0, 0.0, -7.0, -3.0, 1985-12-31 16:00:00, None, 6.0
