station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
0.0, None, 0.0, 0.0, -1.0, 4.0, 1985-11-04 07:00:00, 7.0
-1.0, None, 1.0, 1.0, -1.0, 1.0, 1985-11-04 15:00:00, 8.0
-6.0, None, 0.0, 0.0, -7.0, 0.0, 1985-11-05 07:00:00, 7.0
-6.0, None, 1.0, 1.0, -6.0, -4.0, 1985-11-05 15:00:00, 7.0
-6.0, None, 11.0, 11.0, -9.0, -3.0, 1985-11-06 07:30:00, 18.0
-3.0, None, 0.0, 0.0, -9.0, -3.0, 1985-11-06 15:00:00, 22.0
-4.0, None, 20.0, 20.0, -8.0, -3.0, 1985-11-07 07:00:00, 40.0
-2.0, None, 0.0, 0.0, -4.0, -1.0, 1985-11-07 15:00:00, 38.0
-4.0, None, 2.0, 2.0, -6.0, -1.0, 1985-11-08 07:00:00, 38.0
-2.0, None, 0.0, 0.0, -5.0, -2.0, 1985-11-08 15:00:00, 38.0
-10.0, None, 22.0, 22.0, -10.0, -3.0, 1985-11-09 07:00:00, 49.0
-10.0, None, 36.0, 26.0, -10.0, -8.0, 1985-11-09 15:00:00, 55.0
-15.0, None, 0.0, 0.0, -15.0, -9.0, 1985-11-10 07:00:00, 55.0
-11.0, None, 0.0, 0.0, -15.0, -9.0, 1985-11-10 15:00:00, 55.0
-19.0, None, 0.0, 0.0, -20.0, -9.0, 1985-11-11 07:00:00, 50.0
-13.0, None, 0.0, 0.0, -19.5, -10.0, 1985-11-11 15:00:00, 49.0
-14.0, None, 0.0, 0.0, -14.0, -12.0, 1985-11-12 07:00:00, 45.0
-5.0, None, 0.0, 0.0, -14.0, -5.0, 1985-11-12 15:00:00, 44.0
-9.0, None, 0.0, 0.0, -10.0, -5.0, 1985-11-13 07:00:00, 44.0
-5.0, None, 0.0, 0.0, -10.0, -5.0, 1985-11-13 15:00:00, 43.0
-11.0, None, 0.0, 0.0, -12.0, -5.0, 1985-11-14 07:00:00, 42.0
-5.5, None, 0.0, 0.0, -12.0, -5.5, 1985-11-14 15:00:00, 42.0
-5.0, None, 1.0, 1.0, -10.0, -5.0, 1985-11-15 07:00:00, 42.0
-6.0, None, 5.0, 3.0, -7.0, -6.0, 1985-11-15 15:00:00, 43.0
-5.0, None, 9.0, 9.0, -6.0, -4.0, 1985-11-16 07:00:00, 50.0
-8.0, None, 0.0, 0.0, -9.0, -4.0, 1985-11-16 18:00:00, 49.0
-9.0, None, 6.0, 6.0, -12.0, -8.0, 1985-11-17 07:00:00, 50.0
-7.0, None, 2.0, 2.0, -8.0, -6.0, 1985-11-17 17:00:00, 52.0
-14.0, None, 10.0, 10.0, -14.0, -6.0, 1985-11-18 07:00:00, 55.0
-12.0, None, 2.0, 2.0, -15.0, -10.0, 1985-11-18 15:00:00, 55.0
-16.0, None, 0.0, 0.0, -20.0, -10.5, 1985-11-19 07:00:00, 55.0
-13.0, None, 0.0, 0.0, -17.0, -13.0, 1985-11-19 15:00:00, 55.0
