station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
5.5, None, 0.0, 2.0, 13.5, 1988-11-10 07:45:00, None
5.0, None, 0.0, 4.5, 6.0, 1988-11-10 14:40:00, None
8.0, 0.0, 0.0, 7.5, 9.0, 1988-11-14 06:50:00, 0.0
2.0, 0.0, 0.0, -2.0, 2.5, 1988-11-14 14:30:00, 0.0
-1.0, 0.0, 0.0, -4.0, 0.5, 1988-11-15 06:55:00, 0.0
4.0, 0.0, 0.0, 0.5, 4.0, 1988-11-15 14:30:00, 0.0
2.0, 0.0, 0.0, 1.5, 5.5, 1988-11-16 06:50:00, 0.0
5.0, 0.0, 0.0, 2.0, 5.0, 1988-11-16 14:30:00, 0.0
2.0, 0.0, 0.0, 2.0, 6.5, 1988-11-17 06:40:00, 0.0
5.0, 0.0, 0.0, 2.0, 5.5, 1988-11-17 14:30:00, 0.0
-2.0, 0.0, 0.0, -5.5, 3.0, 1988-11-18 06:45:00, 0.0
2.0, 0.0, 0.0, -1.5, 2.0, 1988-11-18 14:30:00, 0.0
1.0, 4.0, 4.0, 0.0, 2.0, 1988-11-19 07:00:00, 4.0
2.5, 0.0, 0.0, 0.1, 2.5, 1988-11-19 14:30:00, 2.0
1.0, 0.0, 0.0, -2.0, 1.5, 1988-11-20 07:30:00, 0.0
3.5, 0.0, 0.0, 1.0, None, 1988-11-20 14:30:00, 0.0
3.0, 0.0, 0.0, 1.0, None, 1988-11-21 06:45:00, 0.0
4.5, 0.0, 0.0, 3.0, None, 1988-11-21 14:30:00, 0.0
3.0, 0.0, 0.0, 3.0, None, 1988-11-22 06:55:00, 0.0
5.0, 0.0, 0.0, 2.5, None, 1988-11-22 14:30:00, 0.0
2.5, 0.0, 0.0, 2.5, None, 1988-11-23 06:45:00, 0.0
7.0, 0.0, 0.0, 2.0, None, 1988-11-23 14:30:00, 0.0
0.0, 0.0, 0.0, -2.0, None, 1988-11-24 07:15:00, 0.0
4.0, 0.0, 0.0, -2.0, None, 1988-11-24 14:30:00, 0.0
0.0, 0.0, 0.0, -1.0, None, 1988-11-25 06:15:00, 0.0
1.0, 2.0, 2.0, -1.0, None, 1988-11-25 14:30:00, 0.0
-1.0, 0.0, 0.0, -2.0, None, 1988-11-26 07:00:00, 0.0
1.5, 0.0, 0.0, 1.0, None, 1988-11-26 14:30:00, 0.0
0.0, 5.0, 5.0, -4.0, None, 1988-11-27 07:15:00, None
1.0, 5.0, None, -3.5, None, 1988-11-27 14:30:00, None
1.0, 0.0, 0.0, -0.5, None, 1988-11-28 06:50:00, 0.0
2.5, 0.0, 0.0, -1.0, None, 1988-11-28 14:30:00, 0.0
2.0, 0.0, 0.0, -2.0, None, 1988-11-29 06:47:00, 0.0
4.0, 0.0, 0.0, -1.0, None, 1988-11-29 14:30:00, 0.0
0.5, 0.0, 0.0, -1.0, None, 1988-11-30 06:45:00, 0.0
