station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
2.5, 0.0, 0.0, 2.5, 7.0, 1988-11-03 07:00:00, 0.0
3.0, None, None, 2.0, 9.5, 1988-11-03 15:00:00, None
-2.0, 0.0, 0.0, -2.0, 10.0, 1988-11-04 07:00:00, 0.0
5.0, 0.0, 0.0, -2.0, 10.5, 1988-11-04 17:00:00, 0.0
5.0, None, None, 3.0, 5.0, 1988-11-05 07:00:00, None
10.0, None, None, 5.0, 12.0, 1988-11-05 16:00:00, None
0.0, None, None, -2.0, 10.0, 1988-11-06 07:00:00, None
7.5, None, None, 0.0, 8.0, 1988-11-06 16:00:00, None
0.0, 0.0, 0.0, -1.5, 12.0, 1988-11-07 07:00:00, 0.0
4.5, 0.0, 0.0, -2.0, 8.5, 1988-11-07 16:40:00, 0.0
-4.0, 0.0, 0.0, -4.5, 4.5, 1988-11-08 07:00:00, 0.0
2.0, 0.0, 0.0, -3.5, 3.0, 1988-11-08 16:43:00, 0.0
-2.5, 0.0, 0.0, -4.0, 3.5, 1988-11-09 07:00:00, 0.0
6.0, 0.0, 0.0, -3.0, 6.0, 1988-11-09 16:00:00, 0.0
2.5, 0.0, 0.0, 2.5, 6.0, 1988-11-10 05:15:00, 0.0
5.0, 0.0, 0.0, 2.0, 5.0, 1988-11-10 16:10:00, 0.0
-2.0, None, None, -2.0, 5.0, 1988-11-11 07:00:00, None
2.5, None, None, 2.5, 4.0, 1988-11-11 16:00:00, None
-5.0, None, None, -5.0, 4.0, 1988-11-12 07:00:00, None
0.0, None, None, -5.0, 1.0, 1988-11-12 16:00:00, None
-7.5, None, None, -7.5, 0.0, 1988-11-13 07:00:00, None
1.5, None, None, -7.5, 4.0, 1988-11-13 16:00:00, None
-7.5, 0.0, 0.0, -8.0, 5.0, 1988-11-14 07:00:00, 0.0
-1.5, 0.0, 0.0, -7.0, 2.0, 1988-11-14 16:06:00, 0.0
-7.0, 0.0, 0.0, -7.0, -6.0, 1988-11-15 06:45:00, 0.0
-5.0, None, None, -5.0, -1.0, 1988-11-15 16:00:00, None
-4.0, 0.0, 0.0, -6.5, 2.0, 1988-11-16 07:00:00, 0.0
-2.5, None, None, -2.5, 0.0, 1988-11-16 16:00:00, None
-3.0, 1.0, 1.0, -5.0, 2.0, 1988-11-17 07:00:00, 1.0
