station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
1.0, None, None, 9.0, 1.0, None, 2.0, 1975-01-02 16:00:00, None, None, None, 56.0
0.0, None, None, 8.0, -2.0, None, 0.0, 1975-01-03 07:00:00, None, None, None, 60.0
0.0, None, None, 1.0, -3.0, None, 0.0, 1975-01-03 16:00:00, None, None, None, 61.0
-3.0, None, None, 17.0, -4.0, None, -3.0, 1975-01-04 07:00:00, None, None, None, 74.0
-1.0, None, None, None, -4.0, None, 0.0, 1975-01-04 16:00:00, None, None, None, 64.0
0.0, None, None, 23.0, -3.0, None, 0.0, 1975-01-05 07:00:00, None, None, None, 84.0
1.0, None, None, 7.0, -1.0, None, 1.0, 1975-01-05 16:00:00, None, None, None, 84.0
-2.0, None, None, 14.0, -4.0, None, 2.0, 1975-01-06 07:00:00, None, None, None, 91.0
-2.0, None, None, 3.0, -3.0, None, -2.0, 1975-01-06 16:00:00, None, None, None, 89.0
-3.0, None, None, 16.0, -4.0, None, -2.0, 1975-01-07 07:00:00, None, None, None, 99.0
-3.0, None, None, None, -3.0, None, -3.0, 1975-01-07 16:00:00, None, None, None, 94.0
-7.0, None, None, 4.0, -8.0, None, -2.0, 1975-01-08 07:00:00, None, None, None, 97.0
-7.0, None, None, None, -8.0, None, -4.0, 1975-01-08 16:00:00, None, None, None, 91.0
-12.0, None, None, None, -13.0, None, -7.0, 1975-01-09 07:00:00, None, None, None, 84.0
-14.0, None, None, None, -14.0, None, -12.0, 1975-01-09 16:00:00, None, None, None, 81.0
-18.0, None, None, None, -18.0, None, -14.0, 1975-01-10 07:00:00, None, None, None, 79.0
-17.0, None, None, None, -18.0, None, -14.0, 1975-01-10 16:00:00, None, None, None, 79.0
-15.0, None, None, None, -18.0, None, -15.0, 1975-01-11 07:00:00, None, None, None, 77.0
-13.0, None, None, None, -15.0, None, -13.0, 1975-01-11 16:00:00, None, None, None, 75.0
-13.0, None, None, 12.0, -13.0, None, -12.0, 1975-01-12 07:00:00, None, None, None, 84.0
-11.0, None, None, 17.0, -13.0, None, -11.0, 1975-01-12 16:00:00, None, None, None, 89.0
-4.0, None, None, 41.0, -10.0, None, -4.0, 1975-01-13 07:00:00, None, None, None, 132.0
1.0, None, None, 10.0, -6.0, None, 1.0, 1975-01-13 16:00:00, None, None, None, 135.0
-2.0, None, None, 22.0, -2.0, None, 2.0, 1975-01-14 07:00:00, None, None, None, 145.0
0.0, None, None, 12.0, -2.0, None, 0.0, 1975-01-14 16:00:00, None, None, None, 135.0
-1.0, None, None, 6.0, -2.0, None, 0.0, 1975-01-15 07:00:00, None, None, None, 141.0
-4.0, None, None, None, -6.0, None, 1.0, 1975-01-16 07:00:00, None, None, None, 132.0
-3.0, None, None, 5.0, -4.0, None, -1.0, 1975-01-16 16:00:00, None, None, None, 132.0
-1.0, None, None, 14.0, -3.0, None, -1.0, 1975-01-17 07:00:00, None, None, None, 142.0
1.0, None, None, None, -1.0, None, 1.0, 1975-01-17 16:00:00, None, None, None, 135.0
1.0, None, None, None, 0.0, None, 1.0, 1975-01-18 07:00:00, None, None, None, 130.0
1.0, None, None, None, 1.0, None, 2.0, 1975-01-18 16:00:00, None, None, None, 119.0
1.0, None, None, None, 1.0, None, 2.0, 1975-01-19 07:00:00, None, None, None, 119.0
3.0, None, None, None, 1.0, None, 5.0, 1975-01-19 16:00:00, None, None, None, 109.0
1.0, None, None, None, 1.0, None, 3.0, 1975-01-20 07:00:00, None, None, None, 102.0
2.0, None, None, None, 1.0, None, 2.0, 1975-01-20 16:00:00, None, None, None, 97.0
0.0, None, None, 10.0, 0.0, None, 2.0, 1975-01-21 07:00:00, None, None, None, 102.0
1.0, None, None, 3.0, 0.0, None, 1.0, 1975-01-21 16:00:00, None, None, None, 107.0
2.0, None, None, 2.0, 0.0, None, 2.0, 1975-01-22 07:00:00, None, None, None, 107.0
2.0, None, None, None, 1.0, None, 3.0, 1975-01-22 16:00:00, None, None, None, 102.0
1.0, None, None, None, 0.0, None, 3.0, 1975-01-23 07:00:00, None, None, None, 102.0
1.0, None, None, None, 0.0, None, 1.0, 1975-01-23 16:00:00, None, None, None, 97.0
2.0, None, None, None, 1.0, None, 2.0, 1975-01-24 07:00:00, None, None, None, 97.0
1.0, None, None, None, 1.0, None, 3.0, 1975-01-24 16:00:00, None, None, None, 94.0
-2.0, None, None, 5.0, -2.0, None, 1.0, 1975-01-25 07:00:00, None, None, None, 97.0
-1.0, None, None, None, -2.0, None, 1.0, 1975-01-25 16:00:00, None, None, None, 97.0
-11.0, None, None, None, -12.0, None, -1.0, 1975-01-26 07:00:00, None, None, None, 97.0
-5.0, None, None, None, -12.0, None, -5.0, 1975-01-26 16:00:00, None, None, None, 94.0
-6.0, None, None, None, -11.0, None, -5.0, 1975-01-27 07:00:00, None, None, None, 94.0
-3.0, None, None, 3.0, -6.0, None, -3.0, 1975-01-27 16:00:00, None, None, None, 97.0
-8.0, None, None, None, -13.0, None, -3.0, 1975-01-28 07:00:00, None, None, None, 97.0
-5.0, None, None, None, -8.0, None, -4.0, 1975-01-28 16:00:00, None, None, None, 97.0
-7.0, None, None, None, -10.0, None, -5.0, 1975-01-29 07:00:00, None, None, None, 97.0
-6.0, None, None, None, -8.0, None, -6.0, 1975-01-29 16:00:00, None, None, None, 97.0
