station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
2.0, None, None, 12.0, -2.5, None, 2.0, 1994-11-01 15:40:00, None, 35.0
-3.0, None, None, 0.1, -5.0, None, 2.0, 1994-11-02 05:00:00, None, 31.0
-1.5, None, None, 3.0, -4.0, None, -1.5, 1994-11-02 15:30:00, None, 1.0
-7.0, None, None, 0.0, -7.0, None, -1.0, 1994-11-03 05:35:00, None, 31.0
-2.0, None, None, 0.0, -8.0, None, -2.0, 1994-11-03 15:30:00, None, 31.0
-4.0, None, None, 8.0, -4.0, None, -2.0, 1994-11-04 05:30:00, None, 39.0
-3.0, None, None, 6.0, -4.0, None, 1.5, 1994-11-04 15:40:00, None, 37.0
-6.0, None, None, 0.0, -8.0, None, -1.0, 1994-11-05 05:10:00, None, 37.0
-3.0, None, None, 0.0, -6.0, None, -2.5, 1994-11-05 16:00:00, None, 32.0
-9.0, None, None, 0.0, -9.0, None, -5.0, 1994-11-06 05:05:00, None, 32.0
-3.0, None, None, 1.0, -11.0, None, -3.0, 1994-11-06 16:00:00, None, 30.0
-7.0, None, None, 4.0, -11.0, None, -4.0, 1994-11-07 05:05:00, None, 34.0
-1.0, None, None, 1.0, -8.0, None, -1.0, 1994-11-07 15:45:00, None, 32.0
-1.0, None, None, 7.0, -1.5, None, -1.0, 1994-11-08 04:40:00, None, 41.0
1.5, None, None, 6.0, -1.0, None, 1.5, 1994-11-08 16:15:00, None, 38.0
-5.5, None, None, 0.0, -6.0, None, 0.0, 1994-11-09 04:55:00, None, 38.0
-1.0, None, None, 7.0, -5.0, None, -1.0, 1994-11-09 15:45:00, None, 40.0
-3.0, None, None, 7.0, -3.0, None, -1.0, 1994-11-10 04:55:00, None, 35.0
-1.0, None, None, 0.0, -4.0, None, -1.0, 1994-11-10 16:30:00, None, 35.0
-3.0, None, None, 0.0, -4.5, None, -2.0, 1994-11-11 05:55:00, None, 33.0
-0.5, None, None, 1.0, -4.0, None, -0.5, 1994-11-11 15:30:00, None, 33.0
-2.0, None, None, 6.0, -2.0, None, 0.0, 1994-11-12 07:25:00, None, 37.0
1.0, None, None, 0.0, -3.0, None, 2.0, 1994-11-12 15:35:00, None, 35.0
-6.0, None, None, 0.0, -6.0, None, 2.0, 1994-11-13 04:30:00, None, 33.0
-1.0, None, None, 0.0, -6.5, None, -0.5, 1994-11-13 15:35:00, None, 33.0
-4.0, None, None, 4.0, -4.0, None, 0.0, 1994-11-14 04:40:00, None, 32.0
-1.5, None, None, 7.0, -4.5, None, -1.5, 1994-11-14 15:30:00, None, 39.0
-3.0, None, None, 4.0, -3.0, None, -1.0, 1994-11-15 05:00:00, None, 41.0
0.5, None, None, 5.0, -3.0, None, 1.0, 1994-11-15 16:00:00, None, 42.0
-3.0, None, None, 4.0, -3.0, None, 1.0, 1994-11-16 05:00:00, None, 41.0
-1.0, None, None, 0.0, -4.5, None, 0.0, 1994-11-16 15:50:00, None, 41.0
-6.0, None, None, 0.0, -6.0, None, -0.5, 1994-11-17 05:00:00, None, 40.0
-5.0, None, None, 0.0, -7.0, None, -3.5, 1994-11-17 15:00:00, None, 4.0
-8.0, None, None, 0.0, -10.0, None, -5.0, 1994-11-18 05:00:00, None, 41.0
-4.0, None, None, 0.0, -9.5, None, -4.0, 1994-11-18 15:45:00, None, 41.0
-8.0, None, None, 4.0, -8.0, None, -4.0, 1994-11-19 05:00:00, None, 43.0
-5.5, None, None, 23.0, -8.0, None, -5.5, 1994-11-19 15:40:00, None, 57.0
-5.0, None, None, 22.0, -6.0, None, -4.0, 1994-11-20 05:05:00, None, 73.0
-6.0, None, None, 0.0, -6.0, None, -4.0, 1994-11-20 16:45:00, None, 73.0
-11.0, None, None, 0.0, -11.0, None, -6.0, 1994-11-21 05:25:00, None, 62.0
-7.5, None, None, 0.0, -16.0, None, -7.0, 1994-11-21 16:40:00, None, 57.0
-12.0, None, None, 1.0, -15.0, None, -7.0, 1994-11-22 05:25:00, None, 54.0
-8.5, None, None, 2.0, -12.5, None, -7.0, 1994-11-22 15:30:00, None, 56.0
-7.5, None, None, 12.0, -10.0, None, -7.0, 1994-11-23 05:15:00, None, 64.0
-4.5, None, None, 15.0, -8.0, None, -2.5, 1994-11-23 18:00:00, None, 70.0
-6.0, None, None, 3.0, -6.0, None, -4.0, 1994-11-24 04:55:00, None, 73.0
-6.0, None, None, 1.0, -8.0, None, -4.0, 1994-11-24 17:20:00, None, 70.0
-8.0, None, None, 0.0, -9.5, None, -6.0, 1994-11-25 04:55:00, None, 70.0
-4.0, None, None, 1.0, -8.5, None, -3.0, 1994-11-25 15:45:00, None, 64.0
-6.0, None, None, 0.0, -8.0, None, -4.0, 1994-11-26 05:05:00, None, 64.0
-3.5, None, None, 0.0, -6.0, None, -3.0, 1994-11-26 15:30:00, None, 60.0
-13.5, None, None, 0.0, -14.0, None, -6.5, 1994-11-27 04:30:00, None, 0.0
-5.5, None, None, 1.0, -12.5, None, -5.5, 1994-11-27 15:35:00, None, 57.0
-10.0, None, None, 1.0, -10.0, None, -5.0, 1994-11-28 05:00:00, None, 54.0
-5.0, None, None, 0.0, -12.0, None, -4.0, 1994-11-28 15:30:00, None, 53.0
-8.0, None, None, 0.0, -10.0, None, -5.0, 1994-11-29 05:00:00, None, 53.0
-5.5, None, None, 15.0, -8.5, None, -5.5, 1994-11-29 15:50:00, None, 69.0
-4.0, None, None, 20.0, -6.0, None, -4.0, 1994-11-30 05:00:00, None, 82.0
0.5, None, None, 0.0, -4.0, None, 1.5, 1994-11-30 15:35:00, None, 79.0
-5.0, None, None, 0.1, -5.0, None, 1.5, 1994-12-01 05:00:00, None, 76.0
-2.5, None, None, 3.0, -4.0, None, -0.5, 1994-12-01 15:30:00, None, 78.0
-5.0, None, None, 3.0, -5.5, None, -0.5, 1994-12-02 05:00:00, None, 78.0
-5.0, None, None, 5.0, -6.0, None, -3.0, 1994-12-02 15:50:00, None, 79.0
-13.5, None, None, 0.1, -13.5, None, -3.0, 1994-12-03 05:00:00, None, 79.0
-13.0, None, None, 0.0, -14.0, None, -12.0, 1994-12-03 15:15:00, None, 78.0
-24.0, None, None, 0.0, -24.0, None, -12.5, 1994-12-04 05:00:00, None, 78.0
-19.0, None, None, 0.0, -25.0, None, -16.0, 1994-12-04 15:30:00, None, 75.0
-25.5, None, None, 0.0, -25.5, None, -19.0, 1994-12-05 05:00:00, None, 75.0
-20.0, None, None, 0.0, -26.0, None, -18.5, 1994-12-05 15:45:00, None, 72.0
-25.0, None, None, 0.0, -25.0, None, -20.0, 1994-12-06 05:15:00, None, 72.0
-16.0, None, None, 0.0, -24.5, None, -15.5, 1994-12-06 16:00:00, None, 71.0
-18.5, None, None, 1.0, -22.0, None, -15.0, 1994-12-07 05:10:00, None, 72.0
-15.0, None, None, 1.0, -18.0, None, -12.5, 1994-12-07 15:45:00, None, 73.0
-13.5, None, None, 7.0, -16.0, None, -13.0, 1994-12-08 05:05:00, None, 80.0
-11.0, None, None, 10.0, -14.0, None, -11.0, 1994-12-08 16:00:00, None, 90.0
-13.0, None, None, 8.0, -13.0, None, -1.0, 1994-12-09 05:15:00, None, 88.0
-12.5, None, None, 0.1, -15.5, None, -10.5, 1994-12-09 15:30:00, None, 0.0
-15.0, None, None, 0.0, -17.0, None, -12.5, 1994-12-10 05:30:00, None, 86.0
-9.0, None, None, 1.0, -15.0, None, -8.0, 1994-12-10 16:00:00, None, 87.0
-9.5, None, None, 1.0, -10.0, None, -9.0, 1994-12-11 04:15:00, None, 86.0
-7.5, None, None, 0.1, -10.5, None, -6.0, 1994-12-11 15:30:00, None, 86.0
-9.5, None, None, 0.0, -11.0, None, -7.0, 1994-12-12 04:30:00, None, 85.0
