station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-5.0, 97.0, 0.0, 0.0, -8.5, None, -2.5, 1985-12-18 06:10:00, 0.0, None, 9.0
-1.0, 87.0, 0.0, 0.0, -8.0, 0.0, -1.0, 1985-12-18 14:00:00, 0.0, None, 9.0
-2.0, 85.0, 0.0, 0.0, -7.0, 0.0, -1.5, 1985-12-19 06:30:00, 0.0, None, 9.0
0.5, 77.0, 0.0, 0.0, -2.5, 0.0, 0.5, 1985-12-19 14:00:00, -1.0, None, 9.0
-4.0, 81.0, 0.0, 0.0, -4.5, 0.0, 2.0, 1985-12-20 06:15:00, 0.0, None, 9.0
-0.5, 70.0, 0.0, 0.0, -4.0, 0.0, -0.5, 1985-12-20 14:00:00, 0.0, None, 8.0
-11.0, 90.0, 0.0, 0.0, None, 0.0, -11.0, 1985-12-21 06:15:00, 2.0, None, 8.0
-1.5, 68.0, 0.0, 0.0, -13.5, 0.0, 2.5, 1985-12-21 14:00:00, 2.0, 1.0, 8.0
-7.0, 90.0, 0.0, 0.0, -11.0, 0.0, -1.5, 1985-12-22 06:15:00, 0.0, None, 8.0
-1.5, 75.0, 0.0, 0.0, -7.0, 0.0, -1.5, 1985-12-22 14:00:00, 0.0, 1.0, 8.0
-12.0, 75.0, 0.0, 0.0, -13.0, 0.0, -2.5, 1985-12-23 06:05:00, 0.0, None, 8.0
-8.5, 80.0, 0.0, 0.0, -12.0, 0.0, -3.5, 1985-12-23 14:00:00, 0.0, 1.0, 8.0
-7.5, 98.0, 0.0, 0.0, None, 0.0, -3.5, 1985-12-24 06:05:00, 0.0, None, 8.0
-7.0, 93.0, 0.0, 0.0, -9.0, 0.0, -5.0, 1985-12-24 14:00:00, 0.0, None, 8.0
-8.5, 85.0, None, None, -10.0, None, -7.0, 1985-12-25 06:00:00, 0.0, None, None
-15.0, 89.0, None, None, -15.5, None, -8.5, 1985-12-25 18:00:00, 0.0, None, None
-8.5, 76.0, None, None, -15.0, None, -8.0, 1985-12-26 06:00:00, 0.0, None, None
