station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-6.5, None, None, None, None, None, None, 1980-11-25 14:10:00, None, 38.0
-9.0, 92.0, None, None, -9.0, None, -6.0, 1980-11-25 16:00:00, 0.0, None
-1.0, 43.0, None, None, -9.0, None, -1.0, 1980-11-26 07:00:00, 0.0, None
-1.0, 96.0, None, None, -4.0, None, -0.5, 1980-11-26 16:00:00, 0.0, None
-2.5, 99.0, None, None, -2.5, None, 0.0, 1980-11-27 07:00:00, 5.0, None
-25.0, 90.0, None, None, -25.0, 55.0, None, 1980-12-04 13:25:00, None, 80.0
-26.5, 88.0, None, None, -26.5, None, -25.0, 1980-12-04 16:00:00, 0.0, None
-26.5, 88.0, None, None, -28.0, None, -25.5, 1980-12-05 07:00:00, 4.0, None
-26.0, 88.0, None, None, -26.5, None, -25.0, 1980-12-05 16:00:00, 1.0, None
-22.0, 88.0, None, None, -27.0, None, -19.5, 1980-12-06 07:00:00, 1.0, None
-18.5, 92.0, None, None, -22.0, None, -17.0, 1980-12-06 16:00:00, 0.0, None
-10.0, 42.0, None, None, -19.0, None, -9.0, 1980-12-07 07:00:00, 0.0, None
-7.0, 50.0, None, None, -9.5, None, -6.0, 1980-12-07 16:00:00, 0.0, None
-8.0, 90.0, None, None, -8.5, None, -5.5, 1980-12-08 07:00:00, 0.0, None
-7.0, 73.0, None, None, -9.0, None, -7.0, 1980-12-08 16:00:00, 1.0, None
-4.0, 80.0, None, None, -9.0, None, -4.0, 1980-12-09 07:00:00, 0.0, None
-4.0, 94.0, None, None, -6.0, None, -3.0, 1980-12-09 16:00:00, 0.0, None
-2.5, 93.0, None, None, -4.0, None, -2.0, 1980-12-10 07:00:00, 3.0, None
-3.0, 93.0, None, None, -3.0, None, -2.5, 1980-12-10 16:00:00, 7.0, None
-5.5, 96.0, None, None, -5.5, None, -5.0, 1980-12-11 07:00:00, 6.0, None
-4.0, 93.0, None, None, -4.0, None, -2.5, 1980-12-11 16:00:00, 7.0, None
-4.5, 60.0, None, None, -8.0, None, -4.0, 1980-12-12 07:00:00, 1.0, None
-1.0, 25.0, None, None, -4.5, None, -0.5, 1980-12-12 16:00:00, 0.0, None
-2.0, 90.0, None, None, -2.0, None, 1.0, 1980-12-13 07:00:00, 0.0, None
-2.0, 93.0, None, None, -3.0, None, -2.0, 1980-12-13 16:00:00, 0.0, None
0.0, 96.0, None, None, -2.5, None, 0.0, 1980-12-14 07:00:00, 1.0, None
4.0, 93.0, None, None, 0.0, None, 5.0, 1980-12-14 16:00:00, 6.0, None
3.0, 98.0, None, None, 2.5, None, 7.0, 1980-12-15 07:00:00, 3.0, None
4.5, 87.0, None, None, 3.0, None, 5.5, 1980-12-15 16:00:00, 10.0, None
3.5, 60.0, None, None, 1.5, None, 4.5, 1980-12-16 07:00:00, 0.0, None
