station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
0.5, 100.0, 0.5, 3.5, 1977-11-01 08:00:00, None, None
3.0, 98.0, 3.0, 9.0, 1977-11-02 08:00:00, None, None
2.0, 100.0, 2.0, 4.0, 1977-11-02 16:00:00, None, None
0.0, 101.0, 0.0, 2.0, 1977-11-03 08:00:00, None, None
3.0, 93.0, 0.0, 4.0, 1977-11-03 16:00:00, None, None
-1.0, 102.0, -1.0, 3.0, 1977-11-04 08:00:00, None, None
3.0, 76.0, -1.0, 5.0, 1977-11-04 16:00:00, None, None
0.0, 103.0, 0.0, 3.0, 1977-11-05 08:00:00, None, None
3.0, 100.0, 0.0, 3.0, 1977-11-05 16:00:00, None, None
3.5, 85.0, 3.0, 3.5, 1977-11-06 08:00:00, None, None
4.0, 98.0, 3.5, 5.0, 1977-11-06 16:00:00, None, None
0.0, 100.0, 0.0, 4.0, 1977-11-07 08:00:00, None, None
4.0, 80.0, 0.0, 5.0, 1977-11-07 16:00:00, None, None
-2.0, 87.0, -2.0, 4.0, 1977-11-08 08:00:00, None, None
2.0, 78.0, -2.0, 2.0, 1977-11-08 16:00:00, None, None
0.5, 101.0, -1.0, 2.0, 1977-11-09 08:00:00, None, None
0.0, 101.0, -1.0, 0.0, 1977-11-09 16:00:00, None, None
3.5, 100.0, -0.5, 3.5, 1977-11-10 08:00:00, None, None
7.0, 100.0, 3.5, 7.5, 1977-11-10 16:00:00, None, None
3.0, 100.0, 3.0, 7.0, 1977-11-11 08:00:00, None, None
6.0, 100.0, 3.0, 6.0, 1977-11-11 16:00:00, None, None
4.0, 94.0, 4.0, 7.0, 1977-11-12 08:00:00, None, None
5.0, 98.0, 4.0, 8.0, 1977-11-12 16:00:00, None, None
4.5, 100.0, 4.0, 5.0, 1977-11-13 08:00:00, None, None
5.0, 97.0, 4.5, 6.0, 1977-11-13 16:00:00, None, None
2.0, 100.0, 0.0, 5.0, 1977-11-14 08:00:00, None, None
4.0, 95.0, 2.0, 4.0, 1977-11-14 16:00:00, None, None
0.0, 100.0, 0.0, 4.0, 1977-11-15 08:00:00, None, None
5.0, 74.0, 0.0, 5.0, 1977-11-15 16:00:00, None, None
2.0, 96.0, 0.5, 5.0, 1977-11-16 08:00:00, None, None
3.0, 92.0, 2.0, 4.0, 1977-11-16 16:00:00, None, None
-2.0, 100.0, -2.0, 3.0, 1977-11-17 08:00:00, None, None
-1.5, 91.0, -2.0, 4.0, 1977-11-17 16:00:00, None, None
-3.0, 72.0, -5.0, -1.5, 1977-11-18 08:00:00, None, None
-3.0, 63.0, -3.0, -2.0, 1977-11-18 16:00:00, None, None
-6.0, 80.0, -6.0, -3.0, 1977-11-19 08:00:00, None, None
-3.0, None, -6.0, 0.5, 1977-11-19 16:00:00, None, None
-8.0, 67.0, -8.0, -3.0, 1977-11-20 08:00:00, None, None
-5.0, 55.0, -8.0, -1.5, 1977-11-20 16:00:00, None, None
-11.0, 85.0, -11.0, -5.0, 1977-11-21 08:00:00, None, None
-7.0, None, -11.0, -4.0, 1977-11-21 16:00:00, None, None
-9.0, 72.0, -10.0, -7.0, 1977-11-22 08:00:00, None, None
-6.0, None, -10.0, -1.0, 1977-11-22 16:00:00, None, None
