station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-1.0, 90.0, None, None, -5.0, None, 1.0, 1978-11-01 08:00:00, None, None, 0.0
0.0, 75.0, None, None, -2.0, None, 5.0, 1978-11-01 15:00:00, None, None, 0.0
-3.0, 92.0, None, None, -4.0, None, 3.0, 1978-11-02 08:00:00, None, None, 0.0
1.0, 67.0, None, None, -3.0, None, 3.0, 1978-11-02 15:00:00, None, None, 0.0
-2.0, 93.0, None, None, -3.0, None, 1.0, 1978-11-03 08:00:00, None, None, 0.0
-1.0, 92.0, None, 2.0, -2.0, None, 1.0, 1978-11-03 15:00:00, None, None, 2.0
2.0, 52.0, None, 3.0, -1.0, None, 2.0, 1978-11-04 08:00:00, None, None, 5.0
0.0, 45.0, None, None, -1.0, None, 2.0, 1978-11-04 15:00:00, None, None, 5.0
-9.0, 90.0, None, None, -9.0, None, 0.0, 1978-11-05 08:00:00, None, None, 5.0
-1.0, 50.0, None, None, -9.0, None, -1.0, 1978-11-05 15:00:00, None, None, 5.0
-2.0, 90.0, None, None, -2.0, None, -1.0, 1978-11-06 08:00:00, None, None, 5.0
-1.0, 93.0, None, 2.0, -2.0, None, 2.0, 1978-11-06 15:00:00, None, None, 6.0
-1.0, 94.0, None, 6.0, -1.0, None, 0.0, 1978-11-07 08:00:00, None, None, 12.0
0.0, 89.0, None, None, -1.0, None, 0.0, 1978-11-07 15:00:00, None, None, 10.0
3.0, 93.0, None, None, -1.0, None, 3.0, 1978-11-08 08:00:00, None, None, 7.0
0.0, 74.0, None, None, 0.0, None, 4.0, 1978-11-08 15:00:00, None, None, 6.0
-5.0, 75.0, None, None, -6.0, None, 0.0, 1978-11-09 08:00:00, None, None, 6.0
-2.0, 37.0, None, None, -6.0, None, -1.0, 1978-11-09 15:00:00, None, None, 6.0
-12.0, 67.0, None, None, -12.0, None, -1.0, 1978-11-10 08:00:00, None, None, 6.0
-5.0, 30.0, None, None, -14.0, None, -4.0, 1978-11-10 15:00:00, None, None, 6.0
-14.0, 82.0, None, None, -14.0, None, -5.0, 1978-11-11 08:00:00, None, None, 6.0
-6.0, 57.0, None, None, -14.0, None, -6.0, 1978-11-11 15:00:00, None, None, 6.0
-13.0, 92.0, None, None, -13.0, None, -6.0, 1978-11-12 08:00:00, None, None, 6.0
-6.0, 65.0, None, None, -13.0, None, -6.0, 1978-11-12 15:00:00, None, None, 6.0
-14.0, 91.0, None, None, -14.0, None, -6.0, 1978-11-13 08:00:00, None, None, 6.0
-6.0, 63.0, None, None, -14.0, None, -6.0, 1978-11-13 15:00:00, None, None, 6.0
-13.0, 91.0, None, None, -13.0, None, -6.0, 1978-11-14 08:00:00, None, None, 6.0
-6.0, 60.0, None, None, -13.0, None, -6.0, 1978-11-14 15:00:00, None, None, 6.0
