station_observations
CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
-14.0, 6.0, None, None, 1973-11-23 16:30:00, None
-11.0, 4.0, None, None, 1973-11-23 20:30:00, None
-6.5, 1.0, None, None, 1973-11-24 01:30:00, None
-7.5, 3.0, None, None, 1973-11-24 04:15:00, None
-6.5, None, -14.0, -6.5, 1973-11-24 09:30:00, None
-5.5, None, None, None, 1973-11-24 23:30:00, None
-10.0, None, -10.0, -4.0, 1973-11-25 09:00:00, None
-5.0, None, None, None, 1973-11-25 20:00:00, None
-7.5, None, None, None, 1973-11-26 02:30:00, None
-8.5, None, -10.0, -4.0, 1973-11-26 10:15:00, None
-9.0, None, None, None, 1973-11-26 15:45:00, None
-10.0, None, None, None, 1973-11-26 17:00:00, None
-9.0, None, None, None, 1973-11-26 20:00:00, None
-9.0, None, None, None, 1973-11-27 03:45:00, None
-7.5, None, -8.5, -6.5, 1973-11-27 08:45:00, None
-6.5, None, None, None, 1973-11-27 17:00:00, None
-5.0, 5.0, None, None, 1973-11-28 01:30:00, None
-6.5, None, -7.5, -6.5, 1973-11-28 15:00:00, None
-7.5, None, None, None, 1973-11-28 21:00:00, None
-10.0, None, None, None, 1973-11-29 04:00:00, None
-10.0, None, -11.0, -6.5, 1973-11-29 09:00:00, None
-13.5, None, None, None, 1973-11-29 17:00:00, None
-13.5, None, None, None, 1973-11-30 05:00:00, None
-11.5, None, -12.5, -7.0, 1973-11-30 08:20:00, None
-11.5, None, None, None, 1973-11-30 14:40:00, None
-19.0, None, None, None, 1973-11-30 21:00:00, None
-20.0, None, None, None, 1973-12-01 01:30:00, None
-10.5, None, -13.5, -10.0, 1973-12-01 13:25:00, None
-5.5, None, None, None, 1973-12-02 04:00:00, None
-11.5, None, -12.0, -5.5, 1973-12-02 08:50:00, None
-11.5, None, None, None, 1973-12-02 13:30:00, None
-11.5, None, None, None, 1973-12-02 17:30:00, None
-10.0, None, None, None, 1973-12-03 01:00:00, None
-7.5, None, None, None, 1973-12-03 04:00:00, None
