station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
6.0, 70.0, None, None, None, None, 6.0, 1981-12-17 08:10:00, 0.0, None, 12.0
8.0, 76.0, None, None, 5.0, None, 8.0, 1981-12-17 18:05:00, 1.0, None, 12.0
4.0, 72.0, None, None, 3.0, None, 13.0, 1981-12-18 07:00:00, 2.0, None, 0.0
6.0, 75.0, None, None, 3.0, None, 6.0, 1981-12-18 19:55:00, 3.0, None, 0.0
6.0, 78.0, None, None, 2.0, None, 7.0, 1981-12-19 07:20:00, 7.0, None, 0.0
4.0, 95.0, None, None, 3.0, None, 6.0, 1981-12-19 19:45:00, 35.0, None, 0.0
4.0, 100.0, None, None, 4.0, None, 7.5, 1981-12-20 07:30:00, 3.0, None, 0.0
4.0, 100.0, 1.0, 1.0, 4.0, None, 7.0, 1981-12-20 19:15:00, 6.0, None, 1.0
2.0, 100.0, 10.0, 10.0, -2.0, None, 7.0, 1981-12-21 06:30:00, 13.0, None, 10.0
0.0, None, 20.0, 20.0, 0.0, None, 5.0, 1981-12-21 20:50:00, 5.0, None, 30.0
4.5, 97.0, 20.0, 10.0, 1.0, None, 6.0, 1981-12-22 07:15:00, 2.0, None, 25.0
2.0, 100.0, None, None, 0.0, None, 5.0, 1981-12-22 18:45:00, 9.0, None, 15.0
3.0, 100.0, None, None, 1.5, None, 6.0, 1981-12-23 06:00:00, 11.0, None, 8.0
3.0, None, None, None, None, None, 1.0, 1981-12-23 19:30:00, 7.0, None, 3.0
2.0, 95.0, None, None, 1.0, None, 2.0, 1981-12-24 07:00:00, None, None, 2.0
4.0, 95.0, None, None, 1.0, None, 4.0, 1981-12-24 19:45:00, None, None, 1.0
8.0, 75.0, None, None, 7.0, None, 11.0, 1981-12-25 06:00:00, None, None, None
5.0, 96.0, None, None, 5.0, None, 14.0, 1981-12-25 18:00:00, None, None, None
4.0, 80.0, None, None, 4.0, None, 6.0, 1981-12-26 06:00:00, None, None, None
5.0, 95.0, None, None, 5.0, None, 8.0, 1981-12-26 18:00:00, None, None, None
3.0, 97.0, 20.0, 15.0, 3.0, None, 5.0, 1981-12-27 07:00:00, None, None, 20.0
-5.0, 95.0, 3.0, 3.0, -10.0, None, 1.0, 1981-12-27 19:45:00, None, None, 21.0
-3.0, 86.0, 10.0, 5.0, -6.5, None, 2.5, 1981-12-28 06:45:00, None, None, 25.0
1.5, 100.0, 5.0, 5.0, 1.0, None, 2.0, 1981-12-28 19:00:00, None, None, 10.0
1.0, 100.0, None, None, 1.0, None, 2.0, 1981-12-29 06:45:00, None, None, 10.0
3.0, 97.0, 1.0, 1.0, 1.0, None, 3.0, 1981-12-29 19:45:00, None, None, 8.0
-5.0, 85.0, None, None, -7.5, None, 0.0, 1981-12-30 07:00:00, None, None, 8.0
-6.0, 68.0, 3.0, 3.0, -11.0, None, -4.0, 1981-12-30 20:00:00, None, None, 18.0
-6.0, 71.0, 5.0, 5.0, -11.0, None, -4.0, 1981-12-31 07:00:00, None, None, 22.0
-6.0, 72.0, 2.0, 2.0, -11.0, None, -5.0, 1981-12-31 20:00:00, None, None, 15.0
-8.0, 72.0, None, None, -9.0, None, -8.0, 1982-01-02 19:30:00, None, None, 15.0
-14.0, 70.0, None, None, -17.0, None, -8.0, 1982-01-03 06:45:00, None, None, 15.0
-9.0, 70.0, None, None, -14.0, None, -8.0, 1982-01-03 19:45:00, None, None, 15.0
-14.0, 68.0, None, None, -16.0, None, -9.0, 1982-01-04 07:00:00, None, None, 15.0
-10.0, 62.0, None, None, -14.0, None, -2.0, 1982-01-04 19:30:00, None, None, 15.0
-9.0, 68.0, None, None, -13.5, None, -7.0, 1982-01-05 10:00:00, None, None, 15.0
-8.0, None, 1.0, 1.0, -9.0, None, -6.0, 1982-01-05 19:00:00, 1.0, None, 16.0
-9.0, 95.0, None, None, -11.0, None, -9.0, 1982-01-06 06:00:00, 14.0, None, None
1.0, 93.0, None, None, -9.0, None, 1.0, 1982-01-06 18:00:00, 34.0, None, None
1.0, 95.0, None, None, 1.0, None, 1.0, 1982-01-07 06:00:00, 26.0, None, None
-3.0, 98.0, 50.0, 10.0, -8.0, None, -2.0, 1982-01-07 17:05:00, 33.0, None, 60.0
-5.0, 100.0, None, None, -8.0, None, 1.0, 1982-01-08 09:30:00, 66.0, None, 60.0
-4.0, 99.0, 10.0, None, -8.0, None, 1.0, 1982-01-08 18:30:00, 29.0, None, 70.0
0.0, 98.0, None, None, 0.0, None, 2.0, 1982-01-09 06:00:00, 45.0, None, None
-1.0, 97.0, None, None, -1.0, None, 1.0, 1982-01-09 18:00:00, 0.0, None, None
0.0, 97.0, None, None, -1.0, None, 0.0, 1982-01-10 06:00:00, 1.0, None, None
1.0, 97.0, None, None, 0.0, None, 1.0, 1982-01-10 18:00:00, None, None, None
0.0, 98.0, None, None, 0.0, None, 1.0, 1982-01-11 06:00:00, None, None, None
-1.0, None, 10.0, 3.0, -2.0, None, 0.5, 1982-01-11 19:35:00, None, None, 70.0
2.0, 100.0, None, None, 1.0, None, 2.0, 1982-01-12 06:00:00, None, None, None
2.0, 100.0, None, None, 2.0, None, 3.0, 1982-01-12 18:00:00, None, None, None
-6.0, 93.0, 38.0, None, -10.0, None, -2.0, 1982-01-13 13:30:00, None, None, 48.0
-3.0, 88.0, 35.0, None, -6.0, None, -3.0, 1982-01-13 19:45:00, None, None, 45.0
-8.0, 90.0, None, None, -12.0, None, 7.0, 1982-01-14 07:20:00, 23.0, None, 40.0
-5.0, 99.0, None, None, -8.0, None, 5.0, 1982-01-14 19:50:00, 9.0, None, 40.0
-2.0, 72.0, None, None, -7.0, None, 4.0, 1982-01-15 06:30:00, 1.0, None, 40.0
-6.0, 63.0, 2.0, 2.0, -9.0, None, 5.0, 1982-01-15 19:00:00, 0.0, None, 40.0
None, None, None, None, None, None, None, 1982-01-16 06:00:00, 4.0, None, None
None, None, None, None, None, None, None, 1982-01-16 18:00:00, 7.0, None, None
-7.0, 84.0, 20.0, 20.0, -9.0, None, -7.0, 1982-01-17 07:00:00, 1.0, None, 55.0
-6.0, 90.0, None, None, -10.0, None, None, 1982-01-17 20:55:00, 1.0, None, 45.0
-7.0, 82.0, None, None, -8.0, None, -4.0, 1982-01-18 07:00:00, 0.0, None, 45.0
-5.0, 79.0, 7.0, 1.0, -7.0, None, -3.0, 1982-01-18 19:25:00, 0.0, None, 46.0
-6.0, 80.0, 1.0, 1.0, -7.0, None, -3.0, 1982-01-19 06:00:00, 0.0, None, 46.0
-6.0, 72.0, 1.0, None, -7.0, None, -2.0, 1982-01-19 19:25:00, 0.0, None, 46.0
-7.0, 55.0, 1.0, None, -7.0, None, -2.0, 1982-01-20 06:15:00, 0.0, None, 46.0
-11.0, 47.0, None, None, -18.0, None, -2.0, 1982-01-20 19:25:00, 0.0, None, 46.0
-14.0, 46.0, None, None, -18.0, None, -2.5, 1982-01-21 06:10:00, 1.0, None, 46.0
-15.0, 50.0, None, None, -18.0, None, -9.0, 1982-01-21 19:20:00, 1.0, None, 46.0
-15.0, 49.0, None, None, -18.0, None, -10.0, 1982-01-22 06:00:00, 0.0, None, 46.0
-11.0, 65.0, None, None, -18.0, None, -9.0, 1982-01-22 19:25:00, 4.0, None, 46.0
-10.0, 75.0, None, 8.0, -17.0, None, -8.0, 1982-01-23 06:15:00, 1.0, None, 49.0
-9.0, 92.0, 12.0, 10.0, -18.0, None, -8.0, 1982-01-23 17:45:00, 4.0, None, 50.0
-8.5, 94.0, None, None, -9.0, None, -7.0, 1982-01-24 06:00:00, 2.0, None, None
0.0, 98.0, None, None, -9.0, None, 2.0, 1982-01-24 18:00:00, 21.0, None, None
1.0, 100.0, None, None, -2.0, None, 1.0, 1982-01-25 06:00:00, 6.0, None, None
1.0, 95.0, 25.0, 20.0, -10.0, None, 2.0, 1982-01-25 22:00:00, 5.0, None, 70.0
0.0, 94.0, None, None, -5.0, None, 1.0, 1982-01-26 07:15:00, 1.0, None, 70.0
-3.0, 91.0, None, None, -3.0, None, 0.0, 1982-01-26 18:30:00, 0.0, None, 70.0
-3.0, 95.0, 2.0, 2.0, -5.0, None, -3.0, 1982-01-27 07:10:00, 0.0, None, 72.0
-2.0, 97.0, None, None, -4.0, None, 0.0, 1982-01-27 20:10:00, 1.0, None, 70.0
-3.0, 98.0, None, None, -5.0, None, -2.0, 1982-01-28 07:15:00, None, None, 70.0
