station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-3.5, 85.0, 12.0, 12.0, -4.5, None, -3.0, 1980-12-26 07:00:00, None, None, 123.0
1.0, 83.0, 23.0, 12.0, -3.0, None, 4.0, 1980-12-26 16:30:00, None, None, 131.0
4.0, 87.0, 19.0, None, 0.5, None, 7.5, 1980-12-27 07:00:00, None, None, 124.0
3.0, 86.0, None, None, 2.5, None, 5.0, 1980-12-27 16:30:00, None, None, 118.0
2.5, 83.0, None, None, 1.5, None, 4.0, 1980-12-28 07:25:00, None, None, 115.0
2.0, 88.0, None, None, 1.5, None, 4.5, 1980-12-28 17:00:00, None, None, 110.0
1.0, 90.0, None, None, 1.0, None, 3.0, 1980-12-29 06:15:00, None, None, 105.0
1.0, 91.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1980-12-29 16:00:00, None, None, 100.0
1.5, 91.0, None, None, 1.0, None, 1.5, 1980-12-30 06:05:00, None, None, 98.0
1.5, 90.0, None, None, 1.0, None, 2.5, 1980-12-30 16:10:00, None, None, 98.0
1.5, 92.0, None, None, 0.5, None, 2.0, 1980-12-31 06:10:00, None, None, 97.0
2.5, 68.0, None, None, 1.5, None, 4.0, 1980-12-31 16:30:00, None, None, 95.0
-1.0, 66.0, None, None, -1.0, None, 2.5, 1981-01-01 06:10:00, None, None, 94.0
-1.5, 67.0, None, None, -1.5, None, 0.0, 1981-01-01 16:43:00, None, None, 94.0
-4.0, 70.0, None, None, -4.5, None, -2.0, 1981-01-02 06:15:00, None, None, 94.0
-4.0, 66.0, None, None, -4.5, None, -2.0, 1981-01-02 15:15:00, None, None, 94.0
-6.5, 70.0, None, None, -6.5, None, -3.0, 1981-01-03 06:15:00, None, None, 94.0
-5.5, 72.0, None, None, -7.0, None, -5.0, 1981-01-03 17:10:00, None, None, 93.0
-7.0, 75.0, None, None, -7.0, None, -5.5, 1981-01-04 06:10:00, None, None, 93.0
-5.5, 72.0, None, None, -7.0, None, -5.5, 1981-01-04 17:00:00, None, None, 93.0
-5.5, 80.0, None, None, -7.5, None, -5.0, 1981-01-05 06:10:00, None, None, 92.0
-3.5, 73.0, None, None, -6.0, None, -3.0, 1981-01-05 17:05:00, None, None, 92.0
-4.0, 86.0, None, None, -4.0, None, -3.5, 1981-01-06 06:10:00, None, None, 92.0
-3.0, 88.0, 13.0, 13.0, -4.0, 13.0, -3.0, 1981-01-06 16:15:00, None, None, 105.0
-2.5, 85.0, None, None, -3.0, None, -2.0, 1981-01-07 06:05:00, None, None, 103.0
-2.0, 86.0, None, None, -3.0, None, -0.5, 1981-01-07 17:00:00, None, None, 102.0
-2.0, 88.0, 5.0, 5.0, -2.5, 5.0, -1.5, 1981-01-09 06:30:00, None, None, 107.0
-1.0, 80.0, 4.0, 4.0, -2.0, 4.0, 0.0, 1981-01-09 16:30:00, None, None, 109.0
-0.5, 90.0, None, None, -1.0, None, -0.5, 1981-01-10 06:10:00, None, None, 107.0
-0.5, 85.0, None, None, -1.0, None, 1.5, 1981-01-10 17:00:00, None, None, 106.0
-1.0, 87.0, None, None, -1.5, None, -0.5, 1981-01-11 06:05:00, None, None, 106.0
-1.5, 80.0, None, None, -2.0, None, -0.5, 1981-01-11 18:00:00, None, None, 104.0
-3.0, 83.0, None, None, -3.5, None, -1.5, 1981-01-12 06:10:00, None, None, 104.0
None, 80.0, None, None, None, None, None, 1981-01-12 18:00:00, None, None, 103.0
-4.5, 80.0, None, None, -5.0, None, -3.0, 1981-01-13 06:15:00, None, None, 102.0
