station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
4.0, None, 0.0, 0.0, 3.0, 19.0, 1988-11-07 06:50:00, None, 0.0
1.0, None, 0.0, 0.0, -2.0, 9.0, 1988-11-08 06:50:00, None, 0.0
5.0, None, 0.0, 0.0, 2.0, 5.0, 1988-11-09 06:50:00, None, 0.0
4.0, None, 0.0, 0.0, 2.0, 6.0, 1988-11-10 07:15:00, None, 0.0
4.0, None, 0.0, 0.0, -3.0, 6.0, 1988-11-11 07:00:00, None, 0.0
6.0, None, 0.0, 0.0, 3.0, 9.0, 1988-11-12 07:15:00, None, 0.0
0.0, None, 0.0, 0.0, None, 11.0, 1988-11-13 06:10:00, None, 0.0
0.0, None, 0.0, 0.0, 0.0, 6.0, 1988-11-13 19:00:00, None, 0.0
0.0, None, 0.0, 0.0, -1.0, 3.0, 1988-11-14 06:20:00, None, 0.0
3.0, None, 0.0, 0.0, 3.0, 8.0, 1988-11-14 16:00:00, None, 0.0
-1.0, None, 0.0, 0.0, -3.0, 9.0, 1988-11-15 06:15:00, None, 0.0
4.0, None, 0.0, 0.0, 4.0, 9.0, 1988-11-15 16:00:00, None, 0.0
4.0, None, 0.0, 0.0, 3.0, 5.0, 1988-11-16 06:30:00, None, 0.0
5.0, None, 0.0, 0.0, 4.0, 5.1, 1988-11-16 16:33:00, None, 0.0
2.0, None, 0.0, 0.0, 2.0, 7.0, 1988-11-17 06:10:00, None, 0.0
4.0, None, 0.0, 0.0, 2.0, 8.0, 1988-11-17 17:00:00, None, 0.0
-2.0, None, 0.0, 0.0, -2.0, 5.0, 1988-11-18 06:10:00, None, 0.0
3.0, None, 0.0, 0.0, -3.0, 4.0, 1988-11-18 15:15:00, None, 0.0
4.0, None, 0.0, 0.0, 1.0, 5.0, 1988-11-19 06:15:00, None, 0.0
5.0, None, 0.0, 0.0, 3.0, 6.0, 1988-11-19 15:30:00, None, 0.0
4.0, None, 0.0, 0.0, 4.0, 6.0, 1988-11-20 06:20:00, None, 0.0
6.0, None, 0.0, 0.0, 4.0, 6.0, 1988-11-20 16:02:00, None, 0.0
4.0, None, 0.0, 0.0, 4.0, 6.0, 1988-11-21 06:15:00, None, 0.0
5.0, None, 0.0, 0.0, 3.5, 6.0, 1988-11-21 15:39:00, None, 0.0
4.0, None, 0.0, 0.0, -3.0, 6.0, 1988-11-22 06:15:00, None, 0.0
8.0, None, 0.0, 0.0, 4.0, 8.0, 1988-11-22 17:06:00, None, 0.0
6.0, None, 0.0, 0.0, 4.0, 9.0, 1988-11-23 06:20:00, None, 0.0
5.0, None, 0.0, 0.0, 4.5, 9.0, 1988-11-23 15:53:00, None, 0.0
0.0, None, 0.0, 0.0, -2.0, 6.0, 1988-11-24 06:20:00, None, 0.0
2.0, None, 0.0, 0.0, 0.0, 5.0, 1988-11-24 16:53:00, None, 0.0
-1.0, None, 6.0, 6.0, -1.0, 3.0, 1988-11-25 06:00:00, None, 6.0
3.0, None, 0.0, 0.0, 0.0, 6.0, 1988-11-25 15:00:00, None, 0.0
-3.0, None, 0.0, 0.0, -3.0, 4.0, 1988-11-26 06:40:00, None, 0.0
1.0, None, 0.0, 0.0, -2.0, 5.0, 1988-11-26 15:15:00, None, 0.0
-1.0, None, None, None, -2.0, 2.0, 1988-11-27 06:15:00, None, None
3.0, None, 0.0, 0.0, -1.0, 3.0, 1988-11-27 17:02:00, None, 0.0
1.0, None, 0.0, 0.0, -3.0, 3.0, 1988-11-28 06:15:00, None, 0.0
4.0, None, 0.0, 0.0, 1.5, 7.0, 1988-11-28 17:00:00, None, 0.0
3.0, None, 0.0, 0.0, 0.0, 7.0, 1988-11-29 06:15:00, None, 0.0
6.0, None, 0.0, 0.0, 3.0, 10.0, 1988-11-29 15:30:00, None, 0.0
3.0, None, 0.0, 0.0, 2.0, 10.0, 1988-11-30 06:20:00, None, 0.0
4.0, None, 0.0, 0.0, 3.0, 5.0, 1988-11-30 16:49:00, None, 0.0
3.0, None, 0.0, 0.0, 3.0, 5.0, 1988-12-01 06:20:00, None, 0.0
5.0, None, 0.0, 0.0, 2.0, 7.0, 1988-12-01 16:34:00, None, 0.0
4.0, None, 0.0, 0.0, 4.0, 6.0, 1988-12-02 06:20:00, None, 0.0
4.0, None, 0.0, 0.0, 3.0, 4.0, 1988-12-02 15:15:00, None, 0.0
-2.0, None, 0.0, 0.0, -2.0, 5.0, 1988-12-03 06:20:00, None, 0.0
2.0, None, 0.0, 0.0, -2.0, 6.0, 1988-12-03 16:00:00, None, 0.0
-3.0, None, 0.0, 0.0, -3.0, 2.0, 1988-12-04 06:20:00, None, 0.0
0.0, None, 0.0, 0.0, -0.4, 7.0, 1988-12-04 16:55:00, None, 0.0
-1.0, None, 0.0, 0.0, -5.0, 7.0, 1988-12-05 06:20:00, None, 0.0
1.0, None, 0.0, 0.0, 0.0, 3.0, 1988-12-05 17:10:00, None, 0.0
0.0, None, 4.0, 4.0, -5.0, 1.0, 1988-12-06 06:30:00, None, 4.0
0.0, None, 6.0, 6.0, -4.0, 3.0, 1988-12-06 15:15:00, None, 8.0
1.0, None, 0.0, 0.0, 0.0, 2.0, 1988-12-07 06:20:00, None, 0.0
3.0, None, 0.0, 0.0, 0.0, 6.5, 1988-12-07 17:12:00, None, 0.0
1.0, None, 0.0, 0.0, 1.0, 3.0, 1988-12-08 06:15:00, None, 0.0
3.0, None, 0.0, 0.0, 1.0, 4.0, 1988-12-08 16:07:00, None, 0.0
3.0, None, 0.0, 0.0, 3.0, 4.0, 1988-12-09 06:20:00, None, 0.0
3.0, None, 0.0, 0.0, 2.0, 4.0, 1988-12-09 15:15:00, None, 0.0
2.0, None, 0.0, 0.0, 1.0, 4.0, 1988-12-10 06:20:00, None, 0.0
3.0, None, 0.0, 0.0, 1.0, 4.0, 1988-12-10 15:00:00, None, 0.0
2.0, None, 0.0, 0.0, 2.0, 4.0, 1988-12-11 06:15:00, None, 0.0
3.0, None, 0.0, 0.0, 1.0, 4.0, 1988-12-11 16:50:00, None, 0.0
2.0, None, 0.0, 0.0, 2.0, 4.0, 1988-12-12 06:15:00, None, 0.0
2.0, None, 1.0, 1.0, 1.0, 3.0, 1988-12-12 17:50:00, None, 1.0
5.0, None, 0.0, 0.0, 3.0, 7.0, 1988-12-13 06:15:00, None, 0.0
3.0, None, 0.0, 0.0, 3.0, 7.0, 1988-12-13 17:15:00, None, 0.0
1.0, None, 0.0, 0.0, 0.0, 5.0, 1988-12-14 06:20:00, None, 0.0
1.0, None, 0.0, 0.0, 0.5, 3.0, 1988-12-14 17:02:00, None, 0.0
-5.0, None, 0.0, 0.0, -5.0, 2.0, 1988-12-15 06:15:00, None, 0.0
-2.0, None, 0.0, 0.0, -5.0, 3.0, 1988-12-15 17:08:00, None, 0.0
-5.0, None, 0.0, 0.0, -6.0, -2.0, 1988-12-16 06:20:00, None, 0.0
-3.0, None, 0.0, 0.0, -5.0, -2.0, 1988-12-16 15:30:00, None, 0.0
-4.0, None, 0.0, 0.0, -4.0, -3.0, 1988-12-17 06:20:00, None, 0.0
-1.0, None, 0.0, 0.0, -4.0, 0.0, 1988-12-17 15:00:00, None, 0.0
-2.0, None, 0.0, 0.0, -2.0, 0.0, 1988-12-18 06:20:00, None, 0.0
-1.0, None, 0.0, 0.0, -2.0, 0.0, 1988-12-18 16:52:00, None, 0.0
-4.0, None, 0.0, 0.0, -4.0, -1.0, 1988-12-19 06:15:00, None, 0.0
-2.0, None, 0.0, 0.0, -6.0, 5.0, 1988-12-19 17:08:00, None, 0.0
-2.0, None, 0.0, 0.0, -4.0, -2.0, 1988-12-20 06:15:00, None, 0.0
1.0, None, 0.0, 0.0, 0.0, 2.0, 1988-12-20 17:12:00, None, 0.0
-2.0, None, 3.0, 3.0, -3.0, 0.0, 1988-12-21 08:00:00, None, 3.0
1.0, None, 0.0, 0.0, -2.0, 3.0, 1988-12-21 16:54:00, None, 2.0
0.0, None, 0.0, 0.0, 0.0, 1.0, 1988-12-22 06:18:00, None, 1.0
