station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
0.0, None, 8.0, 0.0, 0.0, 1977-11-01 07:00:00, 8.0
4.0, None, None, 0.0, 4.0, 1977-11-01 15:00:00, 4.0
None, None, None, None, None, 1977-11-02 07:00:00, 0.0
None, None, None, None, None, 1977-11-02 15:00:00, 0.0
None, None, None, None, None, 1977-11-03 07:00:00, 0.0
None, None, None, None, None, 1977-11-03 15:00:00, 0.0
None, None, None, None, None, 1977-11-04 07:00:00, 0.0
None, None, None, None, None, 1977-11-04 15:00:00, 0.0
0.0, None, 1.0, 0.0, 0.0, 1977-11-05 07:00:00, 1.0
None, None, None, None, None, 1977-11-05 15:00:00, 0.0
None, None, 1.0, None, None, 1977-11-06 07:00:00, 1.0
None, None, None, None, None, 1977-11-06 15:00:00, 0.0
None, None, None, None, None, 1977-11-07 07:00:00, 0.0
None, None, None, None, None, 1977-11-07 15:00:00, 0.0
None, None, None, None, None, 1977-11-08 07:00:00, 0.0
None, None, None, None, None, 1977-11-08 15:00:00, 0.0
None, None, 5.0, None, None, 1977-11-09 07:00:00, 5.0
None, None, 5.0, None, None, 1977-11-09 15:00:00, 3.0
None, None, None, None, None, 1977-11-10 07:00:00, 3.0
None, None, None, None, None, 1977-11-10 15:00:00, 1.0
2.0, None, None, 0.0, 3.0, 1977-11-12 07:00:00, 0.0
4.0, None, None, 0.0, 4.0, 1977-11-12 15:00:00, 0.0
0.0, None, None, -3.0, 4.0, 1977-11-13 07:00:00, 0.0
9.0, None, None, 0.0, 9.0, 1977-11-13 15:00:00, 0.0
None, None, None, None, None, 1977-11-14 07:00:00, 0.0
None, None, None, None, None, 1977-11-14 15:00:00, 0.0
None, None, 2.0, None, None, 1977-11-15 07:00:00, 2.0
None, None, 1.0, None, None, 1977-11-15 15:00:00, 2.0
None, None, None, None, None, 1977-11-16 07:00:00, 1.0
None, None, None, None, None, 1977-11-18 07:00:00, 0.0
None, None, None, None, None, 1977-11-18 15:00:00, 0.0
None, None, None, None, None, 1977-11-19 07:00:00, 0.0
None, None, None, None, None, 1977-11-19 15:00:00, 0.0
None, None, None, None, None, 1977-11-20 07:00:00, 0.0
None, None, None, None, None, 1977-11-20 15:00:00, 0.0
None, None, None, None, None, 1977-11-21 07:00:00, 0.0
None, None, None, None, None, 1977-11-21 15:00:00, 0.0
None, None, None, None, None, 1977-11-22 07:00:00, 0.0
None, None, None, None, None, 1977-11-22 15:00:00, 0.0
None, None, None, None, None, 1977-11-23 07:00:00, 0.0
None, None, 2.0, None, None, 1977-11-24 07:00:00, 2.0
None, None, 3.0, None, None, 1977-11-25 07:00:00, 3.0
None, None, 5.0, None, None, 1977-11-25 15:00:00, 5.0
-2.0, None, None, -2.0, 0.0, 1977-11-26 07:00:00, 5.0
7.0, None, None, -2.0, 7.0, 1977-11-26 15:00:00, 3.0
-1.0, None, 3.0, -1.0, 7.0, 1977-11-27 07:00:00, 4.0
3.0, None, 2.0, -1.0, 3.0, 1977-11-27 15:00:00, 5.0
None, None, None, None, None, 1977-11-28 07:00:00, 5.0
None, None, None, None, None, 1977-11-28 15:00:00, 5.0
None, None, 5.0, None, None, 1977-11-29 07:00:00, 10.0
6.0, None, None, 5.0, None, 1977-11-29 15:00:00, 8.0
None, None, None, None, None, 1977-11-30 07:00:00, 8.0
None, None, None, None, None, 1977-11-30 15:00:00, 8.0
None, None, 5.0, None, None, 1977-12-01 07:00:00, 12.0
None, None, 8.0, None, None, 1977-12-01 15:00:00, 20.0
None, None, 12.0, None, None, 1977-12-02 07:00:00, 37.0
None, None, None, None, None, 1977-12-02 15:00:00, 37.0
None, None, 1.0, None, None, 1977-12-03 07:00:00, 37.0
None, None, 1.0, None, None, 1977-12-03 15:00:00, 38.0
8.0, None, None, None, None, 1977-12-04 07:00:00, 29.0
9.0, None, None, None, None, 1977-12-04 15:00:00, 20.0
-11.0, None, 2.0, None, None, 1977-12-05 07:00:00, 20.0
-4.0, None, None, None, None, 1977-12-05 15:00:00, 20.0
-7.0, None, 10.0, None, None, 1977-12-06 07:00:00, 30.0
-4.0, None, 1.0, None, None, 1977-12-06 15:00:00, 30.0
-15.0, None, 1.0, None, None, 1977-12-07 07:00:00, 31.0
