station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
0.0, None, None, 15.0, 0.0, None, 9.0, 1963-10-22 07:00:00, None, None, None, 15.0
2.0, None, None, 15.0, 1.0, None, 4.0, 1963-10-24 07:00:00, None, None, None, 15.0
-2.0, None, None, 30.0, -2.0, None, 2.0, 1963-10-25 07:00:00, None, None, None, None
-6.0, None, None, 10.0, -7.0, None, 1.0, 1963-10-26 07:00:00, None, None, None, None
-7.0, None, None, 5.0, -8.0, None, 2.0, 1963-10-27 07:00:00, None, None, None, None
-1.0, None, None, 13.0, -2.0, None, 1.0, 1963-10-28 07:00:00, None, None, None, None
-2.0, None, None, 13.0, -3.0, None, 3.0, 1963-10-29 07:00:00, None, None, None, None
-3.0, None, None, 102.0, -4.0, None, 3.0, 1963-11-01 07:00:00, None, None, None, None
None, None, None, 26.0, None, None, None, 1963-11-02 07:00:00, None, None, None, None
-6.0, None, None, None, -6.0, None, 2.0, 1963-11-03 07:00:00, None, None, None, None
-4.0, None, None, None, -5.0, None, 2.0, 1963-11-04 07:00:00, None, None, None, None
-5.0, None, None, 13.0, -6.0, None, 2.0, 1963-11-05 07:00:00, None, None, None, None
-2.0, None, None, 5.0, -3.0, None, 2.0, 1963-11-06 07:00:00, None, None, None, None
-4.0, None, None, None, -6.0, None, 0.0, 1963-11-07 07:00:00, None, None, None, None
-5.0, None, None, 15.0, -6.0, None, -1.0, 1963-11-08 07:00:00, None, None, None, None
-7.0, None, None, 5.0, -8.0, None, 2.0, 1963-11-09 07:00:00, None, None, None, None
-2.0, None, None, 5.0, -3.0, None, 2.0, 1963-11-10 07:00:00, None, None, None, None
-12.0, None, None, None, -12.0, None, 2.0, 1963-11-11 07:00:00, None, None, None, None
-1.0, None, None, None, -2.0, None, 2.0, 1963-11-12 07:00:00, None, None, None, None
1.0, None, None, None, 0.0, None, 2.0, 1963-11-13 07:00:00, None, None, None, None
0.0, None, None, None, 0.0, None, 4.0, 1963-11-14 07:00:00, None, None, None, None
-1.0, None, None, 3.0, -3.0, None, 4.0, 1963-11-15 07:00:00, None, None, None, None
-2.0, None, None, 10.0, -3.0, None, 1.0, 1963-11-16 07:00:00, None, None, None, None
-1.0, None, None, 10.0, -2.0, None, 1.0, 1963-11-17 07:00:00, None, None, None, None
-4.0, None, None, 28.0, -6.0, None, 0.0, 1963-11-18 07:00:00, None, None, None, None
-3.0, None, None, 18.0, -6.0, None, -2.0, 1963-11-19 07:00:00, None, None, None, None
-21.0, None, None, 10.0, -22.0, None, -11.0, 1963-11-20 07:00:00, None, None, None, None
-12.0, None, None, 10.0, -17.0, None, -9.0, 1963-11-21 07:00:00, None, None, None, None
-6.0, None, None, 15.0, -7.0, None, -3.0, 1963-11-22 07:00:00, None, None, None, None
-2.0, None, None, 15.0, -7.0, None, -1.0, 1963-11-23 07:00:00, None, None, None, None
-3.0, None, None, 13.0, -3.0, None, 1.0, 1963-11-24 07:00:00, None, None, None, None
0.0, None, None, None, -1.0, None, 2.0, 1963-11-25 07:00:00, None, None, None, None
1.0, None, None, None, 1.0, None, 6.0, 1963-11-26 07:00:00, None, None, None, None
-5.0, None, None, 51.0, -5.0, None, 1.0, 1963-11-27 07:00:00, None, None, None, None
-13.0, None, None, 5.0, -14.0, None, -3.0, 1963-11-28 07:00:00, None, None, None, None
-12.0, None, None, None, -13.0, None, -6.0, 1963-11-29 07:00:00, None, None, None, None
-11.0, None, None, None, -14.0, None, -6.0, 1963-11-30 07:00:00, None, None, None, None
-12.0, None, None, 472.0, -12.0, None, -7.0, 1963-12-01 07:00:00, None, None, None, None
-11.0, None, None, 472.0, -11.0, None, -6.0, 1963-12-02 07:00:00, None, None, None, None
-8.0, None, None, None, -8.0, None, -5.0, 1963-12-03 07:00:00, None, None, None, None
-6.0, None, None, None, -9.0, None, -4.0, 1963-12-04 07:00:00, None, None, None, None
0.0, None, None, None, -1.0, None, 1.0, 1963-12-05 07:00:00, None, None, None, None
-4.0, None, None, 18.0, -5.0, None, 1.0, 1963-12-06 07:00:00, None, None, None, None
-13.0, None, None, None, -13.0, None, -2.0, 1963-12-07 07:00:00, None, None, None, None
-5.0, None, None, 5.0, -7.0, None, -5.0, 1963-12-08 07:00:00, None, None, None, None
-8.0, None, None, 10.0, -8.0, None, -4.0, 1963-12-09 07:00:00, None, None, None, None
-16.0, None, None, 5.0, -23.0, None, -7.0, 1963-12-10 07:00:00, None, None, None, None
-13.0, None, None, None, -17.0, None, -9.0, 1963-12-11 07:00:00, None, None, None, None
-4.0, None, None, None, -5.0, None, 0.0, 1963-12-12 07:00:00, None, None, None, None
-5.0, None, None, None, -7.0, None, -1.0, 1963-12-13 07:00:00, None, None, None, None
-8.0, None, None, 3.0, -9.0, None, -3.0, 1963-12-14 07:00:00, None, None, None, None
-3.0, None, None, 23.0, -4.0, None, -3.0, 1963-12-15 07:00:00, None, None, None, None
-6.0, None, None, 15.0, -6.0, None, -2.0, 1963-12-16 07:00:00, None, None, None, None
-11.0, None, None, 15.0, -12.0, None, -7.0, 1963-12-17 07:00:00, None, None, None, None
-12.0, None, None, None, -14.0, None, -9.0, 1963-12-18 07:00:00, None, None, None, None
-3.0, None, None, None, -4.0, None, -2.0, 1963-12-19 07:00:00, None, None, None, None
-5.0, None, None, 5.0, -6.0, None, -1.0, 1963-12-20 07:00:00, None, None, None, None
-5.0, None, None, None, -6.0, None, 1.0, 1963-12-21 07:00:00, None, None, None, None
-4.0, None, None, None, -9.0, None, -3.0, 1963-12-22 07:00:00, None, None, None, None
1.0, None, None, None, -7.0, None, 1.0, 1963-12-23 07:00:00, None, None, None, None
4.0, None, None, None, -1.0, None, 6.0, 1963-12-24 07:00:00, None, None, None, None
-3.0, None, None, 8.0, -4.0, None, 5.0, 1963-12-25 07:00:00, None, None, None, None
-9.0, None, None, None, -10.0, None, -1.0, 1963-12-26 07:00:00, None, None, None, None
-6.0, None, None, 11.0, -8.0, None, -3.0, 1963-12-27 07:00:00, None, None, None, None
-3.0, None, None, 3.0, -5.0, None, 0.0, 1963-12-28 07:00:00, None, None, None, None
-8.0, None, None, None, -11.0, None, 0.0, 1963-12-29 07:00:00, None, None, None, None
1.0, None, None, 66.0, 0.0, None, 5.0, 1963-12-31 07:00:00, None, None, None, None
1.0, None, None, 15.0, -3.0, None, 3.0, 1964-01-01 07:00:00, None, None, None, None
-4.0, None, None, 5.0, -6.0, None, 1.0, 1964-01-02 07:00:00, None, None, None, None
-3.0, None, None, 3.0, -5.0, None, -2.0, 1964-01-03 07:00:00, None, None, None, None
-4.0, None, None, 23.0, -5.0, None, -2.0, 1964-01-04 07:00:00, None, None, None, None
-4.0, None, None, None, -6.0, None, -3.0, 1964-01-05 07:00:00, None, None, None, None
-5.0, None, None, 20.0, -6.0, None, -2.0, 1964-01-06 07:00:00, None, None, None, None
-13.0, None, None, 15.0, -13.0, None, -3.0, 1964-01-07 07:00:00, None, None, None, None
-8.0, None, None, None, -9.0, None, -3.0, 1964-01-08 07:00:00, None, None, None, None
-6.0, None, None, 13.0, -6.0, None, -4.0, 1964-01-09 07:00:00, None, None, None, None
-7.0, None, None, 20.0, -7.0, None, -5.0, 1964-01-10 07:00:00, None, None, None, None
-9.0, None, None, 8.0, -9.0, None, -2.0, 1964-01-11 07:00:00, None, None, None, None
-8.0, None, None, None, -9.0, None, -3.0, 1964-01-12 07:00:00, None, None, None, None
-4.0, None, None, None, -7.0, None, -3.0, 1964-01-13 07:00:00, None, None, None, None
-7.0, None, None, 8.0, -7.0, None, -2.0, 1964-01-14 07:00:00, None, None, None, None
-4.0, None, None, 3.0, -6.0, None, -2.0, 1964-01-15 07:00:00, None, None, None, None
-1.0, None, None, 20.0, -1.0, None, 3.0, 1964-01-16 07:00:00, None, None, None, None
-4.0, None, None, 20.0, -7.0, None, -1.0, 1964-01-17 07:00:00, None, None, None, None
-7.0, None, None, 356.0, -9.0, None, -3.0, 1964-01-18 07:00:00, None, None, None, None
-9.0, None, None, 18.0, -9.0, None, -3.0, 1964-01-19 07:00:00, None, None, None, None
-6.0, None, None, 381.0, -8.0, None, -3.0, 1964-01-20 07:00:00, None, None, None, None
-11.0, None, None, None, -13.0, None, -5.0, 1964-01-21 07:00:00, None, None, None, None
-11.0, None, None, 3.0, -11.0, None, -6.0, 1964-01-22 07:00:00, None, None, None, None
-9.0, None, None, 10.0, -12.0, None, -6.0, 1964-01-23 07:00:00, None, None, None, None
-7.0, None, None, None, -11.0, None, -5.0, 1964-01-24 07:00:00, None, None, None, None
-3.0, None, None, 584.0, -4.0, None, -1.0, 1964-01-25 07:00:00, None, None, None, None
-8.0, None, None, None, -9.0, None, 1.0, 1964-01-26 07:00:00, None, None, None, None
-3.0, None, None, 10.0, -5.0, None, -2.0, 1964-01-27 07:00:00, None, None, None, None
-4.0, None, None, 10.0, -5.0, None, 1.0, 1964-01-28 07:00:00, None, None, None, None
-2.0, None, None, 15.0, -3.0, None, 0.0, 1964-01-29 07:00:00, None, None, None, None
-2.0, None, None, 25.0, -3.0, None, 0.0, 1964-01-30 07:00:00, None, None, None, None
-5.0, None, None, None, -8.0, None, -2.0, 1964-01-31 07:00:00, None, None, None, None
-3.0, None, None, 38.0, -4.0, None, -2.0, 1964-02-01 07:00:00, None, None, None, None
-11.0, None, None, None, -13.0, None, -1.0, 1964-02-02 07:00:00, None, None, None, None
-8.0, None, None, None, -8.0, None, 1.0, 1964-02-03 07:00:00, None, None, None, None
2.0, None, None, None, -1.0, None, 2.0, 1964-02-04 07:00:00, None, None, None, None
-6.0, None, None, 10.0, -7.0, None, 2.0, 1964-02-05 07:00:00, None, None, None, None
-12.0, None, None, None, -13.0, None, -2.0, 1964-02-06 07:00:00, None, None, None, None
-13.0, None, None, None, -13.0, None, -1.0, 1964-02-07 07:00:00, None, None, None, None
-9.0, None, None, None, -10.0, None, -1.0, 1964-02-08 07:00:00, None, None, None, None
-1.0, None, None, 5.0, -2.0, None, 1.0, 1964-02-09 07:00:00, None, None, None, None
-2.0, None, None, None, -6.0, None, 2.0, 1964-02-10 07:00:00, None, None, None, None
-6.0, None, None, 8.0, -6.0, None, 1.0, 1964-02-11 07:00:00, None, None, None, None
-10.0, None, None, None, -14.0, None, -3.0, 1964-02-12 07:00:00, None, None, None, None
