station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
5.0, None, None, 4.0, None, None, None, 1977-01-16 15:00:00, None, None, None, 41.0
-3.0, None, None, None, None, None, None, 1977-01-18 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-01-19 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-01-19 15:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-20 15:00:00, None, None, None, None
4.0, None, None, None, None, None, None, 1977-01-21 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-01-25 08:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-01-25 15:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-01-26 15:00:00, None, None, None, None
-4.0, None, None, None, None, None, None, 1977-01-27 08:00:00, None, None, None, None
-12.0, None, None, None, None, None, None, 1977-01-28 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-02-01 08:00:00, None, None, None, None
4.0, None, None, None, None, None, None, 1977-02-02 15:00:00, None, None, None, None
8.0, None, None, None, None, None, None, 1977-02-03 15:00:00, None, None, None, None
-6.0, None, None, None, None, None, None, 1977-02-04 08:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-02-10 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-02-10 15:00:00, None, None, None, None
-4.0, None, None, None, None, None, None, 1977-02-11 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-02-14 08:00:00, None, None, None, None
4.0, None, None, None, None, None, None, 1977-02-15 08:00:00, None, None, None, None
5.0, None, None, None, None, None, None, 1977-02-15 15:00:00, None, None, None, None
-2.0, None, None, 6.0, None, None, None, 1977-02-16 08:00:00, None, None, None, 38.0
5.0, None, None, 4.0, None, None, None, 1977-02-16 15:00:00, None, None, None, 41.0
-4.0, None, None, None, None, None, None, 1977-02-17 08:00:00, None, None, None, 41.0
6.0, None, None, None, None, None, None, 1977-02-17 15:00:00, None, None, None, 41.0
4.0, None, None, None, None, None, None, 1977-02-21 08:00:00, None, None, None, 34.0
1.0, None, None, None, None, None, None, 1977-02-22 08:00:00, None, None, None, 34.0
4.0, None, None, None, None, None, None, 1977-02-22 15:00:00, None, None, None, 34.0
-2.0, None, None, None, None, None, None, 1977-02-23 08:00:00, None, None, None, 34.0
-6.0, None, None, None, None, None, None, 1977-02-24 08:00:00, None, None, None, 33.0
1.0, None, None, None, None, None, None, 1977-02-24 15:00:00, None, None, None, 33.0
-6.0, None, None, None, None, None, None, 1977-02-25 07:00:00, None, None, None, 33.0
6.0, None, None, None, None, None, None, 1977-02-28 08:00:00, None, None, None, 31.0
6.0, None, None, None, None, None, None, 1977-02-28 15:00:00, None, None, None, 30.0
1.0, None, None, None, None, None, None, 1977-03-01 15:00:00, None, None, None, 31.0
-4.0, None, None, 5.0, None, None, None, 1977-03-02 08:00:00, None, None, None, 32.0
-1.0, None, None, None, None, None, None, 1977-03-03 08:00:00, None, None, None, 32.0
4.0, None, None, None, None, None, None, 1977-03-03 15:00:00, None, None, None, 32.0
-2.0, None, None, None, None, None, None, 1977-03-04 08:00:00, None, None, None, 32.0
-4.0, None, None, None, None, None, None, 1977-03-04 15:00:00, None, None, None, 32.0
-3.0, None, None, 2.0, None, None, None, 1977-03-07 08:00:00, None, None, None, 32.0
1.0, None, None, None, None, None, None, 1977-03-08 15:00:00, None, None, None, 31.0
-2.0, None, None, 5.0, None, None, None, 1977-03-09 08:00:00, None, None, None, 36.0
-4.0, None, None, None, None, None, None, 1977-03-10 08:00:00, None, None, None, 31.0
2.0, None, None, 4.0, None, None, None, 1977-03-11 08:00:00, None, None, None, 35.0
4.0, None, None, None, None, None, None, 1977-03-11 15:00:00, None, None, None, 35.0
-7.0, None, None, 7.0, None, None, None, 1977-03-14 08:00:00, None, None, None, 42.0
-2.0, None, None, 4.0, None, None, None, 1977-03-14 15:00:00, None, None, None, 42.0
