station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-3.0, None, 0.0, 0.0, -11.0, None, -3.0, 1980-03-04 16:00:00, None, None, 63.0
-10.0, None, None, None, -11.5, None, -7.0, 1983-12-11 09:30:00, None, None, 30.0
-8.0, None, None, None, -10.0, None, -6.5, 1983-12-11 16:30:00, None, None, 30.0
-10.5, None, None, None, -12.0, None, -8.0, 1983-12-12 09:00:00, None, None, 32.0
-9.0, None, None, None, -11.0, None, -7.5, 1983-12-12 16:00:00, None, None, 30.0
-8.0, None, 1.0, 1.0, -11.5, None, -8.0, 1983-12-13 09:45:00, None, None, 31.0
-6.0, None, None, None, -8.0, None, -5.5, 1983-12-13 16:00:00, None, None, 31.0
-8.0, None, None, None, -8.5, None, -4.5, 1983-12-14 09:30:00, None, None, 31.0
-7.5, None, None, None, -8.5, None, -6.0, 1983-12-14 16:00:00, None, None, None
-9.0, None, None, None, -11.0, None, -4.0, 1983-12-15 09:40:00, None, None, 31.0
-10.5, None, None, None, -10.5, None, -7.5, 1983-12-15 16:00:00, None, None, None
-13.5, None, None, 3.0, -14.5, None, -8.5, 1983-12-16 09:30:00, None, None, 35.0
-16.0, None, None, 1.0, -16.0, None, -12.5, 1983-12-16 16:00:00, None, None, 36.0
-21.0, None, 5.0, None, -21.5, None, -15.5, 1983-12-17 09:30:00, None, None, 36.0
-20.5, None, None, None, -20.5, None, -18.5, 1983-12-17 16:00:00, None, None, 36.0
-20.5, None, None, 2.0, -22.0, None, -20.5, 1983-12-18 09:30:00, None, None, 37.0
-19.0, None, 1.0, None, -20.5, None, -17.5, 1983-12-18 16:00:00, None, None, 36.0
-20.5, None, None, None, -21.0, None, -18.5, 1983-12-19 09:00:00, None, None, 37.0
-19.5, None, None, None, -20.5, None, -17.5, 1983-12-19 16:00:00, None, None, 36.0
-24.0, None, None, None, -26.0, None, -20.5, 1983-12-20 08:00:00, None, None, 36.0
-22.5, None, None, None, -24.5, None, -21.0, 1983-12-20 16:14:00, None, None, 36.0
-25.0, None, None, None, -26.0, None, -23.0, 1983-12-21 09:40:00, None, None, 36.0
-23.5, None, None, None, -25.0, None, -22.5, 1983-12-21 16:00:00, None, None, 36.0
-26.5, None, None, None, -29.0, None, -25.0, 1983-12-22 06:30:00, None, None, 36.0
-28.5, None, None, None, -28.5, None, -23.0, 1983-12-22 09:14:00, None, None, 36.0
-26.0, None, None, None, -28.0, None, -26.0, 1983-12-23 09:20:00, None, None, 36.0
-26.5, None, None, None, -26.5, None, -25.0, 1983-12-23 16:10:00, None, None, 36.0
-27.0, None, None, None, -30.0, None, -24.5, 1983-12-24 09:30:00, None, None, 36.0
-20.5, None, None, None, -27.0, None, -19.0, 1983-12-24 16:15:00, None, None, 36.0
-14.0, None, None, None, -21.5, None, -14.0, 1983-12-25 09:00:00, None, None, 36.0
-14.0, None, None, None, -14.0, None, -10.0, 1983-12-25 16:00:00, None, None, 36.0
-13.0, None, None, 4.0, -13.5, None, -9.5, 1983-12-26 09:30:00, None, None, 40.0
-12.5, None, None, 2.0, -13.0, None, -11.5, 1983-12-26 16:00:00, None, None, 42.0
-17.0, None, None, None, -18.5, None, -12.5, 1983-12-27 09:30:00, None, None, 42.0
-15.5, None, None, None, -17.0, None, -14.0, 1983-12-27 16:15:00, None, None, 42.0
-19.0, None, None, None, -21.0, None, -17.5, 1983-12-29 10:00:00, None, None, 42.0
-16.0, None, None, None, -19.0, None, -16.0, 1983-12-29 16:15:00, None, None, 42.0
-10.5, None, None, 2.0, -16.5, None, -10.0, 1983-12-30 09:00:00, None, None, 43.0
-6.0, None, None, None, -10.5, None, -4.0, 1983-12-30 16:00:00, None, None, 43.0
-6.5, None, None, 2.0, -7.5, None, -5.5, 1983-12-31 09:40:00, None, None, 45.0
-6.5, None, None, None, -7.0, None, -4.5, 1983-12-31 16:00:00, None, None, None
-7.5, None, 3.0, None, -9.0, None, -6.5, 1984-01-01 09:30:00, None, None, 44.0
-5.5, None, None, None, -7.5, None, -4.5, 1984-01-01 16:00:00, None, None, 44.0
-4.0, None, None, 4.0, -6.5, None, -2.5, 1984-01-02 09:30:00, None, None, 47.0
-2.0, None, None, None, -4.0, None, -1.5, 1984-01-02 16:00:00, None, None, 47.0
-4.0, None, None, 2.0, -5.0, None, -2.0, 1984-01-03 09:30:00, None, None, 48.0
-0.5, None, None, None, -4.0, None, 0.0, 1984-01-03 16:10:00, None, None, 48.0
2.0, None, None, None, -4.0, None, 3.0, 1984-01-04 09:30:00, None, None, 41.0
1.5, None, None, None, 1.5, None, 2.5, 1984-01-04 16:00:00, None, None, 40.0
-3.0, None, None, None, -4.0, None, 1.5, 1984-01-05 09:30:00, None, None, 40.0
-2.0, None, None, None, -3.0, None, -1.0, 1984-01-05 16:00:00, None, None, 39.0
-2.0, None, None, None, -5.0, None, -1.5, 1984-01-06 09:30:00, None, None, 39.0
-0.5, None, None, None, -2.0, None, 1.5, 1984-01-06 16:00:00, None, None, 39.0
-3.0, None, None, 4.0, -3.0, None, -0.5, 1984-01-07 09:15:00, None, None, 43.0
0.5, None, None, 2.0, -3.0, None, 2.5, 1984-01-07 16:15:00, None, None, 45.0
-4.5, None, 5.0, None, -5.0, None, 0.5, 1984-01-08 09:15:00, None, None, 45.0
-4.0, None, None, None, -5.0, None, -2.0, 1984-01-08 16:00:00, None, None, 45.0
-8.0, None, None, None, -8.0, None, -3.5, 1984-01-09 09:15:00, None, None, 45.0
-5.0, None, None, None, -7.5, None, -3.0, 1984-01-09 16:10:00, None, None, 45.0
-4.5, None, None, 2.0, -6.5, None, -4.5, 1984-01-10 09:30:00, None, None, 47.0
-4.0, None, None, 3.0, -5.0, None, -2.5, 1984-01-10 15:45:00, None, None, 49.0
-6.0, None, 4.0, None, -7.5, None, -3.5, 1984-01-11 09:30:00, None, None, 49.0
-5.0, None, None, None, -6.0, None, -3.5, 1984-01-11 16:00:00, None, None, 47.0
-9.5, None, 3.0, 3.0, -9.5, None, -4.5, 1984-01-12 09:30:00, None, None, 48.0
-9.0, None, None, None, -9.5, None, -6.0, 1984-01-12 16:00:00, None, None, 49.0
-14.5, None, None, 1.0, -17.5, None, -11.0, 1984-01-13 04:00:00, None, None, 49.0
-12.0, None, None, None, -14.0, None, -8.5, 1984-01-13 09:30:00, None, None, 49.0
-20.0, None, 1.0, None, -20.0, None, -14.5, 1984-01-14 09:20:00, None, None, 50.0
-14.5, None, None, None, -20.0, None, -12.0, 1984-01-14 16:00:00, None, None, 48.0
-14.0, None, None, None, -18.0, None, -12.5, 1984-01-15 09:30:00, None, None, 48.0
-13.0, None, None, None, -14.0, None, -11.5, 1984-01-15 16:00:00, None, None, 48.0
-16.0, None, None, 3.0, -16.5, None, -13.0, 1984-01-16 09:30:00, None, None, 52.0
-15.5, None, None, None, -16.5, None, -14.0, 1984-01-16 16:00:00, None, None, 52.0
-23.0, None, None, None, -23.0, None, -15.5, 1984-01-17 09:30:00, None, None, 52.0
-19.0, None, None, None, -23.0, None, -17.0, 1984-01-17 16:15:00, None, None, 52.0
-23.0, None, None, None, -24.0, None, -18.5, 1984-01-18 09:15:00, None, None, 57.0
-18.0, None, None, None, -23.0, None, -16.5, 1984-01-18 16:00:00, None, None, 57.0
-25.5, None, None, None, -26.0, None, -16.5, 1984-01-19 09:15:00, None, None, 49.0
-17.0, None, None, None, -25.5, None, -16.0, 1984-01-19 16:00:00, None, None, 49.0
-20.0, None, None, None, -21.5, None, -16.0, 1984-01-20 09:15:00, None, None, 49.0
-17.5, None, None, None, -20.5, None, -14.5, 1984-01-20 16:05:00, None, None, 49.0
-15.0, None, None, 1.0, -20.5, None, -15.0, 1984-01-21 09:30:00, None, None, 49.0
-10.5, None, None, None, -15.5, None, -10.0, 1984-01-21 16:00:00, None, None, 50.0
-6.5, None, None, 4.0, -14.0, None, -6.5, 1984-01-22 09:15:00, None, None, 54.0
-6.5, None, 8.0, 2.0, -7.0, None, -5.5, 1984-01-22 16:00:00, None, None, 55.0
-5.5, None, None, None, -8.5, None, -5.5, 1984-01-23 09:15:00, None, None, 56.0
-4.0, None, None, None, -5.5, None, -4.0, 1984-01-23 16:15:00, None, None, 56.0
-2.5, None, None, None, -5.0, None, -2.5, 1984-01-24 09:30:00, None, None, 56.0
0.0, None, None, None, -3.0, None, 0.0, 1984-01-24 16:00:00, None, None, None
-3.5, None, None, 3.0, -3.5, None, 0.5, 1984-01-25 09:15:00, None, None, 57.0
-4.0, None, None, None, -4.0, None, -2.5, 1984-01-25 16:00:00, None, None, 57.0
-6.5, None, None, None, -7.0, None, -4.0, 1984-01-26 09:30:00, None, None, 57.0
-4.0, None, None, None, -6.5, None, -3.0, 1984-01-26 16:00:00, None, None, 57.0
-0.5, None, None, None, -4.5, None, -0.5, 1984-01-27 09:30:00, None, None, 56.0
1.0, None, None, None, -0.5, None, 2.5, 1984-01-27 16:15:00, None, None, 56.0
1.0, None, None, None, -1.5, None, 1.0, 1984-01-28 09:00:00, None, None, 53.0
1.0, None, None, None, -1.0, None, 1.5, 1984-01-28 16:00:00, None, None, 55.0
-8.5, None, None, None, -9.0, None, -0.5, 1984-01-29 09:20:00, None, None, 55.0
-4.0, None, None, None, -7.5, None, -1.5, 1984-01-29 16:00:00, None, None, 54.0
-6.5, None, None, None, -10.5, None, -2.5, 1984-01-30 09:15:00, None, None, 53.0
-2.0, None, None, None, -7.5, None, 1.5, 1984-01-30 16:15:00, None, None, 53.0
-5.5, None, None, None, -7.0, None, -1.5, 1984-01-31 09:45:00, None, None, 53.0
-0.5, None, None, None, -6.0, None, 4.0, 1984-01-31 16:20:00, None, None, 53.0
-5.5, None, None, None, -6.5, None, 1.0, 1984-02-01 09:30:00, None, None, 53.0
-2.0, None, None, None, -5.5, None, 0.5, 1984-02-01 16:15:00, None, None, 53.0
-6.5, None, None, None, -7.0, None, -2.0, 1984-02-02 09:15:00, None, None, 53.0
-1.0, None, None, None, -6.5, None, 1.5, 1984-02-02 16:00:00, None, None, 53.0
-4.0, None, None, None, -5.0, None, 1.0, 1984-02-03 09:15:00, None, None, 53.0
1.0, None, None, None, -4.5, None, 4.0, 1984-02-03 16:30:00, None, None, 52.0
-5.0, None, None, None, -6.0, None, 2.0, 1984-02-04 09:20:00, None, None, 53.0
1.5, None, None, None, -5.0, None, 5.0, 1984-02-04 16:20:00, None, None, 53.0
-4.0, None, None, None, -5.0, None, 2.0, 1984-02-05 09:15:00, None, None, 52.0
3.0, None, None, None, -4.0, None, 6.0, 1984-02-05 16:00:00, None, None, 51.0
-4.0, None, None, None, -4.0, None, 1.0, 1984-02-06 09:00:00, None, None, 52.0
-1.5, None, None, None, -4.0, None, -0.5, 1984-02-06 16:00:00, None, None, 52.0
-7.0, None, None, None, -7.5, None, -0.5, 1984-02-07 09:00:00, None, None, 51.0
-2.0, None, None, None, -7.0, None, 0.5, 1984-02-07 16:30:00, None, None, 51.0
-7.5, None, None, None, -8.5, None, -2.0, 1984-02-08 09:15:00, None, None, 51.0
-2.0, None, None, None, -7.5, None, 1.0, 1984-02-08 16:00:00, None, None, 51.0
-3.0, None, None, None, -5.0, None, -1.5, 1984-02-09 09:00:00, None, None, 51.0
-2.5, None, 1.0, 1.0, -3.0, None, 1.0, 1984-02-09 16:00:00, None, None, 51.0
-6.5, None, 1.0, None, -7.5, None, -2.0, 1984-02-10 09:15:00, None, None, 52.0
-1.5, None, None, None, -6.5, None, -0.5, 1984-02-10 16:00:00, None, None, 52.0
-6.0, None, None, None, -7.0, None, -1.0, 1984-02-11 09:15:00, None, None, 53.0
-5.0, None, None, None, -6.5, None, -4.0, 1984-02-11 16:00:00, None, None, 53.0
-5.5, None, None, None, -8.0, None, -5.0, 1984-02-12 09:30:00, None, None, 53.0
-3.0, None, 4.0, 4.0, -5.5, None, -2.5, 1984-02-12 16:00:00, None, None, 57.0
-7.0, None, None, 4.0, -8.0, None, -2.5, 1984-02-13 09:00:00, None, None, 58.0
-2.0, None, None, None, -7.0, None, -1.5, 1984-02-13 16:15:00, None, None, 57.0
-7.0, None, 2.0, 2.0, -8.0, None, -2.0, 1984-02-14 09:30:00, None, None, 57.0
-4.0, None, 2.0, None, -7.0, None, -2.0, 1984-02-14 16:15:00, None, None, 57.0
-9.5, None, None, None, -10.5, None, -4.0, 1984-02-15 09:00:00, None, None, 57.0
-6.0, None, None, None, -10.5, None, -5.0, 1984-02-15 16:10:00, None, None, 57.0
-11.0, None, 1.0, None, -12.5, None, -5.5, 1984-02-16 09:15:00, None, None, 58.0
-4.5, None, None, None, -11.0, None, -1.5, 1984-02-16 16:15:00, None, None, 57.0
-11.5, None, None, None, -12.5, None, -3.5, 1984-02-17 09:30:00, None, None, 57.0
-4.0, None, None, None, -11.5, None, -1.0, 1984-02-17 16:15:00, None, None, 56.0
-11.0, None, None, None, -12.0, None, -2.5, 1984-02-18 09:40:00, None, None, 56.0
-4.0, None, None, None, -11.0, None, -1.5, 1984-02-18 16:15:00, None, None, 56.0
-8.5, None, None, None, -11.0, None, -2.5, 1984-02-19 09:15:00, None, None, 56.0
-3.0, None, None, None, -8.5, None, -1.5, 1984-02-19 16:10:00, None, None, 56.0
-2.0, None, None, None, -5.0, None, -2.0, 1984-02-20 09:10:00, None, None, 57.0
-0.5, None, 2.0, 2.0, -2.0, None, 1.0, 1984-02-20 16:20:00, None, None, 59.0
-3.5, None, None, 3.0, -5.0, None, 0.0, 1984-02-21 09:00:00, None, None, 58.0
-4.0, None, None, 4.0, -4.0, None, -2.0, 1984-02-21 16:30:00, None, None, 63.0
-8.5, None, 10.0, 5.0, -10.5, None, -6.0, 1984-02-22 09:00:00, None, None, 64.0
-6.5, None, None, None, -8.5, None, -4.5, 1984-02-22 16:00:00, None, None, 64.0
-9.0, None, None, None, -11.0, None, -6.5, 1984-02-23 09:30:00, None, None, 64.0
