station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
-4.0, 2.0, 2.0, None, None, 1982-11-26 07:00:00, 10.0
-3.0, 1.0, 1.0, None, None, 1982-11-26 14:00:00, 11.0
-9.0, None, None, None, None, 1982-11-27 07:00:00, 11.0
-3.0, None, None, None, None, 1982-11-27 14:00:00, 11.0
-4.0, None, 1.0, None, None, 1982-11-28 07:00:00, 12.0
-1.0, None, None, None, None, 1982-11-28 14:00:00, 12.0
-2.0, None, None, None, None, 1982-11-29 07:00:00, 12.0
0.0, 3.0, 3.0, None, None, 1982-11-29 14:00:00, 15.0
-2.0, None, None, None, None, 1982-11-30 07:00:00, 15.0
1.0, None, None, 0.0, 1.0, 1982-11-30 14:00:00, 15.0
-3.0, 1.0, 1.0, -3.0, 1.0, 1982-12-01 07:00:00, 16.0
-2.0, None, None, -3.0, -1.0, 1982-12-01 14:00:00, 16.0
-4.0, None, None, -10.0, -2.0, 1982-12-02 07:00:00, 16.0
1.0, None, None, -4.0, 1.0, 1982-12-02 14:00:00, 16.0
-3.0, 2.0, 2.0, -3.0, 1.0, 1982-12-03 07:00:00, 17.0
-1.0, 2.0, 2.0, -3.0, -1.0, 1982-12-03 14:00:00, 19.0
-4.0, 2.0, 1.0, -4.0, 0.0, 1982-12-04 07:00:00, 19.0
-2.0, None, None, -7.0, 0.0, 1982-12-04 14:00:00, 19.0
-9.0, 1.0, 1.0, -16.0, -1.0, 1982-12-05 07:00:00, 20.0
-11.0, None, None, -17.0, -1.0, 1982-12-05 14:00:00, 20.0
-15.0, None, None, -21.0, -11.0, 1982-12-06 07:00:00, 20.0
-11.0, None, None, -15.0, -11.0, 1982-12-06 14:00:00, 20.0
-13.0, None, None, -13.0, -11.0, 1982-12-07 07:00:00, 20.0
-11.0, None, None, -13.0, -11.0, 1982-12-07 14:00:00, 20.0
-6.0, None, None, -11.0, -6.0, 1982-12-08 07:00:00, 20.0
-4.0, 1.0, 1.0, -6.0, -4.0, 1982-12-08 14:00:00, 17.0
-5.0, None, None, -6.0, -4.0, 1982-12-09 07:00:00, 17.0
-4.0, None, None, -5.0, -4.0, 1982-12-09 14:00:00, 17.0
-6.0, None, None, -7.0, -4.0, 1982-12-10 07:00:00, 17.0
-3.0, None, None, -6.0, -3.0, 1982-12-10 14:00:00, 17.0
-3.0, None, None, -6.0, -3.0, 1982-12-11 07:00:00, 17.0
-3.0, None, None, -6.0, -3.0, 1982-12-11 14:00:00, 17.0
-3.0, None, None, -3.5, -3.0, 1982-12-12 07:00:00, 17.0
-2.0, None, None, -3.0, -2.0, 1982-12-12 14:00:00, 17.0
-6.0, None, None, -6.0, -2.0, 1982-12-13 07:00:00, 16.0
-3.0, None, None, -6.0, -3.0, 1982-12-13 14:00:00, 16.0
-4.0, None, None, -9.0, -3.0, 1982-12-14 07:00:00, 16.0
-1.0, None, None, -5.0, 0.0, 1982-12-14 14:00:00, 16.0
-1.0, 4.0, 4.0, -4.0, -1.0, 1982-12-15 07:00:00, 20.0
0.0, None, None, -4.0, 0.0, 1982-12-15 14:00:00, 20.0
