station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-10.0, 100.0, None, None, -11.5, -10.0, 1986-12-10 06:00:00, None, None, None
-8.0, 100.0, None, None, -10.0, -1.0, 1986-12-10 18:00:00, None, None, None
-4.0, 95.0, None, None, -10.0, -4.0, 1986-12-11 06:00:00, None, None, None
-4.0, 100.0, None, None, -6.0, 1.0, 1986-12-11 18:00:00, None, None, None
-3.0, 95.0, None, None, -4.5, -3.0, 1986-12-12 06:00:00, None, None, None
-6.0, 100.0, None, None, -6.0, -1.5, 1986-12-12 18:00:00, None, None, None
-13.5, 90.0, None, None, -14.0, -6.0, 1986-12-13 06:00:00, None, None, None
-5.0, 100.0, None, None, -13.5, -4.0, 1986-12-13 18:00:00, None, None, None
-7.0, 96.0, None, None, -10.0, -5.0, 1986-12-14 06:00:00, None, None, None
-5.0, 100.0, None, None, -10.0, -4.0, 1986-12-14 18:00:00, None, None, None
-5.0, 100.0, None, None, -6.0, -4.0, 1986-12-15 06:00:00, None, None, None
-7.0, 100.0, None, None, -7.0, -1.0, 1986-12-15 18:00:00, None, None, None
-10.0, 100.0, None, None, -12.5, -7.0, 1986-12-16 06:00:00, None, None, None
-10.0, 100.0, None, None, -14.5, -4.5, 1986-12-16 18:00:00, None, None, None
-12.0, 99.0, None, None, -14.5, -10.0, 1986-12-17 06:00:00, None, None, None
-10.0, 100.0, None, None, -13.0, -3.0, 1986-12-17 18:00:00, None, None, None
-15.0, 92.0, None, None, -15.0, -10.0, 1986-12-18 06:00:00, None, None, None
-10.0, 100.0, None, None, -16.0, -4.0, 1986-12-18 18:00:00, None, None, None
-7.5, 93.0, None, None, -11.0, -7.0, 1986-12-19 06:00:00, None, None, None
-10.0, 100.0, None, None, -10.0, -1.5, 1986-12-19 18:00:00, None, None, None
-8.5, 96.0, None, None, -10.5, -8.0, 1986-12-20 06:00:00, None, None, None
-5.0, 100.0, None, None, -9.5, -3.5, 1986-12-20 18:00:00, None, None, None
-5.0, 100.0, None, None, -5.5, -4.5, 1986-12-21 06:00:00, None, None, None
-3.0, 100.0, None, None, -5.0, -2.0, 1986-12-21 18:00:00, None, None, None
-3.0, 97.0, None, None, -3.5, -2.5, 1986-12-22 06:00:00, None, None, None
-4.0, 100.0, None, None, -4.0, -2.5, 1986-12-22 18:00:00, None, None, None
-2.0, 98.0, None, None, -5.0, -2.0, 1986-12-23 06:00:00, None, None, None
-3.0, 99.0, None, None, -3.0, -2.0, 1986-12-23 18:00:00, None, None, None
-4.0, 90.0, None, None, -4.0, -2.0, 1986-12-24 06:00:00, None, None, None
-7.0, 91.0, None, None, -7.0, -2.0, 1986-12-24 18:00:00, None, None, None
-5.0, 95.0, None, None, -7.0, -5.0, 1986-12-25 06:00:00, None, None, None
-6.0, 100.0, None, None, -6.0, -3.0, 1986-12-25 18:00:00, None, None, None
-5.0, 76.0, None, None, -6.5, -5.0, 1986-12-26 06:00:00, None, None, None
-3.0, 92.0, None, None, -5.0, -1.0, 1986-12-26 18:00:00, None, None, None
-9.0, 88.0, None, None, -9.0, -3.0, 1986-12-27 06:00:00, None, None, None
-5.0, 100.0, None, None, -10.0, -2.5, 1986-12-27 18:00:00, None, None, None
-4.0, 95.0, None, None, -5.5, -1.0, 1986-12-28 06:00:00, None, None, None
-3.0, 100.0, None, None, -4.0, -2.5, 1986-12-28 18:00:00, None, None, None
-4.0, 100.0, None, None, -4.0, -2.5, 1986-12-29 06:00:00, None, None, None
-2.0, 100.0, None, None, -4.0, -2.0, 1986-12-29 18:00:00, None, None, None
-5.0, 100.0, None, None, -5.0, -2.0, 1986-12-30 06:00:00, None, None, None
-12.5, 100.0, None, None, -12.5, -2.0, 1986-12-30 18:00:00, None, None, None
-8.0, 90.0, None, None, -13.0, -8.0, 1986-12-31 06:00:00, None, None, None
-8.0, 100.0, None, None, -8.0, -5.0, 1986-12-31 18:00:00, None, None, None
-7.0, 97.0, None, None, -8.0, -7.0, 1987-01-01 06:00:00, None, None, None
-6.0, 100.0, None, None, -7.0, -4.0, 1987-01-01 18:00:00, None, None, None
-6.0, 97.0, None, None, -6.5, -5.0, 1987-01-02 06:00:00, None, None, None
-6.0, 100.0, None, None, -6.5, -4.0, 1987-01-02 18:00:00, None, None, None
-4.0, 98.0, None, None, -6.0, -4.0, 1987-01-03 06:00:00, None, None, None
-5.0, 100.0, None, None, -6.5, -2.5, 1987-01-03 18:00:00, None, None, None
-8.0, 95.0, None, None, -8.0, -5.0, 1987-01-04 06:00:00, None, None, None
-9.0, 100.0, None, None, -9.0, -2.0, 1987-01-04 18:00:00, None, None, None
-9.0, 100.0, None, None, -12.5, -8.0, 1987-01-05 06:00:00, None, None, None
-9.0, 100.0, None, None, -9.0, -7.0, 1987-01-05 18:00:00, None, None, None
-17.0, 99.0, None, None, -17.0, -9.0, 1987-01-06 06:00:00, None, None, None
-15.0, 97.0, None, None, -17.0, -8.0, 1987-01-06 18:00:00, None, None, None
-12.0, 92.0, None, 17.0, -20.5, -2.0, 1987-01-14 15:15:00, None, None, 60.0
-14.0, 95.0, None, None, None, None, 1987-01-14 18:00:00, None, None, None
-25.0, 90.0, None, None, -25.0, -14.0, 1987-01-15 06:00:00, None, None, None
-13.0, 98.0, None, None, -25.0, -10.0, 1987-01-15 18:00:00, None, None, None
-8.5, 100.0, None, None, -14.0, -8.5, 1987-01-16 06:00:00, None, None, None
-5.0, 100.0, None, None, -8.5, -3.0, 1987-01-16 18:00:00, None, None, None
-7.5, 80.0, None, None, -9.0, -5.0, 1987-01-17 06:00:00, None, None, None
-4.0, 100.0, None, None, -7.5, -1.5, 1987-01-17 18:00:00, None, None, None
-8.0, 83.0, None, None, -8.0, -4.0, 1987-01-18 06:00:00, None, None, None
-13.5, 99.0, None, None, -13.5, -3.5, 1987-01-18 18:00:00, None, None, None
-16.5, 97.0, None, None, -16.5, -13.5, 1987-01-19 06:00:00, None, None, None
-10.0, 81.0, None, None, -16.5, -6.5, 1987-01-19 18:00:00, None, None, None
-6.0, 93.0, None, None, -10.0, -4.0, 1987-01-20 06:00:00, None, None, None
-9.0, 100.0, None, None, -9.0, -1.5, 1987-01-20 18:00:00, None, None, None
-12.0, 100.0, None, None, -12.0, -8.0, 1987-01-21 06:00:00, None, None, None
-8.0, 100.0, None, None, -12.0, 0.0, 1987-01-21 18:00:00, None, None, None
-7.0, 100.0, None, None, -9.0, -6.0, 1987-01-22 06:00:00, None, None, None
-9.0, 100.0, None, None, -9.0, 0.5, 1987-01-22 18:00:00, None, None, None
-6.0, 95.0, None, None, -10.0, -6.0, 1987-01-23 06:00:00, None, None, None
-7.0, 98.0, None, None, -7.0, -3.0, 1987-01-23 18:00:00, None, None, None
-6.5, 99.0, None, None, -9.0, -6.5, 1987-01-24 06:00:00, None, None, None
-6.5, 98.0, None, None, -6.5, -5.5, 1987-01-24 18:00:00, None, None, None
