station_observations
CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
-2.0, 0.0, -4.0, 1.0, 1993-11-13 06:00:00, 9.0
4.5, 0.0, -1.5, 5.5, 1993-11-16 15:45:00, 0.0
3.0, None, 0.5, 3.0, 1993-11-17 15:40:00, None
0.0, 0.0, -0.5, 3.5, 1993-11-18 07:00:00, 0.0
2.5, 0.0, 0.0, 3.5, 1993-11-18 15:40:00, None
7.0, 0.0, 6.5, 7.0, 1993-11-19 15:02:00, 0.0
7.0, 0.0, 2.0, 8.0, 1993-11-20 06:35:00, 0.0
7.0, 0.0, 7.0, 9.0, 1993-11-20 15:30:00, 0.0
1.0, None, 0.0, 1.0, 1993-11-27 07:27:00, None
2.0, 0.0, 1.0, 2.0, 1993-11-27 15:30:00, 0.0
1.5, None, 1.0, 2.0, 1993-11-28 07:10:00, 0.0
5.0, 0.0, 2.0, 5.0, 1993-11-28 15:30:00, 0.0
6.0, 0.0, 5.0, 6.0, 1993-11-29 06:30:00, 0.0
8.0, 0.0, 3.0, 10.0, 1993-11-29 16:30:00, 0.0
2.5, 0.0, 0.0, 5.5, 1993-11-30 07:01:00, 0.0
7.0, 0.0, 4.0, 7.0, 1993-11-30 16:30:00, 0.0
7.0, 0.0, 5.0, 7.0, 1993-12-01 16:00:00, 0.0
3.0, 0.0, 2.0, 5.0, 1993-12-02 06:30:00, 0.0
6.0, 0.0, 3.0, 7.0, 1993-12-02 16:00:00, 0.0
10.0, 0.0, 7.0, 10.0, 1993-12-03 07:00:00, 0.0
10.0, 0.0, 7.0, 11.0, 1993-12-03 15:30:00, None
0.0, 0.0, 0.0, 10.0, 1993-12-04 07:00:00, 0.0
3.0, 0.0, -1.0, 10.0, 1993-12-04 15:35:00, 0.0
-2.0, 0.0, -2.5, 1.0, 1993-12-05 07:00:00, 0.0
1.0, 0.0, -2.0, 1.5, 1993-12-05 16:05:00, 0.0
7.0, 0.0, 7.0, 7.0, 1997-11-12 14:30:00, 0.0
3.0, 0.0, 1.0, 7.0, 1997-11-13 06:15:00, 0.0
7.0, 0.0, 2.0, 7.5, 1997-11-13 14:35:00, 0.0
0.0, 0.0, 0.0, 7.0, 1997-11-14 06:00:00, 0.0
7.0, 0.0, 2.0, 7.5, 1997-11-14 14:00:00, 0.0
2.0, 0.0, -2.0, 8.0, 1997-11-15 06:30:00, 0.0
5.0, None, 2.0, 7.5, 1997-11-15 14:20:00, None
2.0, 0.0, 0.0, 7.0, 1997-11-16 06:00:00, 0.0
7.0, 0.0, 2.0, 7.0, 1997-11-16 14:31:00, 0.0
5.0, 0.0, 4.0, 8.0, 1997-11-17 06:30:00, 0.0
8.0, 0.0, 4.5, 9.0, 1997-11-17 14:15:00, 0.0
6.0, 0.0, 5.0, 10.0, 1997-11-18 06:00:00, 0.0
8.0, 0.0, 4.5, 9.5, 1997-11-18 16:10:00, 0.0
6.0, 0.0, 4.0, 9.0, 1997-11-19 06:00:00, 0.0
7.0, 0.0, 4.0, 7.5, 1997-11-19 14:50:00, 0.0
8.0, 0.0, 6.0, 8.5, 1997-11-20 06:15:00, 0.0
9.5, 0.0, 7.0, 11.0, 1997-11-20 15:15:00, 0.0
0.0, 0.0, -1.0, 10.0, 1997-11-21 06:15:00, 0.0
7.0, 0.0, 0.5, 8.5, 1997-11-21 15:15:00, 0.0
5.0, 0.0, 4.0, 8.0, 1997-11-22 06:00:00, 0.0
6.0, 0.0, 5.0, 6.0, 1997-11-22 14:35:00, 0.0
8.0, 0.0, 5.5, 8.5, 1997-11-23 06:00:00, 0.0
12.0, 0.0, 8.0, 12.5, 1997-11-23 15:20:00, 0.0
