station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
None, None, 38.0, None, None, 1970-01-18 19:00:00, None
None, None, 20.0, None, None, 1970-01-20 11:00:00, None
-4.5, None, 3.0, -11.0, 4.5, 1970-10-16 09:15:00, None
-0.5, None, 6.0, -5.5, 8.5, 1970-10-17 08:55:00, None
2.0, None, 8.0, -0.5, 2.0, 1970-10-18 09:15:00, None
0.5, None, 4.0, -1.0, 1.5, 1970-10-19 09:15:00, None
2.0, None, 3.0, 0.0, 2.0, 1970-10-20 09:15:00, None
2.0, None, 3.0, -3.5, 2.0, 1970-10-21 09:15:00, None
1.0, None, 13.0, -0.5, 2.0, 1970-10-22 10:15:00, None
-1.0, None, 10.0, -1.0, 0.0, 1970-10-24 06:00:00, None
-2.5, None, 3.0, -3.5, -2.0, 1970-10-25 06:00:00, None
-1.5, None, 28.0, -4.5, -1.0, 1970-10-26 14:30:00, None
None, None, 8.0, -1.5, 1.0, 1970-10-27 14:30:00, None
0.0, None, 5.0, -1.0, 1.0, 1970-10-28 08:45:00, None
None, None, 3.0, -1.0, 2.0, 1970-10-29 13:10:00, None
1.5, None, 3.0, 0.5, 2.5, 1970-11-07 17:00:00, None
0.0, None, 8.0, -1.5, 1.0, 1970-11-09 09:00:00, None
-1.5, None, 24.0, -2.0, -1.5, 1970-11-10 09:00:00, None
1.0, None, 3.0, 0.0, 2.5, 1970-11-11 09:00:00, None
-2.0, None, 1.0, -2.5, 1.5, 1970-11-13 09:00:00, None
None, None, 8.0, None, None, 1970-11-13 11:30:00, None
0.5, None, 1.0, -2.0, 1.0, 1970-11-14 09:30:00, None
-1.0, None, 4.0, -2.0, -0.5, 1970-11-16 18:45:00, None
None, None, 1.0, None, None, 1970-11-16 22:00:00, None
None, None, 13.0, None, None, 1970-11-17 02:00:00, None
-2.0, None, 15.0, -2.0, -1.5, 1970-11-17 08:00:00, None
None, None, 6.0, None, None, 1970-11-18 14:00:00, None
-9.5, None, 4.0, -9.5, -4.0, 1970-11-19 11:00:00, None
None, None, 9.0, None, None, 1970-11-28 17:45:00, None
None, None, 5.0, None, None, 1970-11-28 19:30:00, None
None, None, 10.0, None, None, 1970-11-28 23:30:00, None
None, None, 4.0, None, None, 1970-11-29 01:10:00, None
-8.5, None, 3.0, -19.0, -8.5, 1970-11-29 10:00:00, None
None, None, 8.0, None, None, 1970-12-05 14:00:00, None
-8.5, None, 6.0, -19.0, -8.5, 1970-12-06 07:00:00, None
None, None, 5.0, None, None, 1970-12-07 21:45:00, None
None, None, 5.0, None, None, 1970-12-08 04:30:00, None
-5.0, None, 1.0, -5.5, -5.0, 1970-12-08 08:45:00, None
None, None, 10.0, None, None, 1970-12-08 15:00:00, None
None, None, 5.0, None, None, 1970-12-08 22:00:00, None
None, None, 5.0, None, None, 1970-12-09 02:00:00, None
-4.0, None, 5.0, -5.0, -3.5, 1970-12-09 09:30:00, None
None, None, 3.0, None, None, 1970-12-10 06:30:00, None
-3.5, None, 13.0, -4.5, -3.5, 1970-12-10 09:00:00, None
-6.0, None, 10.0, -6.0, -5.0, 1970-12-11 05:30:00, None
None, None, 8.0, None, None, 1970-12-11 13:00:00, None
None, None, 9.0, None, None, 1970-12-11 23:00:00, None
None, None, 20.0, None, None, 1970-12-12 06:00:00, None
-1.0, None, 8.0, -1.0, 0.0, 1970-12-13 06:00:00, None
None, None, 8.0, None, None, 1970-12-13 14:00:00, None
None, None, 42.0, None, None, 1970-12-25 15:00:00, None
-5.5, None, 36.0, -5.5, -4.5, 1970-12-26 09:30:00, None
-7.0, None, 10.0, -7.0, -5.0, 1970-12-27 09:00:00, None
-5.5, None, 3.0, -6.5, -4.5, 1970-12-28 09:00:00, None
-6.0, None, 5.0, -6.5, -5.5, 1970-12-29 09:00:00, None
-6.5, None, 3.0, -6.5, -4.5, 1970-12-30 07:30:00, None
None, None, 13.0, None, None, 1970-12-30 14:00:00, None
None, None, 23.0, None, None, 1970-12-30 21:30:00, None
-8.5, None, 13.0, -8.5, -6.0, 1970-12-31 10:00:00, None
None, None, 3.0, None, None, 1970-12-31 12:00:00, None
None, None, 6.0, None, None, 1970-12-31 21:00:00, None
-7.5, None, 5.0, -7.5, -6.5, 1971-01-01 07:00:00, None
None, None, 5.0, None, None, 1971-01-01 10:00:00, None
None, None, 15.0, None, None, 1971-01-01 21:00:00, None
-0.5, None, 5.0, -4.0, -0.5, 1971-01-05 13:15:00, None
None, None, 5.0, None, None, 1971-01-05 15:00:00, None
-0.5, None, 15.0, -1.0, -0.5, 1971-01-07 09:00:00, None
-5.0, None, 5.0, -5.0, 0.5, 1971-01-08 09:30:00, None
None, None, 3.0, None, None, 1971-01-16 15:00:00, None
None, None, 3.0, None, None, 1971-01-17 01:50:00, None
None, None, 4.0, None, None, 1971-01-17 03:00:00, None
None, None, 15.0, None, None, 1971-01-17 10:00:00, None
None, None, 10.0, None, None, 1971-01-17 14:00:00, None
None, None, 10.0, None, None, 1971-01-17 18:30:00, None
None, None, 25.0, None, None, 1971-01-17 23:30:00, None
None, None, 15.0, None, None, 1971-01-18 03:30:00, None
None, None, 46.0, None, None, 1971-01-18 10:30:00, None
None, None, 19.0, None, None, 1971-01-19 15:00:00, None
-5.0, None, 8.0, -7.0, -5.0, 1971-01-22 07:30:00, None
-7.5, None, 5.0, -9.5, -7.5, 1971-01-23 09:10:00, None
None, None, 15.0, None, None, 1971-01-26 02:00:00, None
None, None, 20.0, None, None, 1971-01-26 06:00:00, None
-7.0, None, 15.0, -12.0, -7.0, 1971-01-26 11:20:00, None
None, None, 8.0, None, None, 1971-01-26 15:00:00, None
None, None, 8.0, None, None, 1971-01-26 20:00:00, None
None, None, 13.0, None, None, 1971-01-27 04:00:00, None
-6.5, None, 11.0, -7.5, -5.5, 1971-01-27 09:30:00, None
None, None, 14.0, None, None, 1971-01-27 13:30:00, None
None, None, 8.0, None, None, 1971-01-27 15:30:00, None
None, None, 10.0, None, None, 1971-01-28 04:30:00, None
-11.0, None, 5.0, -12.5, -6.5, 1971-02-05 08:00:00, None
None, None, 8.0, None, None, 1971-02-10 04:00:00, None
None, None, 3.0, None, None, 1971-02-10 13:45:00, None
-2.0, None, 10.0, -4.0, 0.0, 1971-02-11 08:30:00, None
None, None, 10.0, None, None, 1971-02-11 20:00:00, None
None, None, 8.0, None, None, 1971-02-11 22:30:00, None
-0.5, None, 15.0, -2.5, 1.5, 1971-02-12 11:00:00, None
-1.0, None, 14.0, -1.5, -0.5, 1971-02-13 12:50:00, None
None, None, 11.0, None, None, 1971-02-13 14:00:00, None
-1.0, None, 13.0, -1.0, -0.5, 1971-02-14 06:15:00, None
-1.0, None, 10.0, -2.5, 1.0, 1971-02-15 08:30:00, None
-2.0, None, 11.0, -2.0, -2.0, 1971-02-16 07:30:00, None
-4.0, None, 5.0, -5.0, -2.5, 1971-02-19 07:30:00, None
-4.0, None, 10.0, -6.0, -0.5, 1971-02-20 07:30:00, None
None, None, 18.0, None, None, 1971-02-21 00:30:00, None
None, None, 8.0, None, -2.0, 1971-02-21 07:30:00, None
None, None, 3.0, None, None, 1971-02-21 11:00:00, None
None, None, 5.0, None, None, 1971-02-21 17:30:00, None
None, None, 5.0, None, None, 1971-02-22 03:00:00, None
2.0, None, 30.0, None, None, 1971-02-23 09:00:00, None
None, None, 20.0, None, None, 1971-02-23 14:30:00, None
-12.0, None, 3.0, None, -9.5, 1971-02-26 07:00:00, None
-16.5, None, 3.0, None, -4.0, 1971-02-27 07:00:00, None
-11.5, None, 8.0, None, -7.5, 1971-03-01 10:15:00, None
None, None, 18.0, None, None, 1971-03-01 19:30:00, None
None, None, 16.0, None, None, 1971-03-01 23:00:00, None
None, None, 8.0, None, None, 1971-03-02 01:00:00, None
None, None, 13.0, None, None, 1971-03-02 04:00:00, None
None, None, 13.0, None, None, 1971-03-02 16:00:00, None
None, None, 10.0, None, None, 1971-03-02 22:00:00, None
None, None, 10.0, None, None, 1971-03-03 04:00:00, None
None, None, 11.0, None, None, 1971-03-04 15:30:00, None
None, None, 15.0, None, None, 1971-03-05 08:00:00, None
None, None, 14.0, None, None, 1971-03-05 16:30:00, None
None, None, 13.0, None, None, 1971-03-05 20:00:00, None
None, None, 20.0, None, None, 1971-03-08 02:00:00, None
None, None, 6.0, None, None, 1971-03-08 07:00:00, None
