station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-9.0, 90.0, 1.0, 0.0, -10.0, None, -7.0, 2000-11-22 07:15:00, 0.0, 75.0
1.5, 97.0, 29.0, None, 0.0, None, 1.5, 2000-11-25 07:00:00, 0.0, 89.0
-17.0, 65.0, 0.0, 0.0, -20.0, 0.0, -3.0, 2000-12-14 12:00:00, 0.0, 43.0
-20.0, 80.0, 0.0, 0.0, -20.0, 0.0, -16.5, 2000-12-14 16:30:00, 0.0, 43.0
-25.5, 85.0, 0.0, 0.0, -26.0, 0.0, -19.5, 2000-12-15 07:30:00, 0.0, 43.0
-21.5, 75.0, 0.0, 0.0, -27.0, 0.0, -21.0, 2000-12-15 16:00:00, 0.0, 43.0
-17.0, 89.0, 9.0, 9.0, -21.5, 9.0, -17.0, 2000-12-16 08:30:00, 2.0, 50.0
-14.5, 85.0, 10.0, 1.0, -17.0, 1.0, -14.0, 2000-12-16 16:00:00, 1.0, 51.0
-15.0, 91.0, 14.0, 4.0, -16.5, 4.0, -14.5, 2000-12-17 08:00:00, 0.0, 54.0
-13.0, 90.0, 14.0, 0.0, -15.0, 0.0, -12.0, 2000-12-17 16:20:00, 0.0, 54.0
-9.0, 100.0, 20.0, 20.0, -14.0, 20.0, -9.0, 2000-12-18 07:40:00, 10.0, 69.0
-5.0, 98.0, 27.0, 9.0, -9.0, 9.0, -2.5, 2000-12-18 16:30:00, 2.0, 78.0
-9.5, 96.0, 26.0, 1.0, -9.5, 1.0, -5.0, 2000-12-19 07:10:00, 0.0, 74.0
-11.5, 95.0, 0.0, 0.0, -11.5, 0.0, -9.0, 2000-12-19 16:15:00, 0.0, 73.0
-20.0, 90.0, 0.0, 0.0, -20.0, 0.0, -11.0, 2000-12-20 07:00:00, 0.0, 72.0
-19.5, 90.0, 0.0, 0.0, -21.0, 0.0, -18.0, 2000-12-20 16:15:00, 0.0, 72.0
-25.0, 90.0, 0.0, 0.0, -25.0, 0.0, -19.5, 2000-12-21 07:00:00, 0.0, 69.0
-23.0, 94.0, 0.0, 0.0, -25.0, 0.0, -21.0, 2000-12-21 16:30:00, 0.0, 69.0
-17.0, 90.0, 0.0, 0.0, -22.0, 0.0, -17.0, 2000-12-22 07:00:00, 0.0, 69.0
-12.0, 92.0, 0.0, 0.0, -17.0, 0.0, -11.5, 2000-12-22 17:00:00, 0.0, 67.0
-13.0, 94.0, 0.0, 0.0, -13.0, 0.0, -11.0, 2000-12-23 07:00:00, 0.0, 67.0
-16.0, 92.0, None, None, -16.0, None, -13.0, 2000-12-23 17:00:00, 0.0, 65.0
-11.0, 94.0, 0.1, 0.1, -19.0, 0.1, -11.0, 2000-12-24 07:00:00, 0.0, 65.0
-5.0, 97.0, 0.0, 0.0, -11.5, 0.0, -5.0, 2000-12-24 16:00:00, 0.0, 65.0
-6.5, 96.0, 13.0, 13.0, -9.5, 13.0, -5.0, 2000-12-25 07:00:00, 6.0, 75.0
-4.0, 98.0, 19.0, 7.0, -6.5, 7.0, -4.0, 2000-12-25 16:30:00, 8.0, 80.0
-4.0, 100.0, 22.0, 5.0, -7.0, 5.0, -4.0, 2000-12-26 07:00:00, 4.0, 82.0
-3.0, 100.0, 22.0, 2.0, -4.5, 2.0, -1.5, 2000-12-26 16:30:00, 1.0, 83.0
-3.0, 100.0, 23.0, 3.0, -4.0, 3.0, -1.0, 2000-12-27 07:00:00, 2.0, 83.0
-2.0, 100.0, 22.0, 0.1, -3.0, 0.1, -2.0, 2000-12-27 16:00:00, 0.0, 81.0
-3.0, 100.0, 0.1, 0.1, -3.5, 0.1, -1.5, 2000-12-28 07:00:00, 0.0, 80.0
-3.0, 100.0, 1.0, 1.0, -3.5, 1.0, -1.5, 2000-12-28 16:00:00, 1.0, 80.0
-3.0, 100.0, 2.0, 1.0, -3.5, 1.0, -3.0, 2000-12-29 07:00:00, 0.0, 81.0
-1.5, 100.0, 3.0, 0.1, -3.0, 0.1, -1.0, 2000-12-29 16:30:00, 0.0, 78.0
-3.0, 100.0, 4.0, 1.0, -3.0, 1.0, -1.5, 2000-12-30 07:00:00, 1.0, 79.0
-2.5, 100.0, 7.0, 3.0, -3.0, 3.0, -1.5, 2000-12-30 16:15:00, 4.0, 81.0
-1.0, 100.0, 10.0, 3.0, -1.5, 3.0, -0.5, 2000-12-31 07:00:00, 4.0, 83.0
-0.5, 100.0, 0.1, 0.1, -1.5, 0.1, 0.0, 2000-12-31 16:30:00, 0.0, 82.0
-2.0, 100.0, 15.0, 6.0, -2.5, 6.0, 0.0, 2001-01-01 07:10:00, 2.0, 84.0
0.0, 97.0, 18.0, 4.0, -2.0, 4.0, 1.0, 2001-01-01 16:45:00, 7.0, 88.0
0.0, 100.0, 25.0, 9.0, 0.0, 9.0, 1.0, 2001-01-02 06:45:00, 8.0, 93.0
0.5, 100.0, 21.0, 0.0, 0.5, 0.0, 1.0, 2001-01-02 16:10:00, 4.0, 88.0
2.0, 96.0, 19.0, 0.1, 0.0, 0.1, 3.0, 2001-01-03 06:30:00, 18.0, 81.0
1.0, 82.0, 17.0, 0.0, 1.0, 0.0, 3.0, 2001-01-03 16:15:00, 7.0, 79.0
0.5, 78.0, 17.0, 0.1, 0.5, 0.1, 2.0, 2001-01-04 06:40:00, 3.0, 79.0
0.0, 90.0, 18.0, 1.0, 0.0, 1.0, 2.0, 2001-01-04 16:40:00, 0.0, 80.0
-0.5, 80.0, 39.0, 20.0, -0.5, 20.0, 0.0, 2001-01-05 06:20:00, 13.0, 100.0
0.5, 80.0, 35.0, 2.0, -1.0, 2.0, 1.0, 2001-01-05 16:30:00, 6.0, 94.0
0.0, 75.0, 30.0, 0.0, -0.5, 0.0, 2.0, 2001-01-06 06:30:00, 1.0, 92.0
0.0, 85.0, 0.1, 0.1, -0.5, 0.1, 1.5, 2001-01-06 15:45:00, 0.0, 90.0
-5.0, 80.0, 1.0, 1.0, -5.0, 1.0, 0.0, 2001-01-07 06:30:00, 1.0, 91.0
-4.0, 75.0, 0.0, 0.0, -7.5, 0.0, -3.5, 2001-01-07 16:10:00, 0.0, 90.0
-2.0, 80.0, 11.0, 11.0, -4.5, 11.0, -1.5, 2001-01-08 06:35:00, 11.0, 98.0
-0.5, 78.0, 13.0, 3.0, -1.5, 3.0, 0.0, 2001-01-08 16:15:00, 2.0, 99.0
-0.5, 75.0, 17.0, 5.0, -1.5, 5.0, 0.5, 2001-01-09 06:40:00, 4.0, 104.0
-0.5, 75.0, 19.0, 2.0, -1.0, 2.0, 0.5, 2001-01-09 16:15:00, 1.0, 105.0
-2.0, 80.0, 2.0, 2.0, -2.5, 2.0, 0.0, 2001-01-10 06:40:00, 2.0, 105.0
0.0, 83.0, 3.0, 3.0, -2.0, 3.0, 0.5, 2001-01-10 16:00:00, 3.0, 104.0
-6.5, 75.0, 3.0, 0.0, -6.5, 0.0, 1.0, 2001-01-11 06:35:00, 0.0, 103.0
-9.5, 75.0, 0.0, 0.0, -12.0, 0.0, -5.5, 2001-01-11 16:10:00, 0.0, 103.0
-19.5, 65.0, 0.0, 0.0, -20.0, 0.0, -9.0, 2001-01-12 06:35:00, 0.0, 102.0
-13.0, 70.0, 0.0, 0.0, -19.5, 0.0, -11.5, 2001-01-12 17:20:00, 0.0, 100.0
-13.0, 70.0, 0.0, 0.0, -14.0, 0.0, -11.0, 2001-01-13 06:45:00, 0.0, 98.0
-8.0, 70.0, 0.1, 0.1, -13.0, 0.1, -7.5, 2001-01-13 16:00:00, 0.0, 98.0
-11.0, 72.0, 0.0, 0.0, -11.5, 0.0, -6.0, 2001-01-14 06:45:00, 0.0, 96.0
-7.0, 70.0, 0.0, 0.0, -11.0, 0.0, -6.0, 2001-01-14 16:00:00, 0.0, 95.0
-7.0, 75.0, 0.0, 0.0, -7.5, 0.0, -7.0, 2001-01-15 06:45:00, 0.0, 95.0
-5.0, 75.0, 0.1, 0.1, -7.0, 0.1, -4.0, 2001-01-15 16:00:00, 0.0, 94.0
-6.0, 75.0, 4.0, 4.0, -6.0, 4.0, -5.0, 2001-01-16 06:40:00, 3.0, 97.0
-4.5, 75.0, 8.0, 3.0, -6.0, 3.0, -4.0, 2001-01-16 16:30:00, 4.0, 100.0
-4.5, 76.0, 9.0, 2.0, -5.5, 2.0, -4.0, 2001-01-17 06:40:00, 1.0, 100.0
-2.5, 78.0, 17.0, 8.0, -4.5, 8.0, -2.0, 2001-01-17 16:00:00, 8.0, 105.0
-2.5, 80.0, 16.0, 0.1, -2.5, 0.1, -2.0, 2001-01-18 06:40:00, 1.0, 104.0
-1.5, 76.0, 16.0, 0.1, -3.0, 0.1, -1.0, 2001-01-18 16:00:00, 0.0, 104.0
-1.0, 75.0, 21.0, 6.0, -2.0, 6.0, -1.0, 2001-01-19 06:40:00, 5.0, 109.0
-0.5, 70.0, 20.0, 0.1, -1.0, 0.1, 0.0, 2001-01-19 16:30:00, 0.0, 109.0
-2.0, 73.0, 20.0, 0.1, -2.0, 0.1, 0.0, 2001-01-20 06:30:00, 0.0, 109.0
-2.0, 76.0, 21.0, 1.0, -3.5, 1.0, -1.0, 2001-01-20 16:10:00, 0.0, 109.0
-1.5, 79.0, 26.0, 7.0, -2.0, 7.0, -1.0, 2001-01-21 07:00:00, 5.0, 115.0
-0.5, 70.0, 26.0, 0.1, -3.0, 0.1, 0.0, 2001-01-21 16:00:00, 0.0, 114.0
-3.0, 74.0, 24.0, 0.1, -3.0, 0.1, 0.5, 2001-01-22 06:30:00, 0.0, 112.0
-4.0, 72.0, 24.0, 0.0, -5.0, 0.0, -1.0, 2001-01-22 16:00:00, 0.0, 112.0
-4.0, 74.0, 1.0, 1.0, -6.0, 1.0, -3.5, 2001-01-23 06:45:00, 2.0, 110.0
-1.5, 69.0, 0.1, 0.1, -4.5, 0.1, -1.0, 2001-01-23 16:00:00, 0.0, 110.0
-3.0, 77.0, 2.0, 0.1, -3.0, 0.1, -1.0, 2001-01-24 06:45:00, 0.0, 110.0
-2.0, 73.0, 2.0, 0.0, -3.5, 0.0, -1.0, 2001-01-24 16:45:00, 0.0, 109.0
-5.0, 79.0, 0.0, 0.0, -6.0, 0.0, -1.5, 2001-01-25 06:45:00, 0.0, 109.0
-5.0, 76.0, 0.0, 0.0, -5.5, 0.0, -2.0, 2001-01-25 16:15:00, 0.0, 106.0
-16.0, 69.0, 0.0, 0.0, -16.0, 0.0, -5.5, 2001-01-26 06:45:00, 0.0, 105.0
-5.5, 74.0, 0.0, 0.0, -17.0, 0.0, -5.5, 2001-01-26 16:45:00, 1.0, 104.0
-5.0, 70.0, 3.0, 3.0, -6.0, 3.0, -4.5, 2001-01-27 06:45:00, 2.0, 107.0
-3.5, 70.0, 14.0, 11.0, -5.0, 11.0, -3.5, 2001-01-27 16:20:00, 9.0, 115.0
-2.0, 78.0, 21.0, 9.0, -3.0, 9.0, -1.0, 2001-01-28 06:50:00, 7.0, 120.0
-3.0, 75.0, 20.0, 0.1, -3.0, 0.1, -0.5, 2001-01-28 16:20:00, 0.0, 119.0
