station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-10.0, 90.0, 0.0, 0.0, -19.0, -10.0, 1988-01-02 12:00:00, None, 21.0
-4.0, None, 0.0, 0.0, -4.5, -1.5, 1988-01-04 15:45:00, None, 19.0
-1.5, 97.0, 3.0, 3.0, -1.5, 6.5, 1988-02-27 05:00:00, None, 3.0
-11.5, 44.0, 0.0, 0.0, -11.5, 6.0, 1988-02-28 06:00:00, None, 0.0
-10.0, 35.0, 0.0, 0.0, -12.0, -10.0, 1988-02-28 16:00:00, None, 0.0
1.0, 98.0, 0.0, 0.0, 1.0, 13.0, 1988-11-04 07:30:00, None, 0.0
1.0, 95.0, None, None, -2.0, 1.0, 1988-11-04 16:00:00, None, None
None, None, 0.0, 0.0, None, None, 1988-11-05 07:30:00, None, 0.0
5.0, None, None, None, 1.0, 5.0, 1988-11-05 16:00:00, None, None
4.5, 66.0, 0.0, 0.0, 2.0, 13.0, 1988-11-06 07:30:00, None, 0.0
1.0, 85.0, 0.0, 0.0, -2.0, 9.5, 1988-11-07 07:10:00, None, 0.0
8.0, 51.0, None, None, 2.0, 8.0, 1988-11-07 16:00:00, None, None
-5.0, 99.0, 0.0, 0.0, -5.0, 8.0, 1988-11-08 07:30:00, None, 0.0
5.5, 60.0, 0.0, 0.0, -5.0, 7.5, 1988-11-08 15:50:00, None, 0.0
1.0, 92.0, 0.0, 0.0, 0.0, 5.0, 1988-11-09 07:10:00, None, 0.0
9.0, 45.0, 0.0, 0.0, 1.0, 9.0, 1988-11-09 19:30:00, None, 0.0
3.0, 88.0, 0.0, 0.0, 3.0, 11.0, 1988-11-10 07:30:00, None, 0.0
7.0, 71.0, 0.0, 0.0, 4.0, 7.0, 1988-11-10 15:50:00, None, 0.0
1.0, 100.0, 0.0, 0.0, 1.0, 8.0, 1988-11-11 07:15:00, None, 0.0
6.0, 62.0, None, None, 0.0, 6.0, 1988-11-11 16:00:00, None, None
-2.0, 96.0, 0.0, 0.0, -3.0, 7.0, 1988-11-12 07:15:00, None, 0.0
5.0, 60.0, None, None, -3.0, 6.0, 1988-11-12 16:00:00, None, None
-4.0, 98.0, 0.0, 0.0, -4.5, 7.0, 1988-11-13 07:00:00, None, 0.0
6.0, 63.0, 0.0, 0.0, -4.5, 6.5, 1988-11-13 14:30:00, None, 0.0
-3.0, 97.0, 0.0, 0.0, -4.0, 7.0, 1988-11-14 07:20:00, None, 0.0
0.0, 95.0, 0.0, 0.0, -3.0, 0.0, 1988-11-14 16:00:00, None, 0.0
-5.0, 100.0, 0.0, 0.0, -5.5, 4.5, 1988-11-15 07:30:00, None, 0.0
3.0, 70.0, 0.0, 0.0, -5.5, 4.0, 1988-11-15 14:00:00, None, 0.0
0.0, 95.0, 0.0, 0.0, -1.0, 4.0, 1988-11-16 07:30:00, None, 0.0
5.0, 67.0, 0.0, 0.0, 0.0, 6.0, 1988-11-16 16:00:00, None, 0.0
1.0, 83.0, 0.0, 0.0, 0.0, 8.5, 1988-11-17 07:30:00, None, 0.0
2.5, 60.0, 0.0, 0.0, -3.0, 3.0, 1988-11-17 15:00:00, None, 0.0
-3.0, 84.0, 0.0, 0.0, -3.0, 3.0, 1988-11-18 07:30:00, None, 0.0
1.0, 79.0, 0.0, 0.0, 1.0, 3.0, 1988-11-18 15:00:00, None, 0.0
1.5, 81.0, 0.1, 0.1, 0.0, 3.5, 1988-11-19 07:30:00, None, 0.0
6.0, 55.0, 0.0, 0.0, -5.0, 6.0, 1988-11-19 15:00:00, None, 0.0
-1.0, 98.0, 0.0, 0.0, -3.5, 6.5, 1988-11-20 07:30:00, None, 0.0
6.0, 60.0, 0.0, 0.0, -2.0, 7.5, 1988-11-21 07:30:00, None, 0.0
4.0, 90.0, 0.0, 0.0, 4.0, 8.0, 1988-11-21 14:30:00, None, 0.0
3.0, 72.0, 0.0, 0.0, 0.0, 4.0, 1988-11-22 07:30:00, None, 0.0
6.5, 63.0, 0.0, 0.0, -2.0, 7.0, 1988-11-22 15:45:00, None, 0.0
0.0, 84.0, 0.0, 0.0, 0.0, 7.0, 1988-11-23 07:30:00, None, 0.0
2.5, 30.0, 0.0, 0.0, 0.0, 7.0, 1988-11-23 16:00:00, None, 0.0
-1.0, 70.0, 0.0, 0.0, -4.0, 3.0, 1988-11-24 07:00:00, None, 0.0
-2.0, 65.0, 0.0, 0.0, -3.0, 3.5, 1988-11-24 16:00:00, None, 0.0
-4.0, 100.0, 0.0, 0.0, -6.0, -1.0, 1988-11-25 07:00:00, None, 0.0
-3.5, 90.0, 1.0, 1.0, -5.5, -2.0, 1988-11-25 16:00:00, None, 1.0
-8.5, 95.0, 0.0, 0.0, -8.5, -3.5, 1988-11-26 07:00:00, None, 1.0
-3.0, 84.0, 0.0, 0.0, -8.5, -3.0, 1988-11-26 16:00:00, None, 1.0
-1.0, 66.0, 0.0, 0.0, -3.5, 1.0, 1988-11-27 07:00:00, None, 0.0
4.0, 62.0, 0.0, 0.0, -0.1, 5.0, 1988-11-27 16:00:00, None, 0.0
-4.0, 97.0, 0.0, 0.0, -6.0, -4.0, 1988-11-28 07:30:00, None, 0.0
1.5, 74.0, 0.0, 0.0, -5.5, 4.5, 1988-11-28 16:00:00, None, 0.0
1.0, 80.0, 0.0, 0.0, -1.0, 3.0, 1988-11-29 07:00:00, None, 0.0
4.0, 72.0, 0.0, 0.0, 2.0, 4.5, 1988-11-29 16:00:00, None, 0.0
