station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
None, None, None, None, -1.0, None, 4.0, 1977-10-27 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 4.0, 1977-10-28 23:59:00, None, None, None, None
None, None, None, None, 1.0, None, 3.0, 1977-10-30 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, -1.0, 1977-10-31 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, 8.0, 1977-11-01 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, -1.0, 1977-11-02 23:59:00, None, None, None, None
None, None, None, None, -7.0, None, -3.0, 1977-11-03 23:59:00, None, None, None, None
None, None, None, None, -7.0, None, 1.0, 1977-11-04 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, 1.0, 1977-11-05 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, -1.0, 1977-11-06 23:59:00, None, None, None, None
None, None, None, None, -4.0, None, -3.0, 1977-11-07 23:59:00, None, None, None, None
None, None, None, None, -8.0, None, -5.0, 1977-11-08 23:59:00, None, None, None, None
None, None, None, None, -7.0, None, 1.0, 1977-11-09 23:59:00, None, None, None, None
None, None, None, None, 1.0, None, 4.0, 1977-11-10 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 3.0, 1977-11-11 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 1.0, 1977-11-12 23:59:00, None, None, None, None
None, None, None, None, -1.0, None, -1.0, 1977-11-13 23:59:00, None, None, None, None
None, None, None, None, -1.0, None, -1.0, 1977-11-14 23:59:00, None, None, None, None
None, None, None, None, -4.0, None, -2.0, 1977-11-15 23:59:00, None, None, None, None
None, None, None, None, -4.0, None, -3.0, 1977-11-16 23:59:00, None, None, None, None
None, None, None, None, -7.0, None, -7.0, 1977-11-17 23:59:00, None, None, None, None
None, None, None, None, -16.0, None, -9.0, 1977-11-18 23:59:00, None, None, None, None
None, None, None, None, -14.0, None, -12.0, 1977-11-19 23:59:00, None, None, None, None
None, None, None, None, -16.0, None, -13.0, 1977-11-20 23:59:00, None, None, None, None
None, None, None, None, -19.0, None, -17.0, 1977-11-21 23:59:00, None, None, None, None
None, None, None, None, -19.0, None, -14.0, 1977-11-22 23:59:00, None, None, None, None
None, None, None, None, -16.0, None, -14.0, 1977-11-23 23:59:00, None, None, None, None
None, None, None, None, -13.0, None, -1.0, 1977-11-24 23:59:00, None, None, None, None
None, None, None, None, -4.0, None, 2.0, 1977-11-25 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, -1.0, 1977-11-26 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, -1.0, 1977-11-27 23:59:00, None, None, None, None
None, None, None, None, -1.0, None, 2.0, 1977-11-28 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, 0.0, 1977-11-29 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, -3.0, 1977-11-30 23:59:00, None, None, None, None
None, None, None, None, -4.0, None, -1.0, 1977-12-01 23:59:00, None, None, None, None
None, None, None, None, -1.0, None, 3.0, 1977-12-02 23:59:00, None, None, None, None
None, None, None, None, -1.0, None, -1.0, 1977-12-03 23:59:00, None, None, None, None
None, None, None, None, -6.0, None, -6.0, 1977-12-04 23:59:00, None, None, None, None
None, None, None, None, -13.0, None, -8.0, 1977-12-05 23:59:00, None, None, None, None
None, None, None, None, -11.0, None, -1.0, 1977-12-06 23:59:00, None, None, None, None
None, None, None, None, -17.0, None, -8.0, 1977-12-07 23:59:00, None, None, None, None
None, None, None, None, -21.0, None, -20.0, 1977-12-08 23:59:00, None, None, None, None
None, None, None, None, -22.0, None, -8.0, 1977-12-09 23:59:00, None, None, None, None
None, None, None, None, -1.0, None, 2.0, 1977-12-10 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 0.0, 1977-12-11 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, -1.0, 1977-12-12 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 0.0, 1977-12-13 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 1.0, 1977-12-14 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 0.0, 1977-12-15 23:59:00, None, None, None, None
None, None, None, None, -5.0, None, -4.0, 1977-12-16 23:59:00, None, None, None, None
None, None, None, None, -7.0, None, -5.0, 1978-01-10 23:59:00, None, None, None, None
None, None, None, None, -10.0, None, -8.0, 1978-01-11 23:59:00, None, None, None, None
None, None, None, None, -11.0, None, -9.0, 1978-01-12 23:59:00, None, None, None, None
None, None, None, None, -17.0, None, -12.0, 1978-01-13 23:59:00, None, None, None, None
None, None, None, None, -17.0, None, -14.0, 1978-01-14 23:59:00, None, None, None, None
None, None, None, None, -15.0, None, -1.0, 1978-02-02 23:59:00, None, None, None, None
None, None, None, None, -1.0, None, 0.0, 1978-02-03 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, 0.0, 1978-02-04 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 2.0, 1978-02-05 23:59:00, None, None, None, None
None, None, None, None, -2.0, None, 1.0, 1978-02-06 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, 2.0, 1978-02-07 23:59:00, None, None, None, None
None, None, None, None, -3.0, None, 0.0, 1978-02-08 23:59:00, None, None, None, None
