station_observations
CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
2.0, 0.0, 2.0, 10.5, 1994-02-22 06:40:00, None, 0.0
3.0, 0.0, 1.5, 6.0, 1994-02-22 15:30:00, None, 0.0
-1.5, 2.0, -6.0, 10.0, 1994-02-23 07:10:00, None, 2.0
1.0, 0.0, -1.0, 2.0, 1994-02-23 15:30:00, None, 0.0
2.5, 1.0, -7.0, 5.0, 1994-02-24 06:45:00, None, 1.0
1.0, 0.0, -3.0, 1.0, 1994-02-24 15:30:00, None, 0.0
0.5, 2.0, -6.0, 10.0, 1994-02-25 08:10:00, None, 2.0
1.5, None, -3.0, 4.0, 1994-02-26 06:50:00, None, None
7.0, 0.0, 1.5, 7.0, 1994-02-26 15:30:00, None, 0.0
2.0, None, 2.0, 8.0, 1994-02-27 06:10:00, None, None
11.0, None, 7.5, 11.0, 1994-02-28 16:00:00, None, None
8.5, None, 8.5, 12.0, 1994-03-01 06:25:00, None, 0.0
10.0, None, 8.0, 12.0, 1994-03-01 15:30:00, None, None
8.0, None, 8.0, 13.0, 1994-03-02 07:45:00, None, None
13.0, None, 9.0, 13.0, 1994-03-02 17:11:00, None, None
4.0, 0.0, 3.5, 12.0, 1994-03-03 07:08:00, None, 0.0
9.0, 0.0, 4.0, 11.0, 1994-03-03 16:30:00, None, 0.0
4.0, 0.0, 3.0, 11.0, 1994-03-04 07:00:00, None, 0.0
-1.5, 0.0, -3.0, 8.0, 1994-03-05 06:00:00, None, 0.0
7.0, 0.0, -1.5, 7.0, 1994-03-05 15:05:00, None, 0.0
0.0, 0.0, -1.0, 6.0, 1994-03-06 05:55:00, None, 0.0
8.0, 0.0, 0.0, 9.0, 1994-03-06 16:00:00, None, 0.0
2.0, 0.0, 1.0, 6.5, 1994-03-07 06:59:00, None, 0.0
9.5, 0.0, 3.0, 11.0, 1994-03-07 16:30:00, None, 0.0
2.5, 0.0, 1.5, 9.5, 1994-03-08 07:10:00, None, 0.0
11.0, 0.0, 3.0, 13.0, 1994-03-08 17:00:00, None, 0.0
6.0, 0.0, 5.0, 12.0, 1994-03-09 07:30:00, None, 0.0
13.0, 0.0, 2.0, 13.0, 1994-03-09 15:30:00, None, 0.0
6.0, 0.0, 5.0, 12.0, 1994-03-10 07:10:00, None, None
9.0, None, 5.0, 9.0, 1994-03-10 15:30:00, None, None
2.0, 0.0, 1.5, 12.0, 1994-03-11 06:38:00, None, 0.0
10.0, 0.0, 1.5, 10.0, 1994-03-11 15:30:00, None, 0.0
9.0, 0.0, 5.0, 9.0, 1994-03-12 15:30:00, None, 0.0
10.0, 0.0, 3.0, 10.0, 1994-03-13 15:00:00, None, 0.0
3.0, 0.0, 2.0, 12.0, 1994-03-14 06:50:00, None, 0.0
3.0, 0.0, 2.0, 12.0, 1994-03-15 07:30:00, None, 0.0
7.0, 0.0, 2.0, 8.0, 1994-03-15 15:40:00, None, 0.0
4.0, 0.0, 3.0, 12.0, 1994-03-16 07:30:00, None, 0.0
4.5, 0.0, 3.0, 12.0, 1994-03-17 07:15:00, None, None
6.0, None, 3.0, 8.0, 1994-03-17 16:30:00, None, None
2.0, 0.0, 1.0, 12.0, 1994-03-18 06:50:00, None, 0.0
5.0, 0.0, 2.0, 8.0, 1994-03-18 15:30:00, None, 0.0
2.0, 0.0, 0.0, 12.0, 1994-03-19 07:05:00, None, 0.0
7.0, 0.0, 0.5, 7.0, 1994-03-19 15:30:00, None, 0.0
4.0, 0.0, 4.0, 12.0, 1994-03-20 06:25:00, None, 0.0
6.5, 0.0, 6.0, 6.5, 1994-03-20 16:05:00, None, 0.0
3.0, 0.0, 2.0, 7.0, 1994-03-21 06:55:00, None, 0.0
5.0, None, 3.0, 6.0, 1994-03-21 15:38:00, None, None
-1.0, None, -2.0, 5.5, 1994-03-22 07:05:00, None, None
6.0, 0.0, 0.0, 7.0, 1994-03-22 16:00:00, None, 0.0
-1.5, None, -3.0, 5.5, 1994-03-23 07:06:00, None, None
10.0, 0.0, -2.0, 10.0, 1994-03-23 15:30:00, None, 0.0
1.0, 0.0, -0.5, 9.5, 1994-03-24 06:25:00, None, 0.0
12.0, 0.0, -2.0, 12.0, 1994-03-24 16:00:00, None, 0.0
3.0, 0.0, 2.0, 18.0, 1994-03-28 07:10:00, None, 0.0
19.0, 0.0, 3.0, 19.0, 1994-03-28 15:30:00, None, 0.0
7.0, 0.0, 5.5, 22.0, 1994-03-29 06:43:00, None, 0.0
18.0, 0.0, 6.0, 18.0, 1994-03-29 15:30:00, None, 0.0
8.0, 0.0, 6.0, 15.0, 1994-03-30 07:22:00, None, 0.0
8.5, 0.0, 7.0, 15.0, 1994-03-31 07:08:00, None, 0.0
3.0, 0.0, 3.0, 7.0, 1994-11-01 06:40:00, None, 0.0
4.0, 0.0, 3.0, 7.0, 1994-11-01 15:00:00, None, 0.0
-2.0, 0.0, -2.0, 4.0, 1994-11-02 06:45:00, None, 0.0
5.0, 0.0, -2.0, 8.0, 1994-11-02 16:15:00, None, 0.0
4.0, 0.0, -1.0, 4.0, 1994-11-03 06:30:00, None, 0.0
5.0, 0.0, -1.0, 7.0, 1994-11-03 15:00:00, None, 0.0
5.0, 0.0, -1.0, 6.0, 1994-11-04 16:00:00, None, 0.0
3.5, 0.0, 3.5, 8.0, 1994-11-05 06:50:00, None, None
3.0, 0.0, 2.0, 5.0, 1994-11-05 17:00:00, None, 0.0
0.0, 0.0, -7.0, 4.0, 1994-11-06 07:00:00, None, 0.0
4.0, 0.0, -0.5, 8.0, 1994-11-06 17:00:00, None, 0.0
6.0, 0.0, 3.0, 6.0, 1994-11-07 09:55:00, None, 0.0
8.0, 0.0, 6.0, 8.5, 1994-11-07 15:40:00, None, 0.0
4.5, None, 4.5, 8.0, 1994-11-08 07:20:00, None, None
8.0, 0.0, 4.5, 8.0, 1994-11-08 15:40:00, None, 0.0
6.0, 0.0, 6.0, 8.0, 1994-11-09 07:20:00, None, 0.0
11.5, None, 6.0, 13.0, 1994-11-09 15:30:00, None, None
2.0, 0.0, 1.0, 6.0, 1994-11-10 07:25:00, None, 0.0
10.0, 0.0, 2.0, 11.0, 1994-11-10 15:25:00, None, 0.0
8.0, None, 2.0, 10.0, 1994-11-11 06:00:00, None, None
4.0, None, 2.0, 7.0, 1994-11-12 06:55:00, None, None
6.0, None, 3.0, 8.0, 1994-11-13 07:00:00, None, None
2.0, 0.0, 2.0, 8.0, 1994-11-14 07:25:00, None, 0.0
6.0, 0.0, 2.0, 7.0, 1994-11-14 15:20:00, None, 0.0
3.0, 0.0, 2.0, 6.0, 1994-11-15 07:25:00, None, 0.0
7.0, 0.0, 3.0, 8.0, 1994-11-15 15:30:00, None, 0.0
4.0, 0.0, 2.0, 7.0, 1994-11-16 07:20:00, None, 0.0
5.0, 0.0, 4.0, 6.0, 1994-11-16 15:25:00, None, 0.0
-2.0, 0.0, -2.0, 5.0, 1994-11-17 07:30:00, None, 0.0
4.0, None, -2.0, 6.0, 1994-11-17 15:25:00, None, None
0.0, 0.0, 0.0, 0.0, 1994-11-18 07:20:00, None, 0.0
4.0, None, 1.0, 5.0, 1994-11-18 15:00:00, None, None
4.0, 0.0, 0.0, 5.0, 1994-11-19 06:40:00, None, 0.0
5.0, None, 5.0, 5.0, 1994-11-19 14:45:00, None, None
1.0, 0.0, 0.0, 1.0, 1994-11-20 07:40:00, None, 0.0
0.0, 0.0, -2.0, 2.0, 1994-11-21 07:25:00, None, 0.1
5.0, 0.0, 0.0, 5.0, 1994-11-21 15:30:00, None, 0.0
6.0, 0.0, 5.0, 6.0, 1994-11-22 07:20:00, None, 0.0
4.0, 0.0, 4.0, 6.0, 1994-11-22 15:25:00, None, 0.0
1.0, 0.1, 1.0, 4.0, 1994-11-23 07:25:00, None, 0.1
5.0, 0.0, 1.0, 5.0, 1994-11-23 15:30:00, None, 0.0
3.0, 0.0, 3.0, 5.0, 1994-11-24 06:30:00, None, 0.0
8.0, 0.0, 3.0, 8.0, 1994-11-24 15:20:00, None, 0.0
2.0, 0.0, 2.0, 8.0, 1994-11-25 07:25:00, None, 0.0
8.0, 0.0, 2.0, 9.0, 1994-11-25 15:05:00, None, 0.0
-4.0, 0.0, -7.0, 7.0, 1994-11-26 06:30:00, None, 0.0
4.0, 0.0, -7.0, 4.0, 1994-11-26 15:10:00, None, 0.0
2.0, 0.0, -4.0, 4.0, 1994-11-27 06:20:00, None, 0.0
3.0, 0.0, 3.0, 7.0, 1994-11-27 15:50:00, None, 0.0
4.0, 0.0, 3.0, 4.0, 1994-11-28 07:25:00, None, 0.0
6.0, 0.0, 4.0, 6.0, 1994-11-28 15:25:00, None, 0.0
6.0, 0.0, 4.0, 6.0, 1994-11-29 07:25:00, None, 0.0
8.0, 0.0, 6.0, 8.0, 1994-11-29 15:20:00, None, 0.0
8.0, 0.0, 8.0, 12.0, 1994-11-30 07:25:00, None, 0.0
5.0, 0.0, 5.0, 8.0, 1994-11-30 15:25:00, None, 0.0
1.0, 1.0, 1.0, 5.0, 1994-12-01 07:25:00, None, 1.0
2.0, 0.0, 1.0, 7.0, 1994-12-01 15:35:00, None, 0.1
-2.0, 7.0, -2.0, 2.0, 1994-12-02 07:25:00, None, 7.0
2.0, 0.0, -2.0, 3.0, 1994-12-02 15:05:00, None, 2.0
-2.0, 4.0, -8.0, 6.0, 1994-12-03 06:30:00, None, 7.0
0.0, 0.0, -8.0, 2.0, 1994-12-03 15:05:00, None, 7.0
-5.0, 0.0, -10.0, 2.0, 1994-12-04 06:30:00, None, 0.0
1.5, 0.0, -5.0, 1.5, 1994-12-04 16:40:00, None, 7.0
2.0, 0.0, 1.5, 2.0, 1994-12-05 07:25:00, None, 5.0
3.0, 0.0, 2.0, 3.0, 1994-12-05 15:30:00, None, 3.0
-2.0, 0.0, -2.0, 3.0, 1994-12-06 07:25:00, None, 3.0
2.0, 0.0, -2.0, 2.0, 1994-12-06 15:35:00, None, 3.0
1.0, 0.0, 0.0, 2.0, 1994-12-07 07:25:00, None, 3.0
1.0, 0.0, 1.0, 3.0, 1994-12-07 15:35:00, None, 0.0
3.0, 0.0, 3.0, 3.0, 1994-12-08 06:45:00, None, 0.0
5.0, 5.0, 3.0, 7.0, 1994-12-08 15:31:00, None, 0.0
-1.0, 0.0, -1.0, 5.0, 1994-12-09 06:58:00, None, 0.0
5.0, 0.0, -1.0, 5.0, 1994-12-09 15:30:00, None, 0.0
5.0, 0.0, 0.0, 7.0, 1994-12-10 06:30:00, None, 0.0
7.0, 0.0, 5.0, 8.0, 1994-12-10 15:30:00, None, 0.0
7.0, 0.0, 2.0, 8.0, 1994-12-11 08:20:00, None, 0.0
9.0, 0.0, 7.5, 9.0, 1994-12-11 15:35:00, None, 0.0
6.0, 0.0, 6.0, 9.0, 1994-12-12 07:20:00, None, 0.0
8.0, 0.0, 6.0, 9.0, 1994-12-12 15:45:00, None, 0.0
3.0, 0.0, 2.0, 8.0, 1994-12-13 07:20:00, None, 0.0
6.0, None, 3.0, 6.0, 1994-12-13 15:40:00, None, None
6.0, 0.0, 6.0, 6.0, 1994-12-14 07:20:00, None, 0.0
6.0, 0.0, 6.0, 6.0, 1994-12-14 15:35:00, None, 0.0
5.0, 0.0, 1.0, 6.0, 1994-12-15 07:25:00, None, 0.0
6.0, 0.0, 5.0, 7.0, 1994-12-15 15:30:00, None, 0.0
5.0, 0.0, 5.0, 6.0, 1994-12-16 07:20:00, None, 0.0
8.0, 0.0, 5.0, 8.0, 1994-12-16 15:30:00, None, 0.0
7.0, 0.0, 5.0, 8.0, 1994-12-17 06:50:00, None, 0.0
10.0, 0.0, 8.0, 11.0, 1994-12-17 15:30:00, None, 0.0
8.0, None, 5.0, 9.0, 1994-12-18 05:50:00, None, None
9.0, 0.0, 6.0, 10.0, 1994-12-18 16:20:00, None, 0.0
8.0, None, 0.0, 8.0, 1994-12-19 07:25:00, None, None
9.0, None, 8.0, 9.0, 1994-12-19 15:35:00, None, None
4.0, 0.0, 4.0, 9.0, 1994-12-20 07:25:00, None, 0.0
8.0, None, 4.0, 8.0, 1994-12-20 15:30:00, None, None
5.0, 0.0, 4.0, 8.0, 1994-12-21 07:25:00, None, 0.0
7.0, 0.0, 3.0, 7.0, 1994-12-21 15:30:00, None, 0.0
7.0, 0.0, 7.0, 7.0, 1994-12-22 07:25:00, None, 0.0
9.0, 0.0, 9.0, 9.0, 1994-12-22 15:40:00, None, 0.0
6.0, None, 6.0, 9.0, 1994-12-23 07:25:00, None, None
8.0, 0.0, 6.0, 8.0, 1994-12-23 15:50:00, None, 0.0
6.0, 0.0, 4.0, 8.0, 1994-12-24 06:50:00, None, 0.0
6.0, None, 6.0, 6.0, 1994-12-24 14:50:00, None, None
6.0, 0.0, 1.0, 6.0, 1994-12-25 06:40:00, None, 0.0
6.0, 0.0, 1.0, 6.0, 1994-12-25 15:35:00, None, 0.0
5.0, 0.0, 5.0, 5.0, 1994-12-26 07:10:00, None, 0.0
7.0, None, 3.0, 7.0, 1994-12-26 15:30:00, None, None
5.0, 0.0, 5.0, 7.0, 1994-12-27 07:30:00, None, 0.0
5.0, 0.0, 5.0, 6.0, 1994-12-27 15:30:00, None, 0.0
2.0, 0.1, 2.0, 5.0, 1994-12-28 07:25:00, None, 0.1
4.0, 0.0, 2.0, 5.0, 1994-12-28 15:30:00, None, 0.0
0.0, 0.0, 0.0, 2.0, 1994-12-29 07:20:00, None, 0.0
3.0, 0.0, 0.0, 4.0, 1994-12-29 15:30:00, None, 0.0
-1.0, 0.0, -1.0, 3.0, 1994-12-30 07:20:00, None, 0.0
6.0, 0.0, -1.0, 6.0, 1994-12-30 15:30:00, None, 0.0
1.0, 0.0, -2.0, 6.0, 1994-12-31 06:30:00, None, 0.0
6.0, 0.0, 2.0, 6.0, 1994-12-31 15:15:00, None, 0.0
0.0, 0.0, -5.0, 0.0, 1995-01-01 06:15:00, None, 0.0
2.0, 0.0, 2.0, 4.0, 1995-01-02 14:50:00, None, 0.0
-2.0, 0.0, -2.0, 2.0, 1995-01-03 07:20:00, None, 0.0
6.0, 0.0, -2.0, 7.0, 1995-01-03 15:30:00, None, 0.0
-4.0, 0.0, -4.0, 6.0, 1995-01-04 07:25:00, None, 0.0
3.0, None, -4.0, 5.0, 1995-01-04 15:35:00, None, None
-4.0, 0.0, -4.0, 3.0, 1995-01-05 07:25:00, None, 0.0
3.0, 0.0, -4.0, 5.0, 1995-01-05 15:35:00, None, 0.0
-1.0, 0.0, -3.0, 3.0, 1995-01-06 07:25:00, None, 0.0
5.0, 0.0, -1.0, 5.0, 1995-01-06 15:30:00, None, 0.0
2.0, 0.0, -2.0, 4.0, 1995-01-07 05:40:00, None, 0.0
6.0, 0.0, 2.0, 7.0, 1995-01-07 15:30:00, None, 0.0
6.0, 0.0, 4.0, 6.0, 1995-01-08 06:40:00, None, 0.0
8.0, 0.0, 5.0, 8.0, 1995-01-08 16:00:00, None, 0.0
7.0, 0.0, 5.0, 7.0, 1995-01-09 07:25:00, None, 0.0
7.5, 0.0, 6.0, 7.5, 1995-01-09 15:35:00, None, 0.0
7.0, 0.0, 7.0, 8.0, 1995-01-10 07:20:00, None, 0.0
7.0, 0.0, 6.0, 8.0, 1995-01-10 15:30:00, None, 0.0
5.0, 0.0, 5.0, 7.0, 1995-01-11 07:20:00, None, 0.0
7.0, 0.0, 5.0, 8.5, 1995-01-11 15:30:00, None, 0.0
6.0, 0.0, 1.0, 7.0, 1995-01-12 07:25:00, None, 0.0
7.0, None, 6.0, 7.0, 1995-01-12 16:30:00, None, None
5.0, 0.0, 5.0, 7.0, 1995-01-13 07:25:00, None, 0.0
7.0, 0.0, 6.0, 7.0, 1995-01-13 15:30:00, None, 0.0
4.0, 0.0, 3.0, 7.0, 1995-01-14 06:15:00, None, 0.0
5.0, None, 2.0, 6.0, 1995-01-14 15:30:00, None, None
5.0, 0.0, 1.0, 6.0, 1995-01-15 06:10:00, None, 0.0
7.5, None, 5.0, 7.5, 1995-01-15 16:00:00, None, None
4.5, 0.0, 4.0, 5.0, 1995-01-16 07:20:00, None, 0.0
5.0, 0.0, 4.5, 6.0, 1995-01-16 15:45:00, None, 0.0
4.0, 0.0, 1.0, 5.0, 1995-01-17 07:20:00, None, 0.0
5.5, 0.0, 4.0, 5.5, 1995-01-17 15:35:00, None, 0.0
4.5, 0.0, 4.5, 5.5, 1995-01-18 07:25:00, None, 0.0
6.0, None, 4.5, 6.0, 1995-01-18 15:30:00, None, None
5.5, 0.0, 3.0, 6.0, 1995-01-19 07:20:00, None, 0.0
8.0, None, 5.0, 8.5, 1995-01-19 15:35:00, None, None
7.0, 0.0, 5.5, 8.0, 1995-01-20 07:25:00, None, 0.0
8.0, 0.0, 6.5, 8.0, 1995-01-20 15:30:00, None, 0.0
6.0, 0.0, -1.0, 8.0, 1995-01-21 06:20:00, None, 0.0
11.0, 0.0, 6.0, 12.0, 1995-01-21 14:30:00, None, 0.0
-1.0, 0.0, -2.0, 10.0, 1995-01-22 06:35:00, None, 0.0
10.0, 0.0, 0.0, 10.0, 1995-01-22 17:30:00, None, 0.0
-2.0, 0.0, -2.0, 7.0, 1995-01-23 07:20:00, None, 0.0
5.5, 0.0, -2.5, 6.0, 1995-01-23 15:30:00, None, 0.0
0.0, 0.0, -1.0, 5.5, 1995-01-24 07:20:00, None, 0.0
5.5, 0.0, -0.5, 6.0, 1995-01-24 15:30:00, None, 0.0
0.5, 0.0, -0.5, 5.5, 1995-01-25 07:20:00, None, 0.0
6.5, 0.0, 0.5, 7.0, 1995-01-25 15:30:00, None, 0.0
3.0, 0.0, 3.0, 6.5, 1995-01-26 07:20:00, None, 0.0
7.5, 0.0, 2.5, 8.0, 1995-01-26 15:30:00, None, 0.0
4.5, 0.0, 1.5, 7.5, 1995-01-27 07:20:00, None, 0.0
8.5, 0.0, 4.5, 9.0, 1995-01-27 15:30:00, None, 0.0
10.0, 0.0, 7.0, 11.0, 1995-01-28 06:20:00, None, 0.0
10.0, 0.0, 10.0, 10.0, 1995-01-28 15:15:00, None, 0.0
11.0, 0.0, 7.0, 11.0, 1995-01-29 06:40:00, None, 0.0
8.0, 0.0, 7.0, 9.5, 1995-01-29 16:00:00, None, 0.0
7.5, 0.0, 5.0, 11.0, 1995-01-30 07:15:00, None, 0.0
9.0, 0.0, 7.5, 9.0, 1995-01-30 15:50:00, None, 0.0
7.0, 0.0, 6.5, 7.5, 1995-01-31 06:40:00, None, 0.0
11.0, 0.0, 7.5, 11.0, 1995-01-31 16:10:00, None, 0.0
6.0, 0.0, 6.0, 11.0, 1995-02-01 07:20:00, None, 0.0
7.0, 0.0, 5.0, 8.5, 1995-02-01 15:30:00, None, 0.0
5.5, 0.0, 4.0, 7.0, 1995-02-02 07:20:00, None, 0.0
8.0, 0.0, 5.5, 8.0, 1995-02-02 15:30:00, None, 0.0
1.0, 0.0, 1.0, 8.0, 1995-02-03 07:20:00, None, 0.0
8.0, 0.0, 0.0, 9.0, 1995-02-03 15:30:00, None, 0.0
4.0, 0.0, 0.0, 8.0, 1995-02-04 06:15:00, None, 0.0
13.0, 0.0, -1.0, 13.0, 1995-02-04 15:50:00, None, 0.0
10.0, 0.0, 2.0, 12.0, 1995-02-05 06:30:00, None, 0.0
10.0, 0.0, 9.0, 11.0, 1995-02-05 17:00:00, None, 0.0
5.5, 0.0, 5.5, 10.0, 1995-02-06 07:20:00, None, 0.0
8.5, 0.0, 5.5, 10.5, 1995-02-06 15:30:00, None, 0.0
5.0, 0.0, 4.5, 8.5, 1995-02-07 07:20:00, None, 0.0
8.0, 0.0, 5.0, 8.0, 1995-02-07 15:30:00, None, 0.0
3.0, 0.0, 0.0, 8.0, 1995-02-08 07:25:00, None, 0.0
7.5, 0.0, 1.0, 8.0, 1995-02-08 15:30:00, None, 0.0
-1.0, 0.0, -1.0, 7.5, 1995-02-09 07:20:00, None, 0.0
7.0, 0.0, -1.0, 8.0, 1995-02-09 15:30:00, None, 0.0
3.0, 0.0, 0.5, 8.0, 1995-02-10 07:20:00, None, 0.0
7.5, 0.0, 2.5, 7.5, 1995-02-10 15:30:00, None, 0.0
8.0, 0.0, 8.0, 9.0, 1995-02-11 07:00:00, None, 0.0
7.0, 0.0, 6.0, 7.0, 1995-02-11 15:30:00, None, 0.0
3.0, 0.0, 0.0, 7.0, 1995-02-12 06:05:00, None, 0.0
3.0, 0.0, 0.5, 3.0, 1995-02-12 15:49:00, None, 0.0
-6.5, 0.0, -6.5, 3.0, 1995-02-13 07:20:00, None, 0.0
2.5, 0.0, -6.5, 4.5, 1995-02-13 15:35:00, None, 0.0
0.0, 0.0, -2.5, 2.5, 1995-02-14 07:25:00, None, 0.0
0.0, 1.0, 0.0, 1.0, 1995-02-14 15:30:00, None, 1.0
0.0, 17.0, 0.0, 0.0, 1995-02-15 07:25:00, None, 17.0
3.5, 0.0, 0.0, 5.0, 1995-02-15 15:30:00, None, 9.0
2.0, 0.0, 0.0, 4.0, 1995-02-16 07:25:00, None, 8.0
2.5, 0.0, 2.0, 3.0, 1995-02-16 15:30:00, None, 2.0
4.5, 0.0, 2.5, 4.5, 1995-02-17 07:25:00, None, 2.0
8.0, 0.0, 4.5, 8.0, 1995-02-17 15:30:00, None, 0.0
8.0, 0.0, 2.0, 8.0, 1995-02-18 06:25:00, None, 0.0
8.0, None, 8.0, 8.0, 1995-02-18 15:30:00, None, None
8.0, 0.0, 5.0, 8.0, 1995-02-19 06:00:00, None, 0.0
13.0, 0.0, 12.0, 13.0, 1995-02-19 15:15:00, None, 0.0
9.5, 0.0, 8.5, 13.0, 1995-02-20 07:15:00, None, 0.0
11.0, 0.0, 8.5, 13.0, 1995-02-20 15:30:00, None, 0.0
5.0, 0.0, 2.0, 11.0, 1995-02-21 07:20:00, None, 0.0
8.0, 0.0, 4.0, 8.5, 1995-02-21 15:55:00, None, 0.0
0.5, 0.0, 0.5, 8.0, 1995-02-22 07:25:00, None, 0.0
7.5, 0.0, 0.5, 8.0, 1995-02-22 15:30:00, None, 0.0
7.0, 0.0, 4.5, 7.5, 1995-02-23 07:15:00, None, 0.0
6.5, 0.0, 6.5, 7.5, 1995-02-24 07:20:00, None, 0.0
6.5, 0.0, 6.5, 10.5, 1995-02-24 15:30:00, None, 0.0
4.0, 0.0, 0.0, 6.0, 1995-02-25 05:40:00, None, 0.0
7.0, 0.0, 2.0, 9.0, 1995-02-25 15:30:00, None, 0.0
3.0, 0.0, -3.5, 7.5, 1995-02-26 10:10:00, None, 0.0
6.5, 0.0, -3.5, 6.5, 1995-02-26 16:00:00, None, 0.0
-4.0, 0.0, -4.0, 6.5, 1995-02-27 07:20:00, None, 0.0
8.5, 0.0, -4.0, 10.5, 1995-02-27 15:30:00, None, 0.0
