station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
2.0, None, None, None, None, None, None, 1979-11-06 13:00:00, None, 0.0
-18.0, None, None, None, None, None, None, 1979-11-07 07:30:00, None, 0.0
-17.0, None, None, None, None, None, None, 1979-11-08 07:30:00, None, 0.0
-15.0, None, None, None, None, None, None, 1979-11-09 07:30:00, None, 0.0
-15.0, None, None, None, None, None, None, 1979-11-13 07:30:00, None, 0.0
-2.0, None, None, None, None, None, None, 1979-11-14 07:30:00, None, 0.0
-4.0, None, None, None, None, None, None, 1979-11-15 07:30:00, None, 0.0
-8.0, None, None, None, None, None, None, 1979-11-16 07:30:00, None, 0.0
-12.0, None, None, 9.0, None, None, None, 1979-11-17 08:00:00, None, 9.0
-10.0, None, None, None, None, None, None, 1979-11-18 08:00:00, None, 5.0
-12.0, None, None, None, None, None, None, 1979-11-19 07:30:00, None, 5.0
0.0, None, None, None, None, None, None, 1979-11-20 07:30:00, None, 4.0
-3.0, None, None, None, None, None, None, 1979-11-21 07:30:00, None, 3.0
-4.0, None, None, None, None, None, None, 1979-11-22 07:30:00, None, 2.0
-9.0, None, None, 2.0, -9.0, None, 0.0, 1979-11-23 07:30:00, None, 3.0
-9.0, None, None, None, None, None, None, 1979-11-24 08:00:00, None, 2.0
-10.0, None, None, 1.0, -14.0, None, -4.0, 1979-11-26 09:00:00, None, 3.0
-12.0, None, None, None, -16.0, None, -10.0, 1979-11-27 09:00:00, None, 3.0
-9.0, None, None, None, -12.0, None, -4.0, 1979-11-28 09:00:00, None, 3.0
-9.0, None, None, None, -14.0, None, -5.0, 1979-11-29 09:00:00, None, 2.0
-8.0, None, None, 1.0, -13.0, None, -5.0, 1979-11-30 09:00:00, None, 3.0
-7.0, None, None, 1.0, None, None, None, 1979-12-01 09:00:00, None, 4.0
-9.0, None, None, 1.0, -12.0, None, -5.0, 1979-12-03 09:00:00, None, 4.0
-5.0, None, None, 6.0, -8.0, None, -5.0, 1979-12-04 09:00:00, None, 10.0
-2.0, None, None, 1.0, -5.0, None, -2.0, 1979-12-05 09:00:00, None, 7.0
-2.0, None, None, 1.0, -3.0, None, 0.0, 1979-12-06 09:00:00, None, 6.0
-5.0, None, None, 3.0, -6.0, None, -2.0, 1979-12-07 09:00:00, None, 9.0
0.0, None, None, 8.0, -2.0, None, 2.0, 1979-12-08 07:30:00, None, 15.0
-5.0, None, None, 8.0, -5.0, None, 6.0, 1979-12-09 07:00:00, None, 23.0
-12.0, None, None, 3.0, -16.0, None, -5.0, 1979-12-10 09:00:00, None, 25.0
-6.0, None, None, 5.0, -12.0, None, -6.0, 1979-12-11 09:00:00, None, 28.0
-12.0, None, None, 11.0, -14.0, None, -6.0, 1979-12-12 09:00:00, None, 35.0
-5.0, None, None, 12.0, -12.0, None, -5.0, 1979-12-13 09:00:00, None, 41.0
-17.0, None, None, 2.0, -18.0, None, -9.0, 1979-12-14 09:00:00, None, 42.0
-25.0, None, None, None, -33.0, None, -15.0, 1979-12-15 08:00:00, None, 38.0
-20.0, None, None, None, -28.0, None, -14.0, 1979-12-16 08:30:00, None, 38.0
-2.0, None, None, 26.0, -18.0, None, -2.0, 1979-12-17 09:00:00, None, 54.0
-2.0, None, None, 10.0, -3.0, None, -2.0, 1979-12-18 09:00:00, None, 58.0
-1.0, None, None, 2.0, -3.0, None, -1.0, 1979-12-19 13:00:00, None, 54.0
-3.0, None, None, None, -5.0, None, -1.0, 1979-12-20 09:30:00, None, 51.0
-6.0, None, None, None, -6.0, None, -2.0, 1979-12-21 09:30:00, None, 49.0
-11.0, None, None, None, -13.0, None, -3.0, 1979-12-22 07:00:00, None, 49.0
-14.0, None, None, None, -14.0, None, -10.0, 1979-12-23 09:30:00, None, 49.0
-12.0, None, None, None, -14.0, None, -12.0, 1979-12-24 09:00:00, None, 47.0
-3.0, None, None, 1.0, -12.0, None, -3.0, 1979-12-26 08:00:00, None, 45.0
-5.0, None, None, None, -5.0, None, -1.0, 1979-12-27 09:00:00, None, 43.0
-4.0, None, None, None, -6.0, None, -2.0, 1979-12-28 09:00:00, None, 42.0
-12.0, None, None, 1.0, -12.0, None, -1.0, 1979-12-29 08:00:00, None, 42.0
-10.0, None, None, None, -12.0, None, -7.0, 1979-12-30 08:00:00, None, 41.0
-6.0, None, None, 4.0, -10.0, None, -6.0, 1979-12-31 09:00:00, None, 42.0
-6.0, None, None, None, -8.0, None, -5.0, 1980-01-02 10:00:00, None, 40.0
-5.0, None, None, 5.0, -9.0, None, -5.0, 1980-01-03 09:00:00, None, 45.0
-14.0, None, None, 9.0, -14.0, None, -5.0, 1980-01-04 09:00:00, None, 52.0
-20.0, None, None, 1.0, -20.0, None, -8.0, 1980-01-05 07:00:00, None, 52.0
-15.0, None, None, None, -25.0, None, -15.0, 1980-01-06 07:00:00, None, 49.0
-12.0, None, None, 2.0, -14.0, None, -11.0, 1980-01-07 09:00:00, None, 47.0
-30.0, None, None, 1.0, -30.0, None, -11.0, 1980-01-08 09:30:00, None, 49.0
-33.0, None, None, 1.0, -34.0, None, -11.0, 1980-01-09 09:00:00, None, 48.0
-38.0, None, None, None, -38.0, None, -33.0, 1980-01-10 10:00:00, None, 47.0
