station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-10.0, 82.0, 0.0, 0.0, -14.5, None, -8.0, 1990-12-21 15:15:00, None, None, 100.0
-11.0, 95.0, 0.1, 0.1, -14.0, None, -10.0, 1990-12-22 08:05:00, 0.0, None, 100.0
-10.5, 94.0, 0.0, 0.0, -11.0, None, -9.0, 1990-12-22 15:00:00, 0.0, None, 99.0
-8.0, 94.0, 0.1, 0.1, -12.0, None, -8.0, 1990-12-23 08:04:00, 0.0, None, 99.0
-6.5, 95.0, 0.0, 0.0, -9.0, None, -6.0, 1990-12-23 15:00:00, 1.0, None, 99.0
-4.5, 97.0, 0.0, 0.0, -8.0, None, -3.0, 1990-12-24 08:15:00, 0.0, None, 99.0
-2.5, 95.0, 0.0, 0.0, -5.0, None, -1.0, 1990-12-24 15:00:00, 0.0, None, 99.0
-1.0, 97.0, 0.1, 0.1, -5.0, None, -1.0, 1990-12-25 08:10:00, 0.0, None, 98.0
0.0, 89.0, 0.0, 0.0, -2.5, None, 1.0, 1990-12-25 15:30:00, 0.0, None, 97.0
-3.0, 96.0, 0.1, 0.1, -9.0, None, 0.0, 1990-12-26 08:00:00, 0.0, None, 97.0
-1.0, 91.0, 0.0, 0.0, -3.5, None, -0.5, 1990-12-26 16:20:00, 0.0, None, 97.0
-5.5, 81.0, 0.1, 0.1, -5.5, None, 0.5, 1990-12-27 08:10:00, 1.0, None, 97.0
-2.0, 70.0, 0.0, 0.0, -5.5, None, -0.5, 1990-12-27 15:00:00, 0.0, None, 97.0
-18.0, 66.0, 0.1, 0.1, -19.0, None, -1.0, 1990-12-28 08:05:00, 1.0, None, 96.0
-12.0, 29.0, 0.1, 0.1, -18.5, None, -11.0, 1990-12-28 14:50:00, 0.0, None, 96.0
-15.0, 87.0, 0.0, 0.0, -16.0, None, -11.5, 1990-12-29 08:05:00, 0.0, None, 96.0
-11.0, 97.0, 3.0, 3.0, -15.0, None, -11.0, 1990-12-29 15:00:00, 1.0, None, 99.0
-10.5, 925.0, 7.0, 6.0, -12.0, None, -10.5, 1990-12-30 07:40:00, 5.0, None, 102.0
-4.5, 940.0, 9.0, 2.0, -10.5, None, -4.5, 1990-12-30 15:15:00, 1.0, None, 103.0
0.0, 70.0, 1.0, 1.0, -6.0, None, 1.0, 1990-12-31 08:00:00, 0.0, None, 102.0
-1.5, 95.0, 0.0, 0.0, -1.5, None, 1.0, 1990-12-31 15:00:00, 0.0, None, 102.0
-6.0, 91.0, 0.1, 0.1, -6.0, None, -0.5, 1991-01-01 08:10:00, 1.0, None, 101.0
-2.0, 80.0, 0.0, 0.0, -6.5, None, -1.0, 1991-01-01 15:00:00, 0.0, None, 101.0
-5.0, 95.0, 0.1, 0.1, -5.5, None, -1.5, 1991-01-02 08:00:00, 1.0, None, 100.0
-3.0, 86.0, 0.0, 0.0, -5.0, None, -2.5, 1991-01-02 14:50:00, 0.0, None, 100.0
-5.0, 67.0, 0.0, 0.0, -6.0, None, -2.5, 1991-01-03 08:00:00, 0.0, None, 97.0
0.0, 41.0, 0.0, 0.0, -5.0, None, 1.0, 1991-01-03 15:00:00, 0.0, None, 97.0
-6.5, 80.0, 0.0, 0.0, -7.0, None, 0.0, 1991-01-04 08:15:00, 0.0, None, 97.0
-3.5, 65.0, 0.0, 0.0, -6.5, None, -0.5, 1991-01-04 15:00:00, 0.0, None, 96.0
-7.5, 79.0, 0.0, 0.0, -9.5, None, -3.5, 1991-01-05 08:15:00, 0.0, None, 96.0
-8.0, 94.0, 0.0, 0.0, -11.0, None, -7.0, 1991-01-05 15:10:00, 0.0, None, 96.0
-8.0, 93.0, 1.0, 1.0, -9.0, None, -7.0, 1991-01-06 07:55:00, 1.0, None, 97.0
-5.5, 93.0, 1.0, 1.0, -8.0, None, -5.5, 1991-01-06 15:10:00, 1.0, None, 97.0
-3.5, 94.0, 6.0, 6.0, -7.0, None, -3.0, 1991-01-07 08:00:00, 7.0, None, 99.0
-2.5, 94.0, 10.0, 3.0, -3.5, None, -2.0, 1991-01-07 15:00:00, 4.0, None, 103.0
-6.0, 95.0, 11.0, 3.0, -6.0, None, 0.5, 1991-01-08 08:10:00, 0.0, None, 105.0
-4.0, 93.0, 1.0, 1.0, -6.0, None, -4.0, 1991-01-08 15:00:00, 0.0, None, 105.0
-2.5, 96.0, 7.0, 4.0, -4.5, None, -2.5, 1991-01-09 08:15:00, 5.0, None, 107.0
-3.0, 96.0, 16.0, 12.0, -3.5, None, -2.5, 1991-01-09 15:00:00, 5.0, None, 117.0
-2.0, 97.0, 1.0, 1.0, -3.0, None, -1.5, 1991-01-10 08:15:00, 0.0, None, 115.0
-0.5, 97.0, 1.0, 0.0, -2.0, None, -0.5, 1991-01-10 15:00:00, 1.0, None, 115.0
