station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-8.5, 92.0, 0.0, 0.0, -9.0, None, -6.5, 1971-11-05 16:00:00, None, 0.0
-5.0, 96.0, None, None, -8.0, None, 3.0, 1978-11-01 08:00:00, None, None
-10.0, 63.0, None, None, -10.0, None, -3.0, 1978-11-02 08:00:00, 10.0, None
-17.0, 93.0, None, None, -18.0, None, -5.0, 1978-11-03 09:00:00, None, None
-13.0, 96.0, None, None, -15.0, None, -8.0, 1978-11-04 08:00:00, None, 4.0
-5.0, 90.0, None, 0.0, -9.0, None, -4.0, 1978-11-05 08:00:00, None, 6.0
-13.0, 95.0, None, 21.0, -15.0, None, -2.0, 1978-11-06 08:00:00, None, 23.0
-7.0, 90.0, None, 0.0, -11.0, None, -7.0, 1978-11-07 08:00:00, None, 10.0
-7.0, 98.0, None, 0.0, -7.0, None, -6.0, 1978-11-08 08:00:00, None, 10.0
-19.0, 79.0, None, 0.0, -19.0, None, -7.0, 1978-11-09 09:00:00, None, 10.0
-22.0, 68.0, None, 0.0, -22.0, None, -12.0, 1978-11-10 07:00:00, None, 10.0
-29.0, 84.0, None, 0.0, -29.0, None, -19.0, 1978-11-11 09:00:00, None, 10.0
-21.0, 87.0, None, 0.0, -29.0, None, -12.0, 1978-11-12 07:00:00, None, 10.0
-20.0, 92.0, None, 0.0, -22.0, None, -12.0, 1978-11-13 07:00:00, None, 13.0
-7.0, None, None, 0.0, -12.0, None, -5.0, 1978-11-14 07:00:00, None, 13.0
-6.0, None, None, 8.0, -7.0, None, -5.0, 1978-11-15 07:00:00, None, 20.0
-18.0, None, None, 10.0, -18.0, None, -6.0, 1978-11-16 07:00:00, None, 30.0
-22.0, None, None, 2.0, -23.0, None, -17.0, 1978-11-17 08:00:00, None, 28.0
-27.0, None, None, 0.0, -28.0, None, -18.0, 1978-11-18 07:00:00, None, 28.0
-20.0, None, None, 0.0, -28.0, None, -11.0, 1978-11-19 08:00:00, None, 28.0
None, None, None, 0.0, None, None, None, 1978-11-20 07:00:00, None, 28.0
-23.0, 88.0, None, 0.0, -23.0, None, -13.0, 1978-11-21 07:00:00, None, 28.0
-16.0, 93.0, None, 0.0, -24.0, None, -13.0, 1978-11-22 07:00:00, None, 28.0
-7.0, 99.0, None, 4.0, -17.0, None, -7.0, 1978-11-23 07:00:00, None, 31.0
-3.0, 100.0, None, 5.0, -9.0, None, -3.0, 1978-11-24 07:00:00, None, 32.0
-1.0, 100.0, None, 26.0, -1.0, None, -1.0, 1978-11-25 07:00:00, None, 54.0
-7.0, 95.0, None, 4.0, -7.0, None, 0.0, 1978-11-26 07:00:00, None, 56.0
0.0, 99.0, None, 6.0, -8.0, None, 0.0, 1978-11-27 07:00:00, None, 58.0
-1.0, 96.0, None, 13.0, -1.0, None, -1.0, 1978-11-28 07:00:00, None, 62.0
-6.0, 98.0, None, 0.0, -6.0, None, -1.0, 1978-11-29 07:00:00, None, 60.0
-6.0, 97.0, None, 2.0, -6.0, None, -4.0, 1978-11-30 09:00:00, None, 60.0
-14.0, 92.0, None, 0.0, -14.0, None, -4.0, 1978-12-01 07:00:00, None, 58.0
-5.0, 95.0, None, 1.0, -10.0, None, -5.0, 1978-12-02 07:00:00, None, 58.0
-1.0, 98.0, None, 11.0, -5.0, None, -1.0, 1978-12-03 07:00:00, 23.0, 63.0
-5.0, 75.0, None, 0.0, -5.0, None, -1.0, 1978-12-04 07:00:00, 0.0, 60.0
-19.0, 94.0, None, 0.0, -19.0, None, -3.0, 1978-12-05 07:00:00, 0.0, 58.0
-19.0, 94.0, None, 0.0, -19.0, None, -11.0, 1978-12-06 07:00:00, 0.0, 57.0
-12.0, 94.0, None, 1.0, -19.0, None, -12.0, 1978-12-07 07:00:00, 0.0, 58.0
-8.0, 98.0, None, 16.0, -12.0, None, -8.0, 1978-12-08 07:00:00, 10.0, 74.0
-6.0, 99.0, None, 12.0, -8.0, None, -6.0, 1978-12-09 07:00:00, 15.0, 78.0
-6.0, 94.0, None, 0.0, -6.0, None, -4.0, 1978-12-10 07:00:00, 2.0, 75.0
-6.0, 90.0, None, 5.0, -9.0, None, -6.0, 1978-12-11 07:00:00, 3.0, 76.0
-14.0, 95.0, None, 0.0, -14.0, None, -6.0, 1978-12-12 07:00:00, 2.0, 74.0
-5.0, 72.0, None, 0.0, -14.0, None, -5.0, 1978-12-13 07:00:00, 0.0, 70.0
-2.0, 89.0, None, 6.0, -2.0, None, -2.0, 1978-12-14 07:00:00, 5.0, 74.0
-6.0, 88.0, None, 6.0, -6.0, None, -2.0, 1978-12-15 07:00:00, 3.0, 78.0
-6.0, 96.0, None, 6.0, -6.0, None, -2.0, 1978-12-16 07:00:00, 5.0, 78.0
-17.0, 71.0, None, 2.0, -18.0, None, -3.0, 1978-12-17 07:00:00, 2.0, 84.0
-27.0, 81.0, None, 4.0, -27.0, None, -18.0, 1978-12-18 07:00:00, 0.0, 88.0
-10.0, 94.0, None, 11.0, -27.0, None, -10.0, 1978-12-19 07:00:00, 3.0, 87.0
-4.0, 99.0, None, 20.0, -11.0, None, -4.0, 1978-12-20 07:00:00, 20.0, 94.0
-11.0, 96.0, None, 11.0, -12.0, None, -3.0, 1978-12-21 07:00:00, 10.0, 98.0
-12.0, 90.0, None, 24.0, -12.0, None, -6.0, 1978-12-22 07:00:00, 15.0, 16.0
-7.0, 97.0, None, 19.0, -16.0, None, -6.0, 1978-12-23 07:00:00, 7.0, 125.0
-5.0, 94.0, None, 8.0, -7.0, None, -2.0, 1978-12-24 07:00:00, 10.0, 119.0
-11.0, 89.0, None, 0.0, -17.0, None, -6.0, 1978-12-25 12:00:00, 0.0, 115.0
-9.0, 97.0, None, 10.0, -18.0, None, -9.0, 1978-12-26 12:00:00, 3.0, 116.0
-23.0, 90.0, None, 0.0, -23.0, None, -9.0, 1978-12-27 07:00:00, 2.0, 113.0
-28.0, 88.0, None, 0.0, -28.0, None, -20.0, 1978-12-28 07:00:00, 0.0, 108.0
-32.0, 85.0, None, 0.0, -32.0, None, -22.0, 1978-12-29 08:00:00, None, 106.0
-29.0, 85.0, None, 0.0, -36.0, None, -26.0, 1978-12-30 13:00:00, None, 103.0
-33.0, 85.0, None, 0.0, -41.0, None, -27.0, 1978-12-31 13:00:00, None, 102.0
-28.0, None, None, 2.0, -38.0, None, -26.0, 1979-01-01 13:00:00, None, 102.0
-28.0, 89.0, None, 3.0, -31.0, None, -26.0, 1979-01-02 09:00:00, None, 103.0
-24.0, 90.0, None, 0.0, -30.0, None, -22.0, 1979-01-03 08:00:00, None, 100.0
-28.0, 90.0, None, 0.0, -30.0, None, -19.0, 1979-01-04 07:00:00, None, 99.0
-30.0, 89.0, None, 0.0, -31.0, None, -25.0, 1979-01-05 07:00:00, None, 98.0
-30.0, 89.0, None, 0.0, -32.0, None, -25.0, 1979-01-06 07:00:00, None, 98.0
-31.0, 89.0, None, 0.0, -32.0, None, -25.0, 1979-01-07 07:00:00, None, 98.0
-25.0, None, None, None, -31.0, None, -22.0, 1979-01-08 07:00:00, None, 96.0
-13.0, 80.0, None, None, -25.0, None, -8.0, 1979-01-09 07:00:00, None, 95.0
-23.0, 90.0, None, None, -24.0, None, -11.0, 1979-01-10 07:00:00, None, 93.0
-20.0, 81.0, None, None, -23.0, None, -17.0, 1979-01-11 07:00:00, None, 93.0
-22.0, 64.0, None, None, -22.0, None, -16.0, 1979-01-12 07:00:00, None, 90.0
-32.0, 81.0, None, None, -33.0, None, -20.0, 1979-01-13 08:00:00, None, 90.0
-36.0, 84.0, None, None, -36.0, None, -22.0, 1979-01-14 08:00:00, None, 90.0
-36.0, 82.0, None, None, -37.0, None, -27.0, 1979-01-15 09:00:00, None, 90.0
-17.0, 81.0, None, 6.0, -36.0, None, -17.0, 1979-01-16 07:00:00, None, 96.0
-5.0, 100.0, None, 9.0, -17.0, None, -5.0, 1979-01-17 07:00:00, None, 104.0
-8.0, 102.0, None, 6.0, -8.0, None, -5.0, 1979-01-18 07:00:00, None, 106.0
-7.0, 100.0, None, 23.0, -8.0, None, -5.0, 1979-01-19 07:00:00, None, 125.0
-9.0, 100.0, None, 0.0, -10.0, None, -4.0, 1979-01-20 08:00:00, None, 120.0
-8.0, 100.0, None, 10.0, -8.0, None, -5.0, 1979-01-21 07:00:00, None, 126.0
-8.0, 99.0, None, 11.0, -19.0, None, -7.0, 1979-01-22 08:00:00, None, 131.0
-4.0, 98.0, None, 35.0, -8.0, None, -3.0, 1979-01-23 07:00:00, None, 157.0
-9.0, 95.0, None, 3.0, -10.0, None, -1.0, 1979-01-24 07:00:00, None, 151.0
-14.0, 95.0, None, 0.0, -14.0, None, -5.0, 1979-01-25 07:00:00, None, 146.0
-7.0, 94.0, None, 2.0, -14.0, None, -6.0, 1979-01-26 07:00:00, None, 143.0
-10.0, 97.0, None, 7.0, -10.0, None, -7.0, 1979-01-27 08:00:00, None, 146.0
-12.0, 96.0, None, 0.0, -13.0, None, -6.0, 1979-01-28 09:00:00, None, 146.0
-12.0, 97.0, None, 3.0, -12.0, None, -9.0, 1979-01-29 07:00:00, None, 143.0
-12.0, 95.0, None, 4.0, -14.0, None, -5.0, 1979-01-30 07:00:00, None, 143.0
-29.0, 86.0, None, 0.0, -30.0, None, -12.0, 1979-01-31 07:00:00, None, 140.0
-20.0, 96.0, None, 0.0, -30.0, None, -14.0, 1979-02-01 07:00:00, None, 136.0
-14.0, 95.0, None, 6.0, -20.0, None, -14.0, 1979-02-02 07:00:00, None, 142.0
-20.0, 90.0, None, 9.0, -20.0, None, -10.0, 1979-02-03 08:00:00, None, 142.0
-23.0, 89.0, None, 10.0, -23.0, None, -9.0, 1979-02-04 07:00:00, None, 146.0
-28.0, 89.0, None, 65.0, -28.0, None, -22.0, 1979-02-05 07:00:00, None, 182.0
-24.0, 95.0, None, 16.0, -26.0, None, -24.0, 1979-02-06 07:00:00, None, 180.0
-28.0, None, None, 38.0, -28.0, None, -22.0, 1979-02-07 07:00:00, None, 190.0
-30.0, 91.0, None, 10.0, -30.0, None, -25.0, 1979-02-08 07:00:00, None, 200.0
-30.0, 92.0, None, 14.0, -30.0, None, -28.0, 1979-02-09 08:00:00, None, 210.0
-28.0, 91.0, None, 5.0, -28.0, None, -24.0, 1979-02-10 08:00:00, None, 210.0
-30.0, 90.0, None, 6.0, -30.0, None, -27.0, 1979-02-11 06:00:00, None, 200.0
-27.0, 87.0, None, 10.0, -27.0, None, -26.0, 1979-02-12 08:00:00, None, 190.0
-31.0, 87.0, None, 30.0, -31.0, None, -28.0, 1979-02-13 12:00:00, None, 210.0
-29.0, None, None, 10.0, -30.0, None, -29.0, 1979-02-14 07:00:00, None, 200.0
-26.0, None, None, 0.0, -27.0, None, -26.0, 1979-02-15 09:00:00, None, 200.0
-21.0, None, None, 5.0, -25.0, None, -21.0, 1979-02-16 07:00:00, None, 200.0
-23.0, 93.0, None, 6.0, -24.0, None, -20.0, 1979-02-17 08:00:00, None, 200.0
-23.0, 98.0, None, 18.0, -24.0, None, -21.0, 1979-02-18 08:00:00, None, 210.0
-18.0, 99.0, None, 0.0, -24.0, None, -5.0, 1979-02-19 07:00:00, None, 210.0
-13.0, 94.0, None, 5.0, -19.0, None, -13.0, 1979-02-20 07:00:00, None, 212.0
-19.0, 81.0, None, 6.0, -19.0, None, -10.0, 1979-02-21 08:00:00, None, 210.0
-22.0, 71.0, None, 8.0, -23.0, None, -19.0, 1979-02-22 08:00:00, None, 210.0
-19.0, 71.0, None, 0.0, -24.0, None, -18.0, 1979-02-23 07:00:00, None, 210.0
-19.0, 80.0, None, 5.0, -24.0, None, -19.0, 1979-02-24 09:00:00, None, 215.0
-17.0, 93.0, None, 15.0, -20.0, None, -16.0, 1979-02-25 06:00:00, None, 224.0
-18.0, None, None, 25.0, -24.0, None, -16.0, 1979-02-26 07:00:00, None, 240.0
-18.0, None, None, 10.0, -19.0, None, -14.0, 1979-02-27 08:00:00, None, 230.0
-25.0, None, None, 3.0, -28.0, None, -15.0, 1979-02-28 07:00:00, None, 230.0
-17.0, None, None, 2.0, -21.0, None, -13.0, 1979-03-01 08:00:00, None, 228.0
-14.0, None, None, 10.0, -17.0, None, -9.0, 1979-03-02 07:00:00, None, 235.0
-1.0, None, None, 38.0, -14.0, None, -1.0, 1979-03-03 08:00:00, None, 252.0
0.0, None, None, 11.0, -2.0, None, 0.0, 1979-03-04 07:00:00, None, 247.0
5.0, None, None, 0.0, -2.0, None, 5.0, 1979-03-05 06:00:00, None, 230.0
-2.0, None, None, 0.0, -2.0, None, -2.0, 1979-03-06 07:00:00, None, 227.0
2.0, None, None, 0.0, -1.0, None, 8.0, 1979-03-07 07:00:00, None, 200.0
-8.0, None, None, 0.0, -9.0, None, 3.0, 1979-03-08 07:00:00, None, 200.0
-3.0, None, None, 0.0, -4.0, None, 3.0, 1979-03-09 07:00:00, None, 200.0
-3.0, None, None, 0.0, -3.0, None, 4.0, 1979-11-01 07:00:00, None, 0.0
