station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
3.0, None, None, None, 8.0, 1976-11-03 07:00:00, None, 0.0
5.0, None, None, 3.0, 7.0, 1976-11-04 07:00:00, None, 0.0
3.0, None, None, 2.0, None, 1976-11-05 07:00:00, None, 0.0
4.0, None, None, 2.0, 5.0, 1976-11-08 07:00:00, None, 0.0
0.0, None, None, 0.0, 8.0, 1976-11-09 07:00:00, None, 0.0
3.0, None, None, 1.0, None, 1976-11-10 07:00:00, None, 0.0
-2.0, None, None, -3.0, None, 1976-11-12 07:00:00, None, 0.0
-10.0, None, None, -10.0, None, 1976-11-14 07:00:00, None, 0.0
0.0, None, None, -2.0, None, 1976-11-15 07:00:00, None, 0.0
None, None, None, 1.0, 7.0, 1976-11-16 01:00:00, None, 0.0
3.0, None, None, 3.0, None, 1976-11-16 07:00:00, None, 0.0
3.0, None, None, 3.0, 5.0, 1976-11-17 01:00:00, None, 0.0
3.0, None, None, 3.0, None, 1976-11-17 07:00:00, None, 0.0
None, None, None, 1.0, 6.0, 1976-11-18 01:00:00, None, 0.0
-5.0, None, None, -5.0, 6.0, 1976-11-18 07:00:00, None, 0.0
-7.0, None, None, -7.0, 4.0, 1976-11-19 01:00:00, None, 0.0
-8.0, None, None, -8.0, -7.0, 1976-11-19 07:00:00, None, 0.0
None, None, None, -8.0, 1.0, 1976-11-20 01:00:00, None, 0.0
0.0, None, None, None, None, 1976-11-21 07:00:00, None, 0.0
None, None, None, -4.0, -1.0, 1976-11-22 01:00:00, None, 0.0
-7.0, None, None, -7.0, None, 1976-11-22 07:00:00, None, 0.0
-1.0, None, None, -4.0, 0.0, 1976-11-23 01:00:00, None, 0.0
-1.0, None, None, -4.0, -1.0, 1976-11-23 07:00:00, None, 0.0
-2.0, None, 7.0, -11.0, 0.0, 1976-11-24 01:00:00, None, 7.0
0.0, None, None, -2.0, None, 1976-11-24 07:00:00, None, None
1.0, None, None, -2.0, 2.0, 1976-11-25 07:00:00, None, None
-11.0, None, None, -11.0, 2.0, 1976-11-26 01:00:00, None, None
-10.0, None, 7.0, -11.0, -1.0, 1976-11-26 07:00:00, None, None
-8.0, None, None, -15.0, -8.0, 1976-11-27 01:00:00, None, None
-4.0, None, None, None, -4.0, 1976-11-27 07:00:00, None, None
-6.0, None, None, -8.0, None, 1976-11-28 07:00:00, None, None
-4.0, None, None, -6.0, -1.0, 1976-11-29 01:00:00, None, 7.0
-2.0, None, None, -6.0, None, 1976-11-29 07:00:00, None, 7.0
-10.0, None, None, None, -2.0, 1976-11-30 01:00:00, None, 7.0
-4.0, None, None, -7.0, None, 1976-11-30 07:00:00, None, 7.0
-6.0, None, None, None, -3.0, 1976-12-01 01:00:00, None, 7.0
-2.0, None, None, -6.0, 0.0, 1976-12-01 07:00:00, None, 6.0
-4.0, None, None, None, -2.0, 1976-12-02 01:00:00, None, 6.0
-2.0, None, None, -4.0, -1.0, 1976-12-02 07:00:00, None, 6.0
-11.0, None, None, None, -2.0, 1976-12-03 01:00:00, None, 6.0
-4.0, None, None, -11.0, -1.0, 1976-12-03 07:00:00, None, 5.0
-6.0, None, None, -7.0, None, 1976-12-04 01:00:00, None, 5.0
-8.0, None, None, -10.0, None, 1976-12-04 07:00:00, None, 5.0
-13.0, None, None, -18.0, -6.0, 1976-12-05 01:00:00, None, 5.0
-18.0, None, None, -18.0, -2.0, 1976-12-05 07:00:00, None, 5.0
-6.0, None, None, None, -6.0, 1976-12-06 01:00:00, None, 5.0
-3.0, None, None, None, None, 1976-12-06 07:00:00, None, 5.0
-5.0, None, None, None, None, 1976-12-07 01:00:00, None, 5.0
-3.0, None, 2.0, None, None, 1976-12-07 07:00:00, None, 6.0
-2.0, None, None, None, None, 1976-12-08 01:00:00, None, 6.0
0.0, None, None, None, None, 1976-12-08 07:00:00, None, 6.0
-2.0, None, None, None, None, 1976-12-09 01:00:00, None, 6.0
-3.0, None, None, None, None, 1976-12-09 07:00:00, None, 6.0
-4.0, None, None, None, None, 1976-12-10 01:00:00, None, 6.0
-2.0, None, None, None, None, 1976-12-10 07:00:00, None, 5.0
-5.0, None, None, -8.0, -2.0, 1976-12-11 01:00:00, None, 5.0
-2.0, None, None, -12.0, 4.0, 1976-12-11 07:00:00, None, 5.0
-6.0, None, None, -9.0, -2.0, 1976-12-12 01:00:00, None, 5.0
-10.0, None, None, -10.0, 2.0, 1976-12-12 07:00:00, None, 4.0
-1.0, None, None, None, 2.0, 1976-12-13 07:00:00, None, 4.0
-4.0, None, None, None, -1.0, 1976-12-14 01:00:00, None, 4.0
0.0, None, None, None, None, 1976-12-14 07:00:00, None, None
-2.0, None, None, None, 0.0, 1976-12-15 01:00:00, None, None
1.0, None, None, None, None, 1976-12-15 07:00:00, None, None
0.0, None, None, None, 1.0, 1976-12-16 01:00:00, None, 0.0
3.0, None, None, None, None, 1976-12-16 07:00:00, None, 0.0
-3.0, None, None, None, None, 1976-12-17 01:00:00, None, 0.0
-1.0, None, None, None, 4.0, 1976-12-17 07:00:00, None, 0.0
-3.0, None, None, None, None, 1976-12-18 01:00:00, None, 0.0
-7.0, None, None, -12.0, 2.0, 1976-12-18 07:00:00, None, 0.0
-9.0, None, None, None, None, 1976-12-19 01:00:00, None, 0.0
0.0, None, None, -12.0, 0.0, 1976-12-19 07:00:00, None, 0.0
-11.0, None, None, None, None, 1976-12-20 01:00:00, None, 0.0
-5.0, None, None, -11.0, 2.0, 1976-12-20 07:00:00, None, 0.0
-11.0, None, None, -11.0, -5.0, 1976-12-21 01:00:00, None, 0.0
-7.0, None, None, -11.0, None, 1976-12-21 07:00:00, None, 0.0
-6.0, None, None, None, None, 1976-12-22 01:00:00, None, 0.0
-7.0, None, None, -7.0, None, 1976-12-22 07:00:00, None, 0.0
-5.0, None, 4.0, None, None, 1976-12-23 01:00:00, None, 4.0
None, None, None, -5.0, 1.0, 1976-12-23 07:00:00, None, 4.0
-7.0, None, 5.0, None, None, 1976-12-24 01:00:00, None, None
-5.0, None, None, -7.0, None, 1976-12-24 07:00:00, None, None
-6.0, None, None, None, None, 1976-12-25 01:00:00, None, None
-2.0, None, 12.0, -7.0, -2.0, 1976-12-25 15:00:00, None, None
-5.0, None, None, -13.0, 0.0, 1976-12-26 01:00:00, None, None
0.0, None, 4.0, -5.0, None, 1976-12-26 07:00:00, None, None
-5.0, None, None, -6.0, 0.0, 1976-12-27 01:00:00, None, None
-7.0, None, None, None, None, 1976-12-28 07:00:00, None, None
-10.0, None, None, None, None, 1976-12-29 01:00:00, None, 0.0
-5.0, None, None, -5.0, None, 1976-12-29 07:00:00, None, 0.0
