station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
0.0, None, None, None, None, None, None, 1977-01-20 16:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-21 08:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-21 21:00:00, None, None, None, None
-8.0, None, None, None, None, None, None, 1977-01-22 08:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-01-22 16:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-01-23 08:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-23 16:00:00, None, None, None, None
-6.0, None, None, None, None, None, None, 1977-01-24 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-01-24 16:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-01-25 08:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-01-25 16:00:00, None, None, None, None
-5.0, None, None, None, None, None, None, 1977-01-26 08:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-01-26 16:00:00, None, None, None, None
-5.0, None, None, None, None, None, None, 1977-01-27 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-01-27 16:00:00, None, None, None, None
-5.0, None, None, None, None, None, None, 1977-01-28 08:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-01-28 16:00:00, None, None, None, None
-12.0, None, None, None, None, None, None, 1977-01-29 08:00:00, None, None, None, None
-14.0, None, None, None, None, None, None, 1977-01-29 16:00:00, None, None, None, None
-12.0, None, None, None, None, None, None, 1977-01-30 08:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-01-30 16:00:00, None, None, None, None
-7.0, None, None, None, None, None, None, 1977-01-31 08:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-01-31 16:00:00, None, None, None, None
-4.0, None, None, None, None, None, None, 1977-02-01 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-02-01 16:00:00, None, None, None, None
-5.0, None, None, None, None, None, None, 1977-02-02 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-02-02 16:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-02-03 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-02-03 16:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-02-04 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-02-04 16:00:00, None, None, None, None
-6.0, None, None, None, None, None, None, 1977-02-05 08:00:00, None, None, None, None
4.0, None, None, None, None, None, None, 1977-02-05 16:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-02-06 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-02-06 16:00:00, None, None, None, None
