station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
-2.5, 0.0, 0.0, -7.0, -1.5, 1988-01-02 16:00:00, 8.0
0.0, 0.0, 0.0, -5.0, 1.0, 1988-11-01 07:00:00, 0.0
1.0, 0.0, 0.0, 0.0, 2.0, 1988-11-01 16:00:00, 0.0
-5.5, 0.0, 0.0, -6.0, 2.0, 1988-11-02 07:00:00, 0.0
-5.0, 0.1, 0.1, -6.5, -5.0, 1988-11-02 16:00:00, 0.1
-6.5, 5.0, 5.0, -7.0, -4.5, 1988-11-03 07:00:00, 5.0
-2.0, 5.0, 0.0, -6.5, -1.0, 1988-11-03 16:00:00, 5.0
-7.0, 0.0, 0.0, -8.0, None, 1988-11-04 05:30:00, 5.0
8.5, 0.0, 0.0, 1.0, 8.5, 1988-11-04 16:00:00, 2.0
-3.0, 0.0, 0.0, -8.0, -2.0, 1988-11-05 05:30:00, 2.0
1.0, 0.0, 0.0, -3.0, 8.0, 1988-11-05 16:00:00, 2.0
-3.5, 6.0, 6.0, -4.0, 1.0, 1988-11-06 05:30:00, 7.0
-2.0, 0.0, 0.0, -4.0, 1.0, 1988-11-06 16:00:00, 7.0
-8.0, 7.0, 0.0, -8.5, -1.0, 1988-11-07 06:00:00, 7.0
1.0, 0.0, 0.0, -11.0, 3.0, 1988-11-07 16:00:00, 5.0
-5.0, 0.0, 0.0, -5.0, 0.5, 1988-11-08 07:00:00, 5.0
-2.0, 0.0, 0.0, -6.0, -2.0, 1988-11-08 16:00:00, 5.0
-6.0, 0.0, 0.0, -7.5, -1.0, 1988-11-09 07:00:00, 5.0
0.0, 0.0, 0.0, -7.0, 2.0, 1988-11-09 16:00:00, 5.0
-5.0, 0.0, 0.0, -6.0, 1.0, 1988-11-10 07:00:00, 4.0
-7.0, 0.0, 0.0, -7.0, -5.0, 1988-11-10 16:00:00, 4.0
-8.0, None, None, -9.0, -8.0, 1988-11-11 07:00:00, None
-3.0, None, None, -8.0, -2.0, 1988-11-11 16:00:00, None
-4.0, 7.0, 7.0, -7.5, -1.0, 1988-11-12 05:30:00, 8.0
-8.0, 3.0, 3.0, -8.0, 3.0, 1988-11-12 16:00:00, 10.0
-9.0, 3.0, 3.0, -10.0, -2.0, 1988-11-13 05:30:00, 12.0
-9.0, 3.0, 3.0, -10.0, -8.0, 1988-11-13 16:00:00, 13.0
-10.0, 0.0, 0.0, -10.0, -8.0, 1988-11-14 05:30:00, 13.0
-4.0, 0.0, 0.0, -12.0, -2.0, 1988-11-14 16:00:00, 13.0
-6.0, 0.0, 0.0, -8.0, -5.0, 1988-11-15 05:30:00, 13.0
0.0, 0.0, 0.0, -7.0, 0.0, 1988-11-15 16:00:00, 12.0
-6.0, 0.0, 0.0, -6.5, 0.0, 1988-11-16 05:30:00, 12.0
-3.5, 0.0, 0.0, -9.0, -2.0, 1988-11-16 15:30:00, 11.0
-14.0, 3.0, 3.0, -14.0, -2.0, 1988-11-17 05:30:00, 14.0
-11.0, 3.0, 0.0, -17.0, -8.0, 1988-11-17 16:00:00, 14.0
-16.0, 0.0, 0.0, -17.0, -11.0, 1988-11-18 06:00:00, 14.0
-12.0, 0.0, 0.0, -17.0, -12.0, 1988-11-18 15:30:00, 12.0
-11.5, 0.0, 0.0, -14.0, -11.0, 1988-11-19 06:00:00, 14.0
-4.0, 0.0, 0.0, -14.0, -4.0, 1988-11-19 15:30:00, 11.0
-10.0, 0.0, 0.0, -14.0, -4.0, 1988-11-20 05:30:00, 11.0
0.0, 0.0, 0.0, -18.0, 1.0, 1988-11-20 15:30:00, 11.0
-6.0, 0.0, 0.0, -7.0, -6.0, 1988-11-21 05:30:00, 10.0
4.5, 0.0, 0.0, -7.0, 5.0, 1988-11-21 17:00:00, 10.0
-8.0, 0.0, 0.0, -12.0, 2.0, 1988-11-22 05:30:00, 8.0
-3.0, 0.0, 0.0, -9.0, -3.0, 1988-11-22 15:30:00, 8.0
-8.0, 0.0, 0.0, -9.0, -2.0, 1988-11-23 05:30:00, 8.0
2.0, 0.0, 0.0, -9.0, 3.0, 1988-11-23 15:30:00, 8.0
-17.0, 0.0, 0.0, -17.0, 2.0, 1988-11-24 05:30:00, 8.0
-14.0, 0.0, 0.0, -18.0, -14.0, 1988-11-24 15:30:00, 8.0
-17.5, 0.0, 0.0, -22.5, -13.5, 1988-11-25 06:00:00, 8.0
-15.0, 0.0, 0.0, -18.0, -15.0, 1988-11-25 15:30:00, 8.0
-17.5, 0.0, 0.0, -17.5, -15.5, 1988-11-26 05:30:00, 8.0
-17.0, 0.0, 0.0, -22.0, -17.0, 1988-11-26 16:00:00, 8.0
-17.0, 2.0, 2.0, -22.0, -16.0, 1988-11-27 05:30:00, 10.0
-11.0, 0.0, 0.0, -18.0, -11.0, 1988-11-27 15:30:00, 10.0
2.0, 0.0, 0.0, -13.0, 2.0, 1988-11-28 05:30:00, 10.0
-9.0, 0.0, 0.0, -12.0, 3.0, 1988-11-28 14:00:00, 9.0
1.0, 0.0, 0.0, -9.0, 1.0, 1988-11-29 05:30:00, 9.0
5.0, 0.0, 0.0, -2.0, 6.0, 1988-11-29 16:00:00, 8.0
6.0, 0.0, 0.0, 4.0, 8.0, 1988-11-30 05:30:00, 2.0
10.5, 0.0, 0.0, 5.0, 10.5, 1988-11-30 16:00:00, 2.0
4.0, 0.0, 0.0, 2.0, 10.0, 1988-12-01 05:30:00, 0.0
1.0, 0.0, 0.0, 1.0, 10.0, 1988-12-01 16:00:00, 0.0
-1.0, 5.0, 5.0, -1.0, 1.0, 1988-12-02 05:30:00, 5.0
-1.5, 5.0, 0.0, -3.0, 1.0, 1988-12-02 16:00:00, 5.0
-6.0, 0.0, 0.0, -8.0, -1.0, 1988-12-03 05:30:00, 4.0
-6.0, 0.0, 0.0, -9.5, -1.0, 1988-12-03 16:00:00, 5.0
3.0, 0.0, 0.0, -9.0, 4.0, 1988-12-04 05:30:00, 4.0
5.0, 0.0, 0.0, 3.0, 6.5, 1988-12-04 16:00:00, 4.0
2.0, 0.0, 0.0, 1.0, 6.0, 1988-12-05 05:30:00, 0.0
0.0, 0.0, 0.0, -1.0, 4.0, 1988-12-05 16:30:00, 0.0
-7.5, 0.0, 0.0, -10.0, 2.0, 1988-12-06 07:30:00, 0.0
-6.0, 0.0, 0.0, -9.5, -4.0, 1988-12-06 16:00:00, 0.0
-15.0, 0.0, 0.0, -18.0, -6.0, 1988-12-07 05:30:00, 0.0
-10.0, 0.0, 0.0, -15.0, -9.0, 1988-12-07 16:00:00, 0.0
