station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
1.0, 63.0, None, None, None, None, None, 1979-12-04 11:15:00, None, 21.0
0.5, 78.0, None, None, 0.5, None, 1.0, 1979-12-04 16:00:00, None, None
-0.5, 87.0, None, None, -1.5, None, 0.5, 1979-12-05 07:00:00, None, None
1.0, 77.0, None, None, -0.5, None, 1.0, 1979-12-05 16:00:00, None, None
2.5, 80.0, None, None, -0.5, None, 3.0, 1979-12-06 07:00:00, None, None
3.0, 75.0, None, None, -0.5, None, 3.0, 1979-12-06 12:20:00, None, 18.0
2.5, 78.0, None, None, 1.0, None, 3.0, 1979-12-06 16:00:00, None, None
0.0, 88.0, None, None, 0.0, None, 3.0, 1979-12-07 07:00:00, None, None
0.0, 77.0, None, None, -2.5, None, 0.0, 1979-12-07 16:00:00, None, None
0.5, 85.0, None, None, 0.0, None, 2.0, 1979-12-08 07:00:00, None, None
3.0, 86.0, None, None, 0.0, None, 3.0, 1979-12-08 16:00:00, None, None
3.0, 82.0, None, None, 2.5, None, 3.5, 1979-12-09 07:00:00, None, None
3.0, 87.0, None, None, 2.0, None, 4.0, 1979-12-09 16:00:00, None, None
-0.5, 70.0, None, None, -0.5, None, 3.0, 1979-12-10 07:00:00, None, None
-8.0, 80.0, None, None, -8.0, 3.0, 4.0, 1979-12-10 09:45:00, None, 11.0
-8.0, 82.0, None, None, -8.0, None, -0.5, 1979-12-10 16:00:00, None, None
-7.0, 82.0, None, None, -12.5, None, -7.0, 1979-12-11 07:00:00, None, None
-4.0, 86.0, None, None, -7.0, None, -4.0, 1979-12-11 16:00:00, None, None
-5.0, 68.0, None, None, -5.0, None, -2.0, 1979-12-12 07:00:00, None, None
-6.5, 68.0, None, None, -7.5, None, -5.0, 1979-12-12 16:00:00, None, None
-6.0, 78.0, None, None, -6.5, None, -4.0, 1979-12-13 07:00:00, None, None
-2.0, 89.0, None, None, -13.0, 4.0, -2.0, 1979-12-13 10:10:00, None, 15.0
-2.0, 86.0, None, None, -6.0, None, -2.0, 1979-12-13 16:00:00, None, None
1.5, 90.0, None, None, -2.0, None, 2.0, 1979-12-14 07:00:00, None, None
0.5, 90.0, None, None, 0.5, None, 1.5, 1979-12-14 16:00:00, None, None
-11.5, 59.0, None, None, -11.5, None, 0.5, 1979-12-15 07:00:00, None, None
-14.0, 72.0, None, None, -14.0, None, -11.0, 1979-12-15 16:00:00, None, None
-20.0, 75.0, None, None, -20.0, None, -14.0, 1979-12-16 07:00:00, None, None
-16.0, 77.0, None, None, -21.0, None, -16.0, 1979-12-16 16:00:00, None, None
-8.5, 90.0, None, None, -16.0, None, -8.5, 1979-12-17 07:00:00, None, None
2.0, 87.0, None, None, -21.0, 1.0, 2.0, 1979-12-17 11:10:00, None, 16.0
0.0, 89.0, None, None, -8.5, None, 2.0, 1979-12-17 16:00:00, None, None
4.0, 87.0, None, None, 0.5, None, 4.0, 1979-12-18 07:00:00, None, None
2.5, 87.0, None, None, 1.0, None, 4.0, 1979-12-18 16:00:00, None, None
2.0, 82.0, None, None, 1.0, None, 3.0, 1979-12-19 07:00:00, None, None
1.0, 90.0, None, None, 1.0, None, 3.0, 1979-12-19 16:00:00, None, None
0.5, 82.0, None, None, 0.5, None, 2.0, 1979-12-20 07:00:00, None, None
2.0, 85.0, None, None, 0.5, None, 3.0, 1979-12-20 16:00:00, None, None
-0.5, 87.0, None, None, -0.5, None, 2.0, 1979-12-21 07:00:00, None, None
0.0, 82.0, None, None, -1.0, 2.0, 3.5, 1979-12-21 10:00:00, None, 12.0
0.5, 84.0, None, None, -0.5, None, 1.0, 1979-12-21 16:00:00, None, None
-5.0, 78.0, None, None, -5.0, None, 0.5, 1979-12-22 07:00:00, None, None
-4.5, 74.0, None, None, -9.0, None, -4.5, 1979-12-22 16:00:00, None, None
-11.0, 88.0, None, None, -11.0, None, -2.0, 1979-12-23 07:00:00, None, None
-11.5, 85.0, None, None, -13.0, None, -11.0, 1979-12-23 16:00:00, None, None
-3.5, 92.0, None, None, -11.5, None, -2.0, 1979-12-24 07:00:00, None, None
-3.5, 92.0, None, None, -4.0, None, -3.0, 1979-12-24 16:00:00, None, None
0.0, 75.0, None, None, -0.5, None, 1.0, 1979-12-25 16:00:00, None, None
0.5, 78.0, None, None, -0.5, None, 0.5, 1979-12-26 07:00:00, None, None
1.0, 82.0, None, None, 0.0, None, 2.0, 1979-12-26 16:00:00, None, None
-4.0, 78.0, None, None, -4.0, None, 1.0, 1979-12-27 07:00:00, None, None
-1.5, 85.0, None, None, -4.5, None, 0.0, 1979-12-27 16:00:00, None, None
-7.5, 88.0, None, None, -8.0, None, -1.5, 1979-12-28 07:00:00, None, None
3.5, 58.0, None, None, -8.0, None, 4.5, 1979-12-28 16:00:00, None, None
-5.0, 78.0, None, None, -5.0, None, 3.5, 1979-12-29 07:00:00, None, None
-8.0, 68.0, None, None, -11.0, None, -5.0, 1979-12-29 16:00:00, None, None
-14.5, 54.0, None, None, -14.5, None, -6.0, 1979-12-30 07:00:00, None, None
-8.0, 54.0, None, None, -14.5, None, -8.0, 1979-12-30 16:00:00, None, None
-5.0, 90.0, None, None, -8.0, None, -4.0, 1979-12-31 07:00:00, None, None
