station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
4.0, None, None, None, None, None, None, 1976-12-12 08:00:00, None
3.0, None, None, None, None, None, None, 1976-12-18 08:00:00, None
4.0, None, None, None, None, None, None, 1976-12-18 15:00:00, None
-2.0, None, None, None, None, None, None, 1976-12-19 08:00:00, 0.0
-5.0, None, None, None, None, None, None, 1977-01-02 15:00:00, 0.0
-3.0, None, None, None, None, None, None, 1977-01-03 15:00:00, 0.0
-9.0, None, None, None, None, None, None, 1977-01-04 08:00:00, 0.0
-8.0, None, None, None, None, None, None, 1977-01-04 15:00:00, 0.0
-12.0, None, None, None, None, None, None, 1977-01-05 08:00:00, 0.0
-7.0, None, None, None, None, None, None, 1977-01-05 15:00:00, 0.0
-21.0, None, None, None, None, None, None, 1977-01-06 08:00:00, 0.0
-10.0, None, None, 1.0, None, None, None, 1977-01-07 08:00:00, 1.0
-8.0, None, None, None, None, None, None, 1977-01-07 16:00:00, 0.0
-6.0, None, None, None, None, None, None, 1977-01-08 07:00:00, 0.0
-3.0, None, None, None, None, None, None, 1977-01-08 15:00:00, 0.0
-5.0, None, None, None, None, None, None, 1977-01-09 07:00:00, 0.0
-4.0, None, None, None, None, None, None, 1977-01-09 16:00:00, 0.0
-5.0, None, None, None, None, None, None, 1977-01-10 08:00:00, 0.0
0.0, None, None, None, None, None, None, 1977-01-10 15:00:00, 0.0
-10.0, None, None, None, None, None, None, 1977-01-11 08:00:00, 0.0
-4.0, None, None, None, None, None, None, 1977-01-11 16:00:00, 0.0
-5.0, None, None, 13.0, None, None, None, 1977-01-12 08:00:00, 13.0
-2.0, None, None, None, None, None, None, 1977-01-12 16:00:00, 13.0
0.0, None, None, 10.0, None, None, None, 1977-01-13 16:00:00, None
0.0, None, None, None, None, None, None, 1977-01-14 08:00:00, None
0.0, None, None, None, None, None, None, 1977-01-14 16:00:00, None
-2.0, None, None, 3.0, None, None, None, 1977-01-15 07:00:00, 13.0
0.0, None, None, None, None, None, None, 1977-01-15 15:00:00, None
-4.0, None, None, None, None, None, None, 1977-01-16 08:00:00, None
2.0, None, None, None, None, None, None, 1977-01-16 15:00:00, None
-2.0, None, None, 10.0, None, None, None, 1977-01-17 08:00:00, None
0.0, None, None, None, None, None, None, 1977-01-17 16:00:00, None
2.0, None, None, None, None, None, None, 1977-01-18 08:00:00, None
9.0, None, None, None, None, None, None, 1977-01-18 16:00:00, None
-1.0, None, None, 6.0, None, None, None, 1977-01-19 08:00:00, None
1.0, None, None, None, None, None, None, 1977-01-19 16:00:00, None
-1.0, None, None, None, None, None, None, 1977-01-20 08:00:00, None
3.0, None, None, None, None, None, None, 1977-01-20 16:00:00, None
1.0, None, None, None, None, None, None, 1977-01-21 08:00:00, 0.0
1.0, None, None, None, None, None, None, 1977-01-21 21:00:00, 0.0
-3.0, None, None, None, None, None, None, 1977-01-22 06:00:00, 0.0
1.0, None, None, None, None, None, None, 1977-01-22 16:00:00, 0.0
0.0, None, None, None, None, None, None, 1977-01-23 06:00:00, 0.0
-1.0, None, None, None, None, None, None, 1977-01-23 16:00:00, 0.0
-4.0, None, None, None, None, None, None, 1977-01-24 08:00:00, 0.0
-3.0, None, None, None, None, None, None, 1977-01-24 16:00:00, 0.0
-4.0, None, None, None, None, None, None, 1977-01-25 08:00:00, 0.0
-1.0, None, None, None, None, None, None, 1977-01-25 16:00:00, 0.0
-3.0, None, None, None, None, None, None, 1977-01-26 08:00:00, 0.0
0.0, None, None, None, None, None, None, 1977-01-26 16:00:00, 0.0
-4.0, None, None, None, None, None, None, 1977-01-27 08:00:00, 0.0
-2.0, None, None, None, None, None, None, 1977-01-27 16:00:00, 0.0
