station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
2.0, None, None, None, None, None, 1961-01-01 07:00:00, None, None, None
3.0, None, None, None, None, None, 1961-01-02 07:00:00, None, None, None
3.0, None, None, None, None, None, 1961-01-03 07:00:00, None, None, None
1.0, None, None, None, None, None, 1961-01-04 07:00:00, None, None, None
1.0, None, None, None, None, None, 1961-01-05 07:00:00, None, None, None
2.0, None, None, 10.0, None, None, 1961-01-06 07:00:00, None, None, None
0.0, None, None, None, None, None, 1961-01-07 07:00:00, None, None, None
0.0, None, None, None, None, None, 1961-01-08 07:00:00, None, None, None
1.0, None, None, None, None, None, 1961-01-09 07:00:00, None, None, None
1.0, None, None, None, None, None, 1961-01-10 07:00:00, None, None, None
-1.0, None, None, None, None, None, 1961-01-11 07:00:00, None, None, None
-3.0, None, None, None, None, None, 1961-01-12 07:00:00, None, None, None
-2.0, None, None, None, None, None, 1961-01-13 07:00:00, None, None, None
-3.0, None, None, None, None, None, 1961-01-14 07:00:00, None, None, None
-8.0, None, None, None, None, None, 1961-01-15 07:00:00, None, None, None
-10.0, None, None, None, None, None, 1961-01-16 07:00:00, None, None, None
-11.0, None, None, None, None, None, 1961-01-17 07:00:00, None, None, None
-12.0, None, None, None, None, None, 1961-01-18 07:00:00, None, None, None
-11.0, None, None, None, None, None, 1961-01-19 07:00:00, None, None, None
-4.0, None, None, None, None, None, 1961-01-20 07:00:00, None, None, None
-7.0, None, None, None, None, None, 1961-01-21 07:00:00, None, None, None
-8.0, None, None, None, None, None, 1961-01-22 07:00:00, None, None, None
1.0, None, None, None, None, None, 1961-01-23 07:00:00, None, None, None
3.0, None, None, None, None, None, 1961-01-24 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-01-25 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-01-26 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-01-27 07:00:00, None, None, None
10.0, None, None, None, None, None, 1961-01-28 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-01-29 07:00:00, None, None, None
3.0, None, None, None, None, None, 1961-01-30 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-01-31 07:00:00, None, None, None
5.0, None, None, None, None, None, 1961-02-01 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-02-02 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-02-03 07:00:00, None, None, None
2.0, None, None, None, None, None, 1961-02-04 07:00:00, None, None, None
2.0, None, None, None, None, None, 1961-02-05 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-02-06 07:00:00, None, None, None
5.0, None, None, None, None, None, 1961-02-07 07:00:00, None, None, None
6.0, None, None, None, None, None, 1961-02-08 07:00:00, None, None, None
2.0, None, None, None, None, None, 1961-02-09 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-02-10 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-02-11 07:00:00, None, None, None
2.0, None, None, None, None, None, 1961-02-12 07:00:00, None, None, None
4.0, None, None, None, None, None, 1961-02-13 07:00:00, None, None, None
-2.0, None, None, None, None, None, 1961-02-14 07:00:00, None, None, None
-2.0, None, None, None, None, None, 1961-02-15 07:00:00, None, None, None
-2.0, None, None, None, None, None, 1961-02-16 07:00:00, None, None, None
-2.0, None, None, None, None, None, 1961-02-17 07:00:00, None, None, None
-2.0, None, None, None, None, None, 1961-02-18 07:00:00, None, None, None
-3.0, None, None, None, None, None, 1961-02-19 07:00:00, None, None, None
-1.0, None, None, None, None, None, 1961-02-20 07:00:00, None, None, None
0.0, None, None, None, None, None, 1961-02-21 07:00:00, None, None, None
-2.0, None, None, None, None, None, 1961-02-22 07:00:00, None, None, None
-2.0, None, None, None, None, None, 1961-02-23 07:00:00, None, None, None
-4.0, None, None, None, None, None, 1961-02-24 07:00:00, None, None, None
-4.0, None, None, None, None, None, 1961-02-25 07:00:00, None, None, None
-7.0, None, None, None, None, None, 1961-02-26 07:00:00, None, None, None
-4.0, None, None, None, None, None, 1961-02-27 07:00:00, None, None, None
-4.0, None, None, None, None, None, 1961-02-28 07:00:00, None, None, None
-9.0, None, None, None, None, None, 1961-03-01 07:00:00, None, None, None
-13.0, None, None, None, None, None, 1961-03-02 07:00:00, None, None, None
-13.0, None, None, None, None, None, 1961-03-03 07:00:00, None, None, None
-13.0, None, None, None, None, None, 1961-03-04 07:00:00, None, None, None
-4.0, None, None, None, None, None, 1961-03-05 07:00:00, None, None, None
-4.0, None, None, None, None, None, 1961-03-06 07:00:00, None, None, None
1.0, None, None, None, None, None, 1961-03-07 07:00:00, None, None, None
3.0, None, None, None, None, None, 1961-03-08 07:00:00, None, None, None
5.0, None, None, None, None, None, 1961-03-09 07:00:00, None, None, None
