station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-1.0, 85.0, None, None, -5.0, None, -1.0, 1978-11-15 10:00:00, None, None, 95.0
-6.0, 80.0, None, 17.0, -6.0, None, 3.0, 1978-11-16 09:00:00, None, None, 103.0
-9.0, 85.0, None, None, -19.0, None, -6.0, 1978-11-16 18:00:00, None, None, None
-13.0, 85.0, None, 5.0, -18.0, None, -9.0, 1978-11-17 09:00:00, None, None, 100.0
-16.0, 84.0, None, None, -16.0, None, -13.0, 1978-11-17 18:00:00, None, None, None
-15.5, 87.0, None, None, -16.0, None, -15.5, 1978-11-18 06:00:00, None, None, None
-14.5, 86.0, None, None, -15.5, None, -14.5, 1978-11-18 18:00:00, None, None, None
-14.0, 87.0, None, None, -14.5, None, -14.0, 1978-11-19 06:00:00, None, None, None
-15.0, 87.0, None, None, -17.0, None, -14.0, 1978-11-20 10:00:00, None, None, None
-14.0, 88.0, None, None, -15.0, None, -14.0, 1978-11-20 18:00:00, None, None, None
-13.0, 88.0, None, None, -17.0, None, -13.0, 1978-11-21 08:00:00, None, None, 85.0
-12.0, 90.0, None, None, -15.0, None, -12.0, 1978-11-21 20:00:00, None, None, 85.0
-10.0, 92.0, None, None, -12.0, None, -10.0, 1978-11-22 09:00:00, None, None, 85.0
-8.0, 93.0, None, None, -16.0, None, -8.0, 1978-11-22 20:00:00, None, None, 85.0
-7.0, 93.0, None, 5.0, -8.0, None, -7.0, 1978-11-23 09:00:00, None, None, 85.0
-4.0, 95.0, None, None, -7.0, None, -3.0, 1978-11-23 21:00:00, None, None, 85.0
-3.0, 96.0, None, None, -7.0, None, -3.0, 1978-11-24 09:00:00, None, None, 86.0
-1.0, 97.0, None, 4.0, -3.0, None, -1.0, 1978-11-24 21:00:00, None, None, 90.0
0.0, 98.0, None, None, -1.0, None, 0.0, 1978-11-25 06:00:00, None, None, None
1.0, 97.0, None, 1.0, 0.0, None, 2.0, 1978-11-25 21:00:00, None, None, 85.0
1.0, 97.0, None, None, 0.0, None, 2.0, 1978-11-26 09:00:00, None, None, 85.0
0.0, 96.0, None, None, 0.0, None, 1.0, 1978-11-26 18:00:00, None, None, None
1.0, 97.0, None, None, 0.0, None, 2.0, 1978-11-27 09:00:00, None, None, 85.0
0.0, 97.0, None, None, 0.0, None, 1.0, 1978-11-27 18:00:00, None, None, None
3.0, 75.0, None, 4.0, 0.0, None, 4.0, 1978-11-28 09:00:00, None, None, 89.0
2.0, 87.0, None, None, 2.0, None, 3.0, 1978-11-28 18:00:00, None, None, None
-2.0, 95.0, None, None, -2.0, None, 2.0, 1978-11-29 08:00:00, None, None, 80.0
-2.0, 98.0, None, None, -2.0, None, -1.0, 1978-11-29 18:00:00, None, None, None
-1.0, 98.0, None, 2.0, -2.0, None, -1.0, 1978-11-30 09:00:00, None, None, 79.0
-7.0, 95.0, None, None, -7.0, None, -1.0, 1978-11-30 18:00:00, None, None, None
-5.0, 96.0, None, None, -10.0, None, -1.0, 1978-12-01 09:00:00, None, None, 79.0
-6.0, 95.0, None, None, -6.0, None, -5.0, 1978-12-01 18:00:00, None, None, None
-5.0, 95.0, None, None, -6.0, None, -5.0, 1978-12-02 09:00:00, None, None, None
-4.5, 96.0, None, None, -5.0, None, -4.0, 1978-12-02 18:00:00, None, None, None
-0.5, 85.0, None, None, -5.0, None, 0.5, 1978-12-03 06:00:00, None, None, None
-1.0, 85.0, None, None, -1.0, None, 0.0, 1978-12-03 18:00:00, None, None, None
-2.0, 98.0, None, 33.0, -5.0, None, 1.0, 1978-12-04 11:00:00, None, None, 103.0
-2.0, 72.0, None, None, -2.0, None, -2.0, 1978-12-04 18:00:00, None, None, None
-6.0, 97.0, None, 3.0, -7.0, None, -1.0, 1978-12-05 09:00:00, None, None, 103.0
-10.0, 94.0, None, None, -10.0, None, -6.0, 1978-12-05 18:00:00, None, None, None
-9.0, 96.0, None, None, -13.0, None, -9.0, 1978-12-06 09:00:00, None, None, 103.0
-8.0, 94.0, None, None, -9.0, None, -8.0, 1978-12-06 18:00:00, None, None, None
-7.0, 95.0, None, 11.0, -8.0, None, -7.0, 1978-12-07 10:00:00, None, None, 106.0
-6.5, 96.0, None, None, -7.0, None, -6.5, 1978-12-07 18:00:00, None, None, None
-5.0, 97.0, None, 5.0, -6.5, None, -5.0, 1978-12-08 10:00:00, None, None, 108.0
-3.5, 97.0, None, None, -5.0, None, -3.5, 1978-12-08 18:00:00, None, None, None
-2.0, 98.0, None, 12.0, -3.5, None, -1.0, 1978-12-09 09:00:00, None, None, 115.0
-2.0, 98.0, None, None, -3.5, None, -1.0, 1978-12-09 18:00:00, None, None, None
-3.0, 97.0, None, 22.0, -3.0, None, -1.0, 1978-12-10 09:00:00, None, None, 130.0
-4.0, 97.0, None, None, -4.0, None, -2.0, 1978-12-10 18:00:00, None, None, None
-7.0, 96.0, None, None, -10.0, None, -2.0, 1978-12-11 09:00:00, None, None, 111.0
-8.0, 92.0, None, None, -8.0, None, -7.0, 1978-12-11 18:00:00, None, None, None
-3.0, 94.0, None, 15.0, -8.0, None, -3.0, 1978-12-12 09:00:00, None, None, 120.0
-5.0, 96.0, None, None, -8.0, None, -4.0, 1978-12-12 18:00:00, None, None, None
-0.5, 99.0, None, None, -5.0, None, -0.5, 1978-12-13 06:00:00, None, None, None
0.0, 98.0, None, None, -0.5, None, 0.0, 1978-12-13 18:00:00, None, None, None
-1.0, 98.0, None, None, -1.0, None, 0.0, 1978-12-14 06:00:00, None, None, None
-0.5, 95.0, None, None, -1.0, None, 0.0, 1978-12-14 18:00:00, None, None, None
-3.0, 94.0, None, None, -3.0, None, 0.0, 1978-12-15 06:00:00, None, None, None
-3.0, 95.0, None, None, -4.5, None, -3.0, 1978-12-15 18:00:00, None, None, None
-3.5, 96.0, None, None, -4.0, None, -3.0, 1978-12-16 06:00:00, None, None, None
-6.0, 95.0, None, None, -9.0, None, -3.5, 1978-12-16 18:00:00, None, None, None
-3.5, 80.0, None, None, -6.5, None, -2.5, 1978-12-17 06:00:00, None, None, None
-9.0, 75.0, None, None, -9.0, None, -3.0, 1978-12-17 18:00:00, None, None, None
-13.0, 95.0, None, 70.0, -14.0, None, -9.0, 1978-12-18 09:00:00, None, None, 155.0
-12.0, 93.0, None, None, -13.5, None, -12.0, 1978-12-18 18:00:00, None, None, None
-11.0, 93.0, None, 20.0, -14.0, None, -10.0, 1978-12-19 10:00:00, None, None, 170.0
-9.0, 95.0, None, None, -10.0, None, -9.0, 1978-12-19 18:00:00, None, None, None
-6.0, 97.0, None, 25.0, -9.0, None, -6.0, 1978-12-20 08:00:00, None, None, 180.0
-4.0, 96.0, None, None, -6.0, None, -1.0, 1978-12-20 23:00:00, None, None, 189.0
-5.5, 95.0, None, None, -5.5, None, -4.0, 1978-12-21 06:00:00, None, None, None
-3.5, 97.0, None, None, -5.5, None, -3.5, 1978-12-21 18:00:00, None, None, None
-5.0, 95.0, None, None, -7.0, None, -3.5, 1978-12-22 06:00:00, None, None, None
-2.0, 96.0, None, None, -6.0, None, -1.0, 1978-12-22 23:00:00, None, None, 189.0
-5.5, 97.0, None, None, -10.0, None, -2.0, 1978-12-23 06:00:00, None, None, None
-3.0, 97.0, None, None, -5.5, None, -3.0, 1978-12-23 18:00:00, None, None, None
-3.0, 86.0, None, None, -3.0, None, -1.0, 1978-12-24 06:00:00, None, None, None
-2.0, 86.0, None, None, -3.0, None, -1.0, 1978-12-24 18:00:00, None, None, None
-6.0, 85.0, None, None, -6.0, None, -2.0, 1978-12-25 06:00:00, None, None, None
-6.0, 90.0, None, 15.0, -8.0, None, -6.0, 1978-12-25 14:00:00, None, None, 185.0
-6.5, 95.0, None, None, -7.0, None, -6.0, 1978-12-26 06:00:00, None, None, None
-15.0, 86.0, None, 2.0, -16.0, None, -6.5, 1978-12-26 17:00:00, None, None, 180.0
-20.0, 87.0, None, None, -22.0, None, -15.0, 1978-12-27 10:00:00, None, None, 175.0
-21.0, 87.0, None, None, -22.0, None, -6.5, 1978-12-27 18:00:00, None, None, None
-20.0, 86.0, None, None, -21.0, None, -18.0, 1978-12-28 10:00:00, None, None, 175.0
-21.0, 85.0, None, None, -21.0, None, -19.0, 1978-12-28 18:00:00, None, None, None
-26.0, 83.0, None, None, -27.0, None, -21.0, 1978-12-29 12:00:00, None, None, 175.0
-25.0, 83.0, None, None, -26.0, None, -21.0, 1978-12-29 18:00:00, None, None, None
-24.0, 80.0, None, None, -27.0, None, -24.0, 1978-12-30 11:00:00, None, None, 170.0
-22.0, 80.0, None, None, -24.0, None, -20.0, 1978-12-30 18:00:00, None, None, None
-29.0, 80.0, None, None, -29.0, None, -22.0, 1978-12-31 10:00:00, None, None, 168.0
-28.5, 80.0, None, None, -31.0, None, -28.0, 1978-12-31 18:00:00, None, None, None
-23.5, 82.0, None, None, -29.0, None, -23.5, 1979-01-01 06:00:00, None, None, None
-22.0, 84.0, None, None, -23.5, None, -21.5, 1979-01-01 18:00:00, None, None, None
-18.0, 87.0, None, None, -22.0, None, -18.0, 1979-01-02 06:00:00, None, None, None
-19.0, 86.0, None, None, -19.0, None, -17.0, 1979-01-02 18:00:00, None, None, None
-20.0, 86.0, None, None, -22.0, None, -17.0, 1979-01-03 06:00:00, None, None, None
-23.0, 83.0, None, None, -23.0, None, -17.0, 1979-01-04 10:00:00, None, None, 160.0
-21.0, 84.0, None, None, -23.0, None, -21.0, 1979-01-04 16:00:00, None, None, 160.0
-26.0, 82.0, None, None, -26.0, None, -21.0, 1979-01-05 10:00:00, None, None, 160.0
-23.0, 84.0, None, None, -26.0, None, -23.0, 1979-01-05 16:00:00, None, None, 160.0
-26.0, 82.0, None, None, -26.0, None, -20.0, 1979-01-06 10:00:00, None, None, 160.0
-23.0, 84.0, None, None, -26.0, None, -23.0, 1979-01-06 16:00:00, None, None, 160.0
-26.0, 82.0, None, None, -26.0, None, -23.0, 1979-01-07 10:00:00, None, None, 160.0
-23.0, 84.0, None, None, -26.0, None, -23.0, 1979-01-07 16:00:00, None, None, 160.0
-25.0, 83.0, None, None, -25.0, None, -22.0, 1979-01-08 10:00:00, None, None, 160.0
-22.0, 83.0, None, None, -25.0, None, -21.0, 1979-01-08 16:00:00, None, None, 160.0
-25.0, 83.0, None, None, -25.0, None, -21.0, 1979-01-09 07:00:00, None, None, 160.0
-21.0, 85.0, None, None, -25.0, None, -20.0, 1979-01-09 16:00:00, None, None, 160.0
-23.0, 84.0, None, None, -24.0, None, -20.0, 1979-01-10 09:00:00, None, None, 155.0
-20.0, 85.0, None, None, -23.0, None, -20.0, 1979-01-10 16:00:00, None, None, 155.0
-17.0, 86.0, None, None, -21.0, None, -17.0, 1979-01-11 10:00:00, None, None, 150.0
-15.0, 85.0, None, None, -17.0, None, -15.0, 1979-01-11 16:00:00, None, None, 150.0
-19.0, 86.0, None, None, -19.0, None, -15.0, 1979-01-12 10:00:00, None, None, 150.0
-18.0, 85.0, None, None, -19.0, None, -18.0, 1979-01-12 16:00:00, None, None, 150.0
-24.0, 85.0, None, None, -24.0, None, -17.0, 1979-01-13 10:00:00, None, None, 150.0
-21.0, 83.0, None, None, -24.0, None, -21.0, 1979-01-13 16:00:00, None, None, 150.0
-22.0, 83.0, None, None, -23.5, None, -21.0, 1979-01-13 18:00:00, 3.0, None, None
-25.0, 83.0, None, None, -25.0, None, -22.0, 1979-01-14 10:00:00, None, None, 150.0
-24.0, 82.0, None, None, -25.0, None, -23.0, 1979-01-14 16:00:00, None, None, 150.0
-24.0, 82.0, None, None, -26.0, None, -24.0, 1979-01-15 11:00:00, None, None, 150.0
