station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
9.0, 40.0, 0.0, 0.0, 9.0, 9.0, 1990-10-01 07:20:00, 0.0, None, 0.0
14.5, 32.0, 0.0, 0.0, 9.0, 14.5, 1990-10-01 15:45:00, 0.0, None, 0.0
2.5, 95.0, 0.0, 0.0, 2.5, 14.5, 1990-10-02 06:05:00, 1.0, None, 0.0
11.5, 38.0, 0.0, 0.0, 2.5, 11.5, 1990-10-02 16:05:00, 0.0, None, 0.0
4.5, 95.0, 0.0, 0.0, 4.5, 11.5, 1990-10-03 06:25:00, 2.0, None, 0.0
10.0, 80.0, 0.0, 0.0, 4.5, 10.0, 1990-10-03 16:20:00, 1.0, None, 0.0
12.0, 65.0, 0.0, 0.0, 7.0, 12.0, 1990-10-04 06:15:00, 3.0, None, 0.0
8.5, 90.0, 0.0, 0.0, 8.5, 13.5, 1990-10-04 15:50:00, 4.0, None, 0.0
3.0, 97.0, 0.0, 0.0, 2.0, 8.5, 1990-10-05 06:25:00, 8.0, None, 0.0
5.5, 81.0, 0.0, 0.0, 3.0, 6.0, 1990-10-05 16:30:00, 3.0, None, 0.0
1.0, 97.0, 0.0, 0.0, 0.5, 5.5, 1990-10-06 06:20:00, 0.0, None, 0.0
7.0, 67.0, 0.0, 0.0, 1.0, 8.0, 1990-10-06 16:30:00, 0.0, None, 0.0
0.0, 96.0, 0.0, 0.0, -0.5, 7.0, 1990-10-07 06:15:00, 0.0, None, 0.0
10.5, 42.0, 0.0, 0.0, 0.0, 10.5, 1990-10-07 15:50:00, 0.0, None, 0.0
4.0, 95.0, 0.0, 0.0, 3.5, 10.5, 1990-10-08 06:20:00, 0.0, None, 0.0
12.0, None, 0.0, 0.0, 3.5, 12.0, 1990-10-08 16:30:00, 0.0, None, 0.0
6.0, 93.0, 0.0, 0.0, 6.0, 12.0, 1990-10-09 06:30:00, 0.0, None, 0.0
10.0, 80.0, 0.0, 0.0, 6.0, 12.0, 1990-10-09 15:55:00, 0.0, None, 0.0
2.5, 97.0, 0.0, 0.0, 2.5, 11.0, 1990-10-10 06:30:00, 3.0, None, 0.0
6.5, 70.0, 0.0, 0.0, 2.5, 7.0, 1990-10-10 16:30:00, 0.0, None, 0.0
6.0, 57.0, 0.0, 0.0, -4.0, 7.5, 1990-10-11 15:45:00, 0.0, None, 0.0
-4.0, 97.0, 0.0, 0.0, -4.0, 7.5, 1990-10-11 16:35:00, 0.0, None, 0.0
3.5, 87.0, 0.0, 0.0, 2.5, 8.5, 1990-10-12 06:35:00, 0.0, None, 0.0
8.5, 46.0, 0.0, 0.0, 2.5, 9.0, 1990-10-12 15:45:00, 0.0, None, 0.0
0.5, 95.0, 0.0, 0.0, 0.5, 9.0, 1990-10-13 06:35:00, 0.0, None, 0.0
5.0, 71.0, 0.0, 0.0, 5.0, 14.0, 1990-10-13 06:55:00, 0.0, None, 0.0
7.0, 35.0, 0.0, 0.0, 0.5, 9.0, 1990-10-13 15:55:00, 1.0, None, 0.0
-0.5, 93.0, 0.0, 0.0, -1.0, 7.5, 1990-10-14 06:25:00, 0.0, None, 0.0
6.0, 52.0, 0.0, 0.0, -1.0, 7.0, 1990-10-14 16:25:00, 0.0, None, 0.0
4.0, 90.0, 0.0, 0.0, 4.0, 6.5, 1990-10-15 06:30:00, 0.0, None, 0.0
7.0, 54.0, 0.0, 0.0, 4.0, 8.0, 1990-10-15 16:35:00, 0.0, None, 0.0
-3.0, 93.0, 0.0, 0.0, -3.0, 8.0, 1990-10-16 06:35:00, 0.0, None, 0.0
7.0, 55.0, 0.0, 0.0, -3.0, 8.0, 1990-10-16 15:45:00, 0.0, None, 0.0
0.5, 91.0, 0.0, 0.0, 0.0, 8.0, 1990-10-17 06:25:00, 0.0, None, 0.0
3.0, 97.0, 0.0, 0.0, 0.5, 4.5, 1990-10-17 16:35:00, 2.0, None, 0.0
1.5, 97.0, 0.0, 0.0, 1.5, 3.0, 1990-10-18 06:35:00, 4.0, None, 0.0
7.5, 82.0, 0.0, 0.0, 1.0, 8.0, 1990-10-18 16:05:00, 0.0, None, 0.0
-0.5, 97.0, 0.0, 0.0, -1.0, 7.5, 1990-10-19 06:25:00, 0.0, None, 0.0
6.5, 53.0, 0.0, 0.0, -1.0, 6.5, 1990-10-19 15:45:00, 0.0, None, 0.0
-2.0, 85.0, 0.0, 0.0, -2.0, 6.5, 1990-10-20 06:10:00, 0.0, None, 0.0
5.0, 55.0, 0.0, 0.0, -2.5, 5.5, 1990-10-20 16:15:00, 0.0, None, 0.0
2.5, 95.0, 0.0, 0.0, 1.0, 5.5, 1990-10-21 06:05:00, 0.0, None, 0.0
10.0, 35.0, 0.0, 0.0, 2.0, 11.0, 1990-10-21 16:10:00, 0.0, None, 0.0
1.5, 92.0, 0.0, 0.0, 1.5, 10.0, 1990-10-22 06:25:00, 0.0, None, 0.0
7.5, 35.0, 0.0, 0.0, 0.5, 8.5, 1990-10-22 16:25:00, 0.0, None, 0.0
0.0, 95.0, 0.0, 0.0, -0.5, 8.0, 1990-10-23 06:30:00, 0.0, None, 0.0
6.5, 64.0, 0.0, 0.0, 0.0, 7.5, 1990-10-23 16:10:00, 0.0, None, 0.0
11.5, 42.0, 0.0, 0.0, 0.0, 14.0, 1990-10-24 06:30:00, 0.0, None, 0.0
10.0, 69.0, 0.0, 0.0, 4.5, 11.5, 1990-10-24 16:10:00, 0.0, None, 0.0
7.5, 97.0, 0.0, 0.0, 6.0, 10.0, 1990-10-25 06:35:00, 3.0, None, 0.0
8.5, 96.0, 0.0, 0.0, 6.0, 10.0, 1990-10-25 17:15:00, 15.0, None, 0.0
2.0, 85.0, 0.0, 0.0, 1.5, 8.5, 1990-10-26 06:55:00, 2.0, None, 0.0
7.5, 55.0, 0.0, 0.0, 1.5, 8.5, 1990-10-26 16:00:00, 0.0, None, 0.0
1.5, 97.0, 0.0, 0.0, 1.5, 10.5, 1990-10-27 06:30:00, 0.0, None, 0.0
9.0, 63.0, 0.0, 0.0, 1.5, 9.0, 1990-10-27 16:00:00, 0.0, None, 0.0
3.5, 95.0, 0.0, 0.0, 2.5, 9.0, 1990-10-28 06:35:00, 13.0, None, 0.0
5.0, 81.0, 0.0, 0.0, 3.0, 7.0, 1990-10-28 16:25:00, 1.0, None, 0.0
0.5, 97.0, 0.0, 0.0, 0.0, 5.0, 1990-10-29 06:30:00, 0.0, None, 0.0
5.0, 70.0, 0.0, 0.0, 0.5, 5.0, 1990-10-29 15:35:00, 0.0, None, 0.0
2.0, 96.0, 0.0, 0.0, 2.0, 5.0, 1990-10-30 06:35:00, 2.0, None, 0.0
6.0, 57.0, 0.0, 0.0, 1.5, 9.0, 1990-10-30 16:25:00, 0.0, None, 0.0
