station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, HEIGHT_OF_SNOW
4.0, None, None, None, 4.0, 8.0, 1977-11-01 08:00:00, 0.0
10.0, None, None, None, 4.0, 10.0, 1977-11-01 16:00:00, 0.0
0.0, None, None, None, 0.0, 15.0, 1977-11-02 08:00:00, 0.0
6.0, None, None, None, 0.0, 6.0, 1977-11-02 16:00:00, 0.0
0.0, None, None, None, 0.0, 6.0, 1977-11-03 08:00:00, 0.0
6.0, None, None, None, 0.0, 8.0, 1977-11-03 16:00:00, 0.0
0.0, None, None, None, 0.0, 6.0, 1977-11-04 08:00:00, 0.0
6.0, None, None, None, 0.0, 8.0, 1977-11-04 16:00:00, 0.0
6.0, None, None, None, 5.0, 6.0, 1977-11-05 08:00:00, 0.0
8.0, None, None, None, 6.0, 10.0, 1977-11-05 16:00:00, 0.0
8.0, None, None, None, 6.0, 8.0, 1977-11-06 08:00:00, 0.0
8.0, None, None, None, 8.0, 8.0, 1977-11-06 16:00:00, 0.0
7.0, None, None, None, 6.0, 8.0, 1977-11-07 08:00:00, 0.0
5.0, None, None, None, 5.0, 9.0, 1977-11-07 16:00:00, 0.0
-1.0, None, None, None, -1.0, 5.0, 1977-11-08 08:00:00, 0.0
4.0, None, None, None, -1.0, 7.0, 1977-11-08 16:00:00, 0.0
3.0, None, None, None, 1.0, 4.0, 1977-11-09 08:00:00, 0.0
4.0, None, None, None, 3.0, 6.0, 1977-11-09 16:00:00, 0.0
5.0, None, None, None, 4.0, 6.0, 1977-11-10 08:00:00, 0.0
8.0, None, None, None, 5.0, 8.0, 1977-11-10 16:00:00, 0.0
6.0, None, None, None, 5.0, 8.0, 1977-11-11 08:00:00, 0.0
11.0, None, None, None, 6.0, 11.0, 1977-11-11 16:00:00, 0.0
4.0, None, None, None, 3.0, 11.0, 1977-11-12 08:00:00, 0.0
6.0, None, None, None, 4.0, 8.0, 1977-11-12 16:00:00, 0.0
6.0, None, None, None, 4.0, 6.0, 1977-11-13 08:00:00, 0.0
9.0, None, None, None, 6.0, 11.0, 1977-11-13 16:00:00, 0.0
8.0, None, None, None, 7.0, 9.0, 1977-11-14 08:00:00, 0.0
8.0, None, None, None, 8.0, 11.0, 1977-11-14 16:00:00, 0.0
4.0, None, None, None, 4.0, 8.0, 1977-11-15 08:00:00, 0.0
6.0, None, None, None, 4.0, 8.0, 1977-11-15 16:00:00, 0.0
4.0, None, None, None, 4.0, 6.0, 1977-11-16 08:00:00, 0.0
6.0, None, None, None, 4.0, 8.0, 1977-11-16 18:00:00, 0.0
3.0, None, None, None, -2.0, 6.0, 1977-11-17 08:00:00, 0.0
2.0, None, None, None, 2.0, 4.0, 1977-11-17 16:00:00, 0.0
-2.0, None, None, None, -3.0, 2.0, 1977-11-18 08:00:00, 0.0
2.0, None, None, None, -2.0, 3.0, 1977-11-18 16:00:00, 0.0
-1.0, None, None, None, -3.0, 2.0, 1977-11-19 09:00:00, 0.0
-1.0, None, None, None, -2.0, 1.0, 1977-11-19 16:00:00, 0.0
-6.0, None, None, None, -7.0, -1.0, 1977-11-20 09:00:00, 0.0
-3.0, None, None, None, -6.0, -2.0, 1977-11-20 17:00:00, 0.0
-7.0, None, None, None, -7.0, -3.0, 1977-11-21 08:00:00, 0.0
-5.0, None, None, None, -7.0, -3.0, 1977-11-21 17:00:00, 0.0
-7.0, None, None, None, -9.0, -5.0, 1977-11-22 08:00:00, 0.0
-5.0, None, None, None, -7.0, -3.0, 1977-11-22 16:00:00, 0.0
-4.0, None, None, None, -8.0, -4.0, 1977-11-23 08:00:00, 0.0
-4.0, None, None, 4.0, -4.0, -4.0, 1977-11-23 16:00:00, 4.0
-3.0, None, None, 11.0, -4.0, -3.0, 1977-11-24 08:00:00, 15.0
-1.0, None, None, None, -3.0, 1.0, 1977-11-24 16:00:00, 15.0
-1.0, None, None, None, -2.0, -1.0, 1977-11-25 08:00:00, 14.0
2.0, None, None, None, -1.0, 2.0, 1977-11-25 16:00:00, 10.0
5.0, None, None, None, 2.0, 5.0, 1977-11-26 09:00:00, 6.0
5.0, None, None, None, -3.0, 6.0, 1977-11-26 16:00:00, 4.0
5.0, None, None, None, 3.0, 5.0, 1977-11-27 09:00:00, 0.0
6.0, None, None, None, 5.0, 7.0, 1977-11-27 16:00:00, 0.0
7.0, None, None, None, 6.0, 7.0, 1977-11-28 08:00:00, 0.0
7.0, None, None, None, 7.0, 8.0, 1977-11-28 16:00:00, 0.0
7.0, None, None, None, 6.0, 9.0, 1977-11-29 08:00:00, 0.0
7.0, None, None, None, 6.0, 7.0, 1977-11-29 17:00:00, 0.0
5.0, None, None, None, 5.0, 7.0, 1977-11-30 08:00:00, 0.0
5.0, None, None, None, 5.0, 5.0, 1977-11-30 16:00:00, 0.0
3.0, None, None, None, 0.0, 5.0, 1977-12-01 08:00:00, 0.0
2.0, None, None, None, 0.0, 4.0, 1977-12-01 16:00:00, 0.0
4.0, None, None, None, 2.0, 4.0, 1977-12-02 08:00:00, 0.0
7.0, None, None, None, 4.0, 10.0, 1977-12-02 16:00:00, 0.0
2.0, None, None, None, 2.0, 7.0, 1977-12-04 08:00:00, 0.0
8.0, None, None, None, 2.0, 10.0, 1977-12-04 16:00:00, 0.0
-3.0, None, None, None, -5.0, 8.0, 1977-12-05 08:00:00, 0.0
-4.0, None, None, 2.0, -4.0, -1.0, 1977-12-05 16:00:00, 2.0
-3.0, None, None, 10.0, -5.0, -3.0, 1977-12-06 08:00:00, 12.0
-3.0, None, None, 1.0, -4.0, -2.0, 1977-12-06 16:00:00, 12.0
2.0, None, None, None, -5.0, 5.0, 1977-12-07 08:00:00, 7.0
-6.0, None, None, 3.0, -6.0, 4.0, 1977-12-07 16:00:00, 10.0
-11.0, None, None, 2.0, -11.0, 0.0, 1977-12-08 08:00:00, 11.0
-11.0, None, None, None, -12.0, -10.0, 1977-12-08 16:00:00, 11.0
-15.0, None, None, 1.0, -15.0, -11.0, 1977-12-09 08:00:00, 10.0
-13.0, None, None, 3.0, -15.0, -13.0, 1977-12-09 16:00:00, 13.0
-8.0, None, None, 7.0, -13.0, -8.0, 1977-12-10 09:00:00, 19.0
-5.0, None, None, None, -8.0, -3.0, 1977-12-10 16:00:00, 19.0
1.0, None, None, None, -5.0, 1.0, 1977-12-11 09:00:00, 18.0
5.0, None, None, None, 1.0, 5.0, 1977-12-11 16:00:00, 15.0
3.0, None, None, None, 1.0, 5.0, 1977-12-12 08:00:00, 13.0
3.0, None, None, None, 3.0, 5.0, 1977-12-12 16:00:00, 11.0
2.0, None, None, None, 2.0, 3.0, 1977-12-13 08:00:00, 10.0
3.0, None, None, None, 2.0, 5.0, 1977-12-13 16:00:00, 9.0
2.0, None, None, None, 2.0, 4.0, 1977-12-14 08:00:00, 7.0
3.0, None, None, None, 2.0, 5.0, 1977-12-14 16:00:00, 5.0
3.0, None, None, None, 2.0, 4.0, 1977-12-15 08:00:00, 5.0
4.0, None, None, None, 3.0, 5.0, 1977-12-15 16:00:00, 4.0
2.0, None, None, None, 2.0, 5.0, 1977-12-16 08:00:00, 2.0
1.0, None, None, None, 1.0, 2.0, 1977-12-16 16:00:00, 2.0
2.0, None, None, None, 0.0, 2.0, 1977-12-17 09:00:00, 2.0
2.0, None, None, None, 1.0, 3.0, 1977-12-17 16:00:00, 2.0
1.0, None, None, 1.0, 1.0, 2.0, 1977-12-18 09:00:00, 3.0
2.0, None, None, None, 1.0, 5.0, 1977-12-18 16:00:00, 3.0
0.0, None, None, 18.0, -1.0, 3.0, 1977-12-19 08:00:00, 20.0
0.0, None, None, None, -1.0, 1.0, 1977-12-19 16:00:00, 19.0
-5.0, None, None, None, -6.0, 0.0, 1977-12-20 08:00:00, 17.0
-1.0, None, None, None, -5.0, -1.0, 1977-12-20 15:00:00, 17.0
-1.0, None, None, None, -3.0, 0.0, 1977-12-21 08:00:00, 16.0
1.0, None, None, None, -2.0, 2.0, 1977-12-21 16:00:00, 14.0
-1.0, None, None, None, -3.0, 1.0, 1977-12-22 08:00:00, 13.0
0.0, None, None, None, -2.0, 1.0, 1977-12-22 16:00:00, 13.0
-1.0, None, None, None, -1.0, 0.0, 1977-12-23 16:00:00, 11.0
-6.0, None, None, None, -10.0, -1.0, 1977-12-24 08:00:00, 11.0
-4.0, None, None, None, -6.0, -4.0, 1977-12-24 16:00:00, 11.0
-6.0, None, None, None, -6.0, -4.0, 1977-12-25 08:00:00, 11.0
-4.0, None, None, None, -6.0, -4.0, 1977-12-25 16:00:00, 11.0
-11.0, None, None, None, -11.0, -4.0, 1977-12-26 08:00:00, 11.0
-3.0, None, None, None, -11.0, 0.0, 1977-12-26 16:00:00, 11.0
-6.0, None, None, None, -7.0, -3.0, 1977-12-27 08:00:00, 11.0
-5.0, None, None, None, -6.0, -4.0, 1977-12-27 16:00:00, 11.0
-8.0, None, None, None, -8.0, -3.0, 1977-12-28 08:00:00, 11.0
-2.0, None, None, None, -8.0, -2.0, 1977-12-28 16:00:00, 11.0
-2.0, None, None, 5.0, -3.0, -1.0, 1977-12-29 08:00:00, 16.0
0.0, None, None, None, -3.0, 0.0, 1977-12-29 16:00:00, 15.0
-5.0, None, None, None, -5.0, 0.0, 1977-12-30 08:00:00, 13.0
-7.0, None, None, None, -7.0, -2.0, 1977-12-30 16:00:00, 12.0
-8.0, None, None, None, -8.0, -7.0, 1977-12-31 09:00:00, 12.0
-7.0, None, None, None, -8.0, -6.0, 1977-12-31 16:00:00, 12.0
-8.0, None, None, None, -8.0, -7.0, 1978-01-01 09:00:00, 12.0
-7.0, None, None, None, -8.0, -6.0, 1978-01-01 16:00:00, 12.0
-12.0, None, None, None, -12.0, -7.0, 1978-01-02 09:00:00, 12.0
-11.0, None, None, None, -12.0, -9.0, 1978-01-02 16:00:00, 12.0
-9.0, None, None, 3.0, -11.0, -9.0, 1978-01-03 08:00:00, 15.0
-8.0, None, None, 5.0, -9.0, -8.0, 1978-01-03 16:00:00, 21.0
-9.0, None, None, 24.0, -9.0, -8.0, 1978-01-04 08:00:00, 45.0
-8.0, None, None, 2.0, -9.0, -7.0, 1978-01-04 16:00:00, 47.0
-9.0, None, None, 7.0, -9.0, -8.0, 1978-01-05 08:00:00, 50.0
-8.0, None, None, 6.0, -9.0, -7.0, 1978-01-05 16:00:00, 55.0
1.0, None, None, 1.0, -8.0, 2.0, 1978-01-06 08:00:00, 56.0
2.0, None, None, 1.0, 1.0, 3.0, 1978-01-06 16:00:00, 53.0
-5.0, None, None, 4.0, -6.0, 2.0, 1978-01-07 10:00:00, 55.0
-5.0, None, None, 8.0, -5.0, -5.0, 1978-01-07 16:00:00, 62.0
1.0, None, None, 3.0, -5.0, 1.0, 1978-01-08 10:00:00, 65.0
1.0, None, None, None, 1.0, 2.0, 1978-01-08 16:00:00, 65.0
-2.0, None, None, None, -3.0, 2.0, 1978-01-09 08:00:00, 65.0
1.0, None, None, None, -2.0, 2.0, 1978-01-09 16:00:00, 64.0
-2.0, None, None, None, -3.0, 2.0, 1978-01-10 08:00:00, 64.0
-1.0, None, None, None, -2.0, 0.0, 1978-01-10 16:00:00, 60.0
-1.0, None, None, None, -2.0, 1.0, 1978-01-11 08:00:00, 56.0
1.0, None, None, None, -1.0, 3.0, 1978-01-11 16:00:00, 54.0
0.0, None, None, None, -1.0, 1.0, 1978-01-12 08:00:00, 52.0
2.0, None, None, None, 0.0, 4.0, 1978-01-12 16:00:00, 51.0
-2.0, None, None, None, -3.0, 3.0, 1978-01-13 08:00:00, 50.0
2.0, None, None, None, -2.0, 3.0, 1978-01-13 16:00:00, 49.0
0.0, None, None, None, 0.0, 2.0, 1978-01-14 08:00:00, 48.0
5.0, None, None, None, 0.0, 5.0, 1978-01-14 16:00:00, 45.0
3.0, None, None, None, 1.0, 5.0, 1978-01-15 08:00:00, 44.0
7.0, None, None, None, 3.0, 8.0, 1978-01-15 16:00:00, 41.0
0.0, None, None, None, 0.0, 8.0, 1978-01-16 08:00:00, 40.0
4.0, None, None, None, 0.0, 6.0, 1978-01-16 16:00:00, 38.0
1.0, None, None, None, 0.0, 4.0, 1978-01-17 08:00:00, 37.0
1.0, None, None, None, 0.0, 3.0, 1978-01-17 16:00:00, 37.0
0.0, None, None, None, 0.0, 3.0, 1978-01-18 08:00:00, 36.0
4.0, None, None, None, 0.0, 6.0, 1978-01-18 16:00:00, 36.0
2.0, None, None, None, 1.0, 4.0, 1978-01-19 08:00:00, 35.0
4.0, None, None, None, 2.0, 6.0, 1978-01-19 16:00:00, 35.0
2.0, None, None, None, 2.0, 4.0, 1978-01-20 08:00:00, 34.0
3.0, None, None, None, 2.0, 5.0, 1978-01-20 16:00:00, 32.0
2.0, None, None, None, 0.0, 3.0, 1978-01-21 08:00:00, 30.0
3.0, None, None, None, 2.0, 5.0, 1978-01-21 16:00:00, 28.0
3.0, None, None, None, 2.0, 4.0, 1978-01-22 08:00:00, 27.0
4.0, None, None, None, 2.0, 5.0, 1978-01-22 16:00:00, 26.0
0.0, None, None, None, 0.0, 4.0, 1978-01-23 08:00:00, 25.0
3.0, None, None, None, 0.0, 4.0, 1978-01-23 16:00:00, 24.0
0.0, None, None, None, 0.0, 4.0, 1978-01-24 08:00:00, 24.0
1.0, None, None, None, 0.0, 2.0, 1978-01-24 16:00:00, 24.0
1.0, None, None, None, -1.0, 1.0, 1978-01-25 08:00:00, 24.0
3.0, None, None, None, 1.0, 4.0, 1978-01-25 16:00:00, 23.0
2.0, None, None, None, 2.0, 3.0, 1978-01-26 08:00:00, 22.0
4.0, None, None, None, 1.0, 5.0, 1978-01-26 16:00:00, 20.0
2.0, None, None, None, 1.0, 4.0, 1978-01-27 08:00:00, 20.0
4.0, None, None, None, 2.0, 5.0, 1978-01-27 16:00:00, 20.0
4.0, None, None, None, 4.0, 6.0, 1978-01-28 08:00:00, 20.0
0.0, None, None, 4.0, 0.0, 4.0, 1978-01-28 16:00:00, 24.0
0.0, None, None, None, 0.0, 1.0, 1978-01-29 08:00:00, 23.0
-2.0, None, None, None, -2.0, 1.0, 1978-01-29 16:00:00, 23.0
-6.0, None, None, None, -6.0, -1.0, 1978-01-30 08:00:00, 23.0
0.0, None, None, None, -6.0, 1.0, 1978-01-30 16:00:00, 23.0
