station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-9.0, 1.0, 1.0, -15.0, -8.5, 1988-01-05 06:15:00, None, 42.0
-17.0, 0.0, 0.0, -17.0, 2.0, 1988-02-28 06:15:00, None, 49.0
1.5, 2.0, 2.0, 1.0, 7.5, 1988-11-10 06:00:00, None, 2.0
-5.0, 2.0, 1.0, -5.0, -2.0, 1988-11-12 07:10:00, None, 2.0
-3.0, 0.0, 0.0, -4.0, -2.0, 1988-11-13 17:10:00, None, 3.0
-2.0, 0.0, 0.0, -3.5, -2.0, 1988-11-14 06:30:00, None, 3.0
-3.0, 0.0, 0.0, -3.5, -1.0, 1988-11-14 17:10:00, None, 3.0
-3.0, 0.0, 0.0, -3.0, -1.0, 1988-11-15 06:00:00, None, 3.0
-2.0, 0.0, 0.0, -3.5, -1.0, 1988-11-15 17:00:00, None, 3.0
-4.0, 1.0, 1.0, -4.0, -2.0, 1988-11-16 06:30:00, None, 4.0
-3.0, 0.0, 0.0, -5.0, 0.0, 1988-11-16 17:00:00, None, 4.0
-4.0, 0.0, 0.0, None, 3.0, 1988-11-17 06:00:00, None, 4.0
3.0, 0.0, 0.0, -5.0, 3.0, 1988-11-17 17:00:00, None, 4.0
-4.0, 0.0, 0.0, -5.5, -1.0, 1988-11-18 06:00:00, None, 4.0
-4.0, 2.0, 2.0, -5.0, 0.0, 1988-11-18 17:00:00, None, 6.0
-4.0, 0.0, 10.0, None, 0.0, 1988-11-19 17:00:00, None, 6.0
0.0, 0.0, 0.0, None, 2.5, 1988-11-20 17:00:00, None, 6.0
-3.0, 3.0, 3.0, None, 2.5, 1988-11-21 06:00:00, None, 8.0
-3.0, 4.0, 1.0, None, 3.0, 1988-11-21 15:30:00, None, 8.0
-3.0, 0.0, 0.0, None, -2.0, 1988-11-22 06:00:00, None, 8.0
-3.0, 2.0, 2.0, None, -2.0, 1988-11-22 15:45:00, None, 9.0
-2.0, 0.0, 0.0, None, 2.5, 1988-11-23 06:00:00, None, 9.0
-4.0, 0.0, 0.0, None, 3.0, 1988-11-23 17:00:00, None, 9.0
-15.0, 0.0, 0.0, -15.0, -3.5, 1988-11-24 06:00:00, None, 9.0
-10.0, 0.0, 0.0, -16.0, -1.0, 1988-11-24 17:10:00, None, 9.0
-14.0, 0.0, 0.0, -18.0, -6.0, 1988-11-25 06:00:00, None, 9.0
-8.0, 1.0, 1.0, -15.0, -6.0, 1988-11-25 17:00:00, None, 10.0
-9.0, 0.0, 2.0, -15.0, -4.0, 1988-11-26 07:00:00, None, 11.0
-10.0, 0.0, 10.0, -15.5, -9.5, 1988-11-26 17:00:00, None, 11.0
-8.0, 1.0, 1.0, -10.0, -7.0, 1988-11-27 06:10:00, None, 11.0
1.0, 0.0, 0.0, -14.0, 3.5, 1988-11-28 06:00:00, None, 11.0
-1.0, 0.0, 0.0, -5.0, 2.0, 1988-11-28 18:00:00, None, 11.0
-3.0, 0.0, 0.0, -3.5, 2.0, 1988-11-29 06:00:00, None, 11.0
1.0, 0.0, 0.0, -2.5, 5.0, 1988-11-29 17:30:00, None, 8.0
-4.0, 0.0, 0.0, -5.0, 2.0, 1988-11-30 06:00:00, None, 8.0
5.0, 0.0, 0.0, -3.5, 7.0, 1988-11-30 17:15:00, None, 7.0
-1.0, 0.0, 0.0, -3.5, 6.5, 1988-12-01 06:00:00, None, 7.0
0.0, 2.0, 2.0, -3.5, 4.0, 1988-12-01 17:30:00, None, 9.0
-9.0, 4.0, 2.0, -9.0, 1.0, 1988-12-02 06:00:00, None, 11.0
-9.0, 0.0, 0.0, -11.0, -3.5, 1988-12-02 17:30:00, None, 11.0
-6.0, 0.0, 0.0, -12.5, -5.0, 1988-12-03 06:30:00, None, 11.0
