station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
2.0, 0.0, 0.0, 0.0, 7.5, 1988-11-14 06:25:00, None, 0.0
5.0, 0.0, 0.0, 1.0, 5.5, 1988-11-14 16:30:00, None, 0.0
3.5, 0.0, 0.0, 3.0, 5.5, 1988-11-15 07:15:00, None, 0.0
6.0, 0.0, 0.0, 3.0, 6.5, 1988-11-15 16:00:00, None, 0.0
4.5, 0.0, 0.0, 4.5, 6.5, 1988-11-16 04:26:00, None, 0.0
4.5, 0.0, 0.0, 4.5, 6.5, 1988-11-16 07:26:00, None, 0.0
4.5, 0.0, 0.0, 2.5, 5.5, 1988-11-17 07:15:00, None, 0.0
5.0, 0.0, 0.0, 2.5, 8.5, 1988-11-17 16:15:00, None, 0.0
0.0, 0.0, 0.0, -1.5, 6.5, 1988-11-18 07:15:00, None, 0.0
4.0, 0.0, 0.0, 0.0, 4.5, 1988-11-18 16:00:00, None, 0.0
5.0, 0.0, 0.0, 4.0, 7.0, 1988-11-19 07:20:00, None, 0.0
6.0, 0.0, 0.0, 5.0, 7.0, 1988-11-19 16:00:00, None, 0.0
4.5, 0.0, 0.0, 4.0, 7.0, 1988-11-20 07:20:00, None, 0.0
7.5, 0.0, 0.0, 4.0, 8.0, 1988-11-20 16:00:00, None, 0.0
3.0, 0.0, 0.0, 3.0, 8.5, 1988-11-21 07:15:00, None, 0.0
4.5, 0.0, 0.0, 3.0, 7.0, 1988-11-21 16:00:00, None, 0.0
2.5, 0.0, 0.0, 1.5, 6.5, 1988-11-22 07:15:00, None, 0.0
5.0, 0.0, 0.0, 2.0, 6.0, 1988-11-22 16:00:00, None, 0.0
0.5, 0.0, 0.0, 0.5, 6.0, 1988-11-23 07:15:00, None, 0.0
0.0, 0.0, 4.0, 0.0, 1.0, 1988-11-23 17:30:00, None, None
-2.0, 0.0, 1.0, -2.0, 1.5, 1988-11-24 07:15:00, None, 0.0
0.5, None, 1.0, -2.5, 1.5, 1988-11-24 16:30:00, None, 0.0
0.0, 0.0, 1.0, -0.5, 1.0, 1988-11-25 07:15:00, None, 0.0
1.0, 0.0, 0.0, -0.5, 3.0, 1988-11-25 16:00:00, None, 0.0
0.0, 0.0, 0.0, -1.0, 1.5, 1988-11-26 07:15:00, None, 0.0
2.0, 0.0, 0.0, -1.0, 2.5, 1988-11-26 16:00:00, None, 0.0
3.0, 0.0, 0.0, 2.0, 4.0, 1988-11-27 07:40:00, None, 0.0
4.0, 0.0, 0.0, 2.5, 6.5, 1988-11-27 16:00:00, None, 0.0
1.5, 0.0, 0.0, 0.0, 5.0, 1988-11-28 07:30:00, None, 0.0
3.5, 0.0, 0.0, 1.0, 4.5, 1988-11-28 16:00:00, None, 0.0
4.0, 0.0, 0.0, 3.0, 4.5, 1988-11-29 07:30:00, None, 0.0
3.5, 0.0, 0.0, 2.0, 5.0, 1988-11-29 16:00:00, None, 0.0
6.5, 0.0, 0.0, 5.5, 8.5, 1988-11-30 07:15:00, None, 0.0
9.0, 0.0, 0.0, 7.0, 10.0, 1988-11-30 16:00:00, None, 0.0
6.0, 0.0, 0.0, 3.0, 9.5, 1988-12-01 07:30:00, None, 0.0
6.0, 0.0, 0.0, 5.5, 10.0, 1988-12-01 15:40:00, None, 0.0
-0.5, 0.0, 0.0, -1.0, 10.0, 1988-12-02 07:15:00, None, 0.0
1.0, 0.0, 0.0, -1.0, 3.0, 1988-12-02 16:00:00, None, 0.0
3.0, 0.0, 0.0, -1.0, 5.0, 1988-12-03 07:30:00, None, 0.0
3.0, 0.0, 0.0, 2.0, 4.0, 1988-12-03 16:00:00, None, 0.0
7.0, 0.0, 0.0, 5.0, 10.0, 1988-12-04 06:45:00, None, 0.0
10.5, 0.0, 0.0, 9.5, 12.5, 1988-12-04 16:00:00, None, 0.0
5.0, 0.0, 0.0, 4.0, 7.0, 1988-12-05 07:15:00, None, 0.0
6.0, 0.0, 0.0, 5.0, 7.5, 1988-12-05 16:00:00, None, 0.0
6.0, 0.0, 0.0, 5.0, 9.5, 1988-12-06 07:25:00, None, 0.0
8.5, 0.0, 0.0, 7.0, 9.5, 1988-12-06 16:00:00, None, 0.0
6.0, 0.0, 0.0, 6.0, 9.0, 1988-12-07 07:15:00, None, 0.0
7.5, 0.0, 0.0, 5.5, 8.5, 1988-12-07 16:15:00, None, 0.0
7.0, 0.0, 0.0, 5.0, 9.0, 1988-12-08 07:15:00, None, 0.0
9.0, 0.0, 0.0, 5.5, 10.0, 1988-12-08 16:00:00, None, 0.0
5.0, 0.0, 0.0, 4.5, 7.0, 1988-12-09 07:15:00, None, 0.0
6.5, 0.0, 0.0, 5.0, 8.0, 1988-12-09 16:00:00, None, 0.0
7.0, 0.0, 0.0, 6.0, 8.0, 1988-12-10 06:55:00, None, 0.0
6.5, 0.0, 0.0, 5.0, 8.0, 1988-12-10 16:00:00, None, 0.0
7.0, 0.0, 0.0, 6.0, 8.0, 1988-12-11 07:10:00, None, 0.0
6.5, 0.0, 0.0, 6.5, 8.5, 1988-12-11 16:00:00, None, 0.0
6.0, 0.0, 0.0, 6.0, 8.0, 1988-12-12 07:15:00, None, 0.0
8.0, 0.0, 0.0, 6.0, 9.0, 1988-12-12 16:00:00, None, 0.0
1.0, 0.0, 0.0, 1.0, 8.0, 1988-12-13 07:15:00, None, 0.0
1.5, 0.0, 0.0, -0.5, 4.5, 1988-12-13 16:00:00, None, 0.0
-2.5, 0.0, 0.0, -2.5, 3.0, 1988-12-14 07:15:00, None, 0.0
1.0, 0.0, 0.0, -3.0, 5.0, 1988-12-14 17:30:00, None, 0.0
-4.5, 0.0, 0.0, -5.0, 2.0, 1988-12-15 07:15:00, None, 0.0
-1.0, 0.0, 0.0, -5.0, 2.5, 1988-12-15 16:00:00, None, 0.0
-3.0, 0.0, 0.0, -5.0, 2.5, 1988-12-16 07:15:00, None, 0.0
0.0, 0.0, 0.0, -5.0, 4.0, 1988-12-16 16:00:00, None, 0.0
-3.0, 0.1, 0.1, -5.0, 4.0, 1988-12-17 06:30:00, None, 0.1
2.0, 0.0, 0.0, -2.0, 5.5, 1988-12-17 16:00:00, None, 0.0
2.0, 0.1, 0.1, -1.0, 4.0, 1988-12-18 07:30:00, None, 0.1
2.5, 0.0, 0.0, 1.0, 5.0, 1988-12-18 16:30:00, None, 0.0
-3.0, 0.0, 0.0, -3.5, 4.0, 1988-12-19 07:15:00, None, 0.0
0.0, 0.0, 0.0, -3.5, 6.0, 1988-12-19 16:00:00, None, 0.0
0.0, 0.0, 0.0, -1.0, 3.0, 1988-12-20 07:00:00, None, 0.0
1.0, 0.0, 0.0, -1.0, 3.0, 1988-12-20 16:00:00, None, 0.0
-1.0, 0.0, 0.0, -1.5, 2.0, 1988-12-21 07:00:00, None, 0.0
1.0, 0.0, 0.0, -2.0, 2.0, 1988-12-21 16:00:00, None, 0.0
-1.0, None, 8.0, -1.0, 4.0, 1988-12-22 06:45:00, None, None
0.0, 0.0, 0.0, 0.0, 1.0, 1988-12-22 18:00:00, None, 8.0
-5.0, 0.0, 12.0, -5.0, 0.0, 1988-12-23 06:30:00, None, 20.0
0.0, None, None, -1.0, 1.0, 1988-12-23 17:30:00, None, 20.0
-3.0, 0.0, 0.0, -4.0, 2.0, 1988-12-24 07:00:00, None, 0.0
0.0, 0.0, 0.0, -2.0, 3.0, 1988-12-24 17:00:00, None, 0.0
-3.0, 0.0, 0.0, -8.0, 1.0, 1988-12-25 06:50:00, None, 17.0
-2.0, 0.0, 0.0, -8.0, 1.0, 1988-12-25 16:00:00, None, 17.0
-4.0, 0.0, 0.0, -5.0, -1.0, 1988-12-26 06:45:00, None, 17.0
-1.0, 0.0, 0.0, -5.0, 0.0, 1988-12-26 15:45:00, None, 17.0
0.0, 0.0, 0.0, -1.0, 3.0, 1988-12-27 07:00:00, None, 15.0
0.0, 0.0, 0.0, -1.0, 2.0, 1988-12-27 16:00:00, None, 14.0
0.0, 0.0, 0.0, -1.0, 1.0, 1988-12-28 07:20:00, None, 13.0
3.0, 0.0, 0.0, -1.0, 4.0, 1988-12-28 16:00:00, None, 13.0
0.0, 0.0, 0.0, 0.0, 4.0, 1988-12-29 07:15:00, None, 10.0
2.5, 0.0, 0.0, 0.0, 4.0, 1988-12-29 16:00:00, None, 10.0
0.0, 0.0, 0.0, 0.0, 4.0, 1988-12-30 07:30:00, None, 0.0
1.0, 0.0, 0.0, 0.0, 3.5, 1988-12-30 16:00:00, None, 0.0
-2.0, 0.0, 0.0, -2.0, 2.0, 1988-12-31 07:40:00, None, 0.0
1.5, 0.0, 0.0, -1.0, 3.0, 1988-12-31 16:00:00, None, 0.0
0.5, 0.0, 0.0, -1.0, 3.0, 1989-01-01 07:25:00, None, 6.0
1.5, 0.1, 0.1, -1.0, 2.0, 1989-01-01 16:34:00, None, 6.0
0.0, 0.0, 0.0, -1.0, 3.0, 1989-01-02 07:00:00, None, 5.0
1.0, 0.0, 0.0, -1.0, 2.5, 1989-01-02 16:00:00, None, 5.0
2.0, 0.0, 0.0, 1.0, 4.0, 1989-01-03 07:30:00, None, 2.0
3.0, 0.0, 0.0, 1.0, 5.0, 1989-01-03 16:00:00, None, 2.0
-1.0, 0.0, 0.0, -1.0, 4.0, 1989-01-04 07:20:00, None, 2.0
1.5, 0.0, 0.0, -0.5, 3.0, 1989-01-04 16:00:00, None, 2.0
-1.0, 0.0, 0.0, -1.5, 2.5, 1989-01-05 07:30:00, None, 1.0
1.0, 0.0, 0.0, -1.5, 2.0, 1989-01-05 16:10:00, None, 1.0
-2.0, 0.0, 0.0, -2.0, 2.0, 1989-01-06 07:30:00, None, 1.0
0.0, 0.0, 0.0, -2.0, 2.0, 1989-01-06 16:00:00, None, 1.0
-5.0, 0.0, 0.0, -5.0, -1.0, 1989-01-07 06:35:00, None, 0.0
