station_observations
CURRENT_AIR_TEMPERATURE1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
3.5, 0.0, 0.0, 0.0, 4.5, 1988-11-01 07:00:00, None, 0.0
5.0, 0.0, 0.0, 3.0, 6.0, 1988-11-01 15:30:00, None, 0.0
0.0, 0.0, 0.0, -0.5, 5.0, 1988-11-02 07:00:00, None, 0.0
4.0, 0.0, 0.0, 0.0, 4.5, 1988-11-02 15:00:00, None, 0.0
3.0, 0.0, 0.0, 1.0, 5.0, 1988-11-03 07:00:00, None, 0.0
6.0, 0.0, 0.0, 2.5, 6.5, 1988-11-03 16:00:00, None, 0.0
1.0, 0.0, 0.0, 0.5, 6.0, 1988-11-04 07:30:00, None, 0.0
3.5, 0.0, 0.0, 1.5, 6.5, 1988-11-06 06:10:00, None, 0.0
3.0, 0.0, 0.0, 3.0, 4.0, 1988-11-06 13:40:00, None, 0.0
-2.5, None, None, -3.0, 3.5, 1988-11-07 06:00:00, None, None
3.5, None, None, -3.5, 3.5, 1988-11-07 14:50:00, None, None
-3.0, None, None, -3.0, 3.5, 1988-11-08 05:30:00, None, None
2.0, None, None, -4.5, 3.0, 1988-11-08 14:00:00, None, None
-0.5, None, None, -4.0, 2.5, 1988-11-09 05:30:00, None, None
4.5, None, None, -1.0, 4.5, 1988-11-09 13:40:00, None, None
2.0, 0.0, 0.0, -1.0, 4.5, 1988-11-10 06:00:00, None, 0.0
3.5, None, None, 1.0, 3.5, 1988-11-10 13:42:00, None, None
-0.5, None, None, -1.0, 4.0, 1988-11-11 06:40:00, None, None
1.5, None, None, -2.0, 1.5, 1988-11-11 14:00:00, None, None
0.0, 7.0, 7.0, -2.0, 2.0, 1988-11-12 06:00:00, None, 7.0
2.5, 0.0, 0.0, 0.0, 2.5, 1988-11-12 14:00:00, None, 5.0
-1.0, 0.0, 0.0, -1.5, 3.5, 1988-11-13 06:00:00, None, 7.0
1.5, 0.0, 0.0, -1.0, 2.0, 1988-11-13 14:00:00, None, 7.0
-0.5, 0.0, 0.0, -1.0, 2.0, 1988-11-14 05:30:00, None, 5.0
0.0, 0.0, 0.0, -3.5, 0.0, 1988-11-14 14:00:00, None, 5.0
-3.0, 0.0, 0.0, -3.0, 0.0, 1988-11-15 05:30:00, None, 5.0
