station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-6.0, None, 1.0, 1.0, -6.5, -1.5, 1992-01-02 05:20:00, 1.0, 70.0
-4.0, None, 0.0, 0.0, None, None, 1992-01-15 16:07:00, 0.0, 54.0
-7.5, None, 2.0, 2.0, -7.5, 0.0, 1992-01-16 05:55:00, 4.0, 56.0
-5.0, None, 0.0, 0.0, -8.0, -2.0, 1992-01-16 16:00:00, 1.0, 56.0
-8.0, None, 0.0, 0.0, -8.0, -4.0, 1992-01-17 06:15:00, 0.0, 56.0
-1.0, None, 0.0, 0.0, -12.0, -1.0, 1992-01-17 16:00:00, 0.0, 55.0
-4.0, None, 0.0, 0.0, -6.0, -1.0, 1992-01-18 05:00:00, 0.0, 55.0
-7.5, None, 0.0, 0.0, -14.0, -4.0, 1992-01-18 16:00:00, 0.0, 55.0
-10.0, None, 0.0, 0.0, -10.5, -1.5, 1992-01-19 05:00:00, 0.0, 55.0
-5.5, None, 0.0, 0.0, -15.0, -3.0, 1992-01-19 16:20:00, 0.0, 55.0
-12.0, None, 0.0, 0.0, -12.5, -2.5, 1992-01-20 05:30:00, 0.0, 55.0
-9.5, None, 0.0, 0.0, -12.5, -8.5, 1992-01-20 16:00:00, 0.0, 55.0
-9.0, None, 0.0, 0.0, -9.5, -6.5, 1992-01-21 05:30:00, 0.0, 55.0
-8.5, None, 1.0, 1.0, -11.5, -5.5, 1992-01-21 17:00:00, 0.0, 55.0
-7.0, None, 0.0, 0.0, -8.5, -6.5, 1992-01-22 05:30:00, 0.0, 55.0
-6.0, None, 0.0, 0.0, -8.0, -2.5, 1992-01-22 17:00:00, 0.0, 55.0
-1.0, None, 2.0, 2.0, -6.0, -1.0, 1992-01-23 05:30:00, 1.0, 57.0
2.0, None, 0.0, 0.0, -1.0, 2.0, 1992-01-23 17:50:00, 0.0, 56.0
-1.0, None, 2.0, 2.0, -1.0, 2.0, 1992-01-24 05:50:00, 1.0, 57.0
-1.0, None, 2.0, 2.0, -8.0, 1.5, 1992-01-24 16:50:00, 1.0, 59.0
-1.0, None, 0.0, 0.0, -3.0, 1.0, 1992-01-25 05:45:00, 0.0, 58.0
-1.5, None, 6.0, 6.0, -1.5, 1.0, 1992-01-25 16:15:00, 1.0, 61.0
-6.5, None, 0.0, 0.0, -7.0, -0.5, 1992-01-26 05:30:00, 1.0, 60.0
1.5, None, 0.0, 0.0, -6.5, 1.5, 1992-01-26 16:00:00, 0.0, 60.0
-4.0, None, 1.0, 1.0, -5.0, 1.5, 1992-01-27 05:30:00, 0.0, 61.0
-2.5, None, 2.0, 2.0, -4.5, -2.5, 1992-01-27 16:15:00, 2.0, 63.0
-1.0, None, 1.0, 1.0, -3.0, -1.0, 1992-01-28 05:45:00, 2.0, 64.0
-2.0, None, 1.0, 1.0, -3.5, 0.0, 1992-01-28 17:30:00, 4.0, 65.0
-3.0, None, 2.0, 1.0, -5.0, -1.5, 1992-01-29 05:20:00, 1.0, 66.0
-1.0, None, 0.0, 0.0, -3.0, -1.0, 1992-01-29 17:00:00, 0.0, 64.0
-1.0, None, 1.0, 1.0, -1.0, -0.5, 1992-01-30 05:30:00, 1.0, 65.0
1.0, None, 1.0, 1.0, -1.0, 2.0, 1992-01-30 16:25:00, 1.0, 66.0
-0.5, None, 1.0, 0.0, -1.5, 5.0, 1992-01-31 05:15:00, 1.0, 66.0
-3.0, None, 0.0, 0.0, -3.5, 0.0, 1992-02-01 05:00:00, 1.0, 67.0
-1.5, None, 2.0, 2.0, -3.5, 0.0, 1992-02-01 16:45:00, 0.0, 69.0
-4.0, None, 0.0, 0.0, -6.5, -1.0, 1992-02-02 17:45:00, 0.0, 70.0
-3.0, 95.0, 0.0, 0.0, -3.5, 1.0, 1992-02-03 05:00:00, 0.0, 72.0
-5.0, None, 0.0, 0.0, -7.0, -4.0, 1992-02-03 05:35:00, 0.0, 69.0
-2.0, 95.0, 0.0, 0.0, -2.0, 2.0, 1992-02-03 17:00:00, 0.0, 68.0
-5.0, 90.0, 0.0, 0.0, -6.0, -2.0, 1992-02-04 05:20:00, 0.0, 68.0
-4.5, 70.0, 0.0, 0.0, -5.0, 2.0, 1992-02-04 17:45:00, 0.0, 68.0
-1.5, 75.0, 0.0, 0.0, -4.0, 2.0, 1992-02-05 16:45:00, 0.0, 68.0
-5.0, None, 0.0, 0.0, -5.0, 2.0, 1992-02-06 05:50:00, 0.0, 68.0
-3.0, 75.0, 0.0, 0.0, -6.0, 2.0, 1992-02-06 17:15:00, 0.0, 66.0
-4.0, 70.0, 0.0, 0.0, -5.0, -1.0, 1992-02-07 05:45:00, 0.0, 66.0
-1.0, 78.0, 0.0, 0.0, -5.0, 3.0, 1992-02-07 16:30:00, 0.0, 65.0
-4.0, 100.0, 2.0, 2.0, -4.5, 3.0, 1992-02-08 05:30:00, 1.0, 67.0
-3.0, 96.0, 2.0, 1.0, -4.0, -3.0, 1992-02-08 16:30:00, 0.0, 69.0
-4.0, 92.0, 0.0, 0.0, -4.5, -3.0, 1992-02-09 05:30:00, 0.0, 68.0
-5.5, 95.0, 0.0, 0.0, -5.5, -1.0, 1992-02-09 17:10:00, 0.0, 68.0
-2.5, 100.0, 0.0, 0.0, -7.5, -2.5, 1992-02-10 05:45:00, 0.0, 68.0
-1.0, 100.0, 0.0, 0.0, -2.5, -1.0, 1992-02-10 16:00:00, 0.0, 68.0
-1.0, 100.0, 0.0, 0.0, -2.0, -1.0, 1992-02-11 05:30:00, 0.0, 68.0
0.0, 100.0, 0.0, 0.0, -1.5, 0.0, 1992-02-11 17:15:00, 0.0, None
-1.5, 100.0, 1.0, 1.0, -2.0, -1.0, 1992-02-12 05:00:00, 0.0, 67.0
0.0, 100.0, 0.0, 0.0, -2.0, 0.0, 1992-02-12 16:45:00, 2.0, 67.0
-2.0, 100.0, 1.0, 1.0, -2.5, -1.0, 1992-02-13 05:00:00, 1.0, 68.0
0.0, 95.0, 0.0, 0.0, -3.0, 1.0, 1992-02-13 16:15:00, 0.0, 66.0
-3.0, 100.0, 0.0, 0.0, -3.0, 0.0, 1992-02-14 05:45:00, 0.0, 66.0
-2.0, 95.0, 0.0, 0.0, -3.5, -1.0, 1992-02-14 17:30:00, 0.0, 66.0
-2.0, None, 1.0, 1.0, -4.5, -1.0, 1992-02-15 05:15:00, 0.0, 67.0
-4.0, 90.0, 14.0, 13.0, -4.0, -1.0, 1992-02-15 17:40:00, 9.0, 80.0
-8.0, 92.0, 0.0, 0.0, -8.0, -4.0, 1992-02-16 05:00:00, 0.0, 80.0
-5.5, 90.0, 0.0, 0.0, -8.5, -2.5, 1992-02-16 17:20:00, 0.0, 76.0
-9.0, 95.0, 0.0, 0.0, -9.5, -5.0, 1992-02-17 05:50:00, 0.0, 76.0
-5.0, 97.0, 1.0, 1.0, -9.0, -5.0, 1992-02-17 17:20:00, 1.0, 74.0
-5.0, None, 1.0, 1.0, -9.0, -4.5, 1992-02-18 05:00:00, 1.0, 75.0
-7.0, 95.0, 5.0, 4.0, -7.0, -5.0, 1992-02-18 17:25:00, 3.0, 78.0
-11.0, 88.0, 3.0, 3.0, -11.0, -7.0, 1992-02-19 05:30:00, 2.0, 78.0
-8.5, 90.0, 2.0, 2.0, -11.0, -7.0, 1992-02-19 17:45:00, 0.0, 80.0
-7.0, 97.0, 4.0, 4.0, -10.0, -7.0, 1992-02-20 05:30:00, 2.0, 85.0
-4.0, 99.0, 2.0, 2.0, -10.0, -2.5, 1992-02-20 16:45:00, 2.0, 87.0
-5.5, 98.0, 1.0, 1.0, -5.5, -1.5, 1992-02-21 05:30:00, 1.0, 86.0
-2.0, 99.0, 3.0, 2.0, -5.5, -2.0, 1992-02-21 16:30:00, 3.0, 88.0
-2.0, 90.0, 0.0, 0.0, -5.5, -1.0, 1992-02-22 06:30:00, 0.0, 88.0
-3.0, 70.0, 3.0, 3.0, -3.0, -1.5, 1992-02-22 16:30:00, 2.0, 90.0
-6.5, 72.0, 0.0, 0.0, -8.5, -3.0, 1992-02-23 05:15:00, 0.0, 90.0
-4.0, 90.0, 0.0, 0.0, -7.0, -1.0, 1992-02-23 17:15:00, 0.0, 89.0
0.0, 97.0, 4.0, 4.0, -5.0, 0.0, 1992-02-24 05:30:00, 2.0, 93.0
1.0, 92.0, 0.0, 0.0, 0.0, 3.0, 1992-02-24 17:30:00, 1.0, 80.0
2.5, 95.0, 0.0, 0.0, -1.0, 3.0, 1992-02-25 05:50:00, 0.0, 80.0
6.5, 75.0, 0.0, 0.0, 2.0, 9.5, 1992-02-25 16:30:00, 0.0, 78.0
2.0, 80.0, 0.0, 0.0, 1.5, 2.0, 1992-02-26 05:00:00, 0.0, 75.0
8.5, 45.0, 0.0, 0.0, 2.0, 11.0, 1992-02-26 16:30:00, 0.0, 75.0
3.0, 35.0, 0.0, 0.0, 3.0, 8.5, 1992-02-27 05:15:00, 0.0, 72.0
6.5, 54.0, 0.0, 0.0, 3.0, 8.5, 1992-02-27 16:30:00, 0.0, 72.0
3.0, 53.0, 0.0, 0.0, 2.0, 3.0, 1992-02-28 05:20:00, 0.0, 72.0
6.0, 52.0, 0.0, 0.0, 3.0, 9.0, 1992-02-28 16:00:00, 0.0, 70.0
1.0, 55.0, 0.0, 0.0, 1.0, 6.5, 1992-02-29 05:30:00, 0.0, 70.0
4.5, 55.0, 0.0, 0.0, 0.0, 6.0, 1992-02-29 16:00:00, 0.0, 70.0
0.0, 100.0, 3.0, 3.0, 0.0, 5.0, 1992-03-01 05:00:00, 1.0, 73.0
1.0, 80.0, 0.0, 0.0, 1.0, 5.0, 1992-03-01 16:45:00, 1.0, 73.0
-1.5, 95.0, 4.0, 4.0, -1.5, 4.0, 1992-03-02 05:00:00, 1.0, 75.0
0.0, 100.0, 0.0, 0.0, -2.0, 1.0, 1992-03-02 17:30:00, 1.0, 72.0
0.0, 98.0, 1.0, 1.0, -3.0, 1.5, 1992-03-03 17:00:00, 0.0, 73.0
-5.0, 98.0, 1.0, 1.0, -5.0, 0.0, 1992-03-04 05:00:00, 0.0, 74.0
-2.0, 100.0, 0.0, 0.0, -5.0, -1.5, 1992-03-04 16:15:00, 0.0, 74.0
-2.0, 100.0, 1.0, 1.0, -2.0, -1.0, 1992-03-05 05:00:00, 1.0, 75.0
1.5, 88.0, 0.0, 0.0, -2.5, 2.5, 1992-03-05 16:30:00, 0.0, 74.0
0.0, 72.0, 0.0, 0.0, -2.0, 1.5, 1992-03-06 05:00:00, 0.0, 74.0
