station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
9.5, 60.0, None, None, 5.5, None, 9.5, 1981-12-17 07:10:00, None, None, 0.0
10.0, 70.0, None, None, 7.0, None, 13.0, 1981-12-17 17:15:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-18 06:00:00, 1.0, None, None
8.0, 85.0, None, None, 7.0, None, 12.0, 1981-12-18 06:45:00, None, None, 0.0
7.0, 89.0, None, None, 0.0, None, 7.0, 1981-12-18 19:20:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-19 06:00:00, 13.0, None, None
5.0, 95.0, None, None, 0.0, None, 8.0, 1981-12-19 06:45:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-19 18:00:00, 24.0, None, None
5.0, 90.0, None, None, 0.0, None, 6.0, 1981-12-19 19:15:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-20 06:00:00, 7.0, None, None
4.5, 84.0, None, None, 3.5, None, 4.5, 1981-12-20 06:50:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-20 18:00:00, 9.0, None, None
1.0, None, 1.0, 1.0, 1.0, None, 5.0, 1981-12-20 19:15:00, None, None, 1.0
None, None, None, None, None, None, None, 1981-12-21 06:00:00, 8.0, None, None
1.0, 98.0, 5.0, 5.0, -7.0, None, 2.0, 1981-12-21 09:00:00, None, None, 5.0
None, None, None, None, None, None, None, 1981-12-21 18:00:00, 9.0, None, None
2.0, 88.0, 5.0, 5.0, 0.0, None, 2.0, 1981-12-21 18:05:00, None, None, 5.0
None, None, None, None, None, None, None, 1981-12-22 06:00:00, 1.0, None, None
4.0, 80.0, None, None, 0.0, None, 5.0, 1981-12-22 06:45:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-22 18:00:00, 4.0, None, None
5.0, 90.0, None, None, 0.0, None, 5.0, 1981-12-22 18:10:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-23 06:00:00, 5.0, None, None
5.0, 100.0, None, None, 0.0, None, 5.0, 1981-12-23 06:30:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-23 18:00:00, 7.0, None, None
3.5, None, None, None, 2.5, None, 4.0, 1981-12-23 19:00:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-24 06:00:00, 5.0, None, None
2.5, 85.0, None, None, 2.0, None, 6.0, 1981-12-24 06:30:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-24 18:00:00, 10.0, None, None
4.5, 90.0, None, None, 2.5, None, 7.5, 1981-12-24 18:30:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-25 06:00:00, 2.0, None, None
None, None, None, None, None, None, None, 1981-12-25 18:00:00, 15.0, None, None
None, None, None, None, None, None, None, 1981-12-26 06:00:00, 1.0, None, None
None, None, None, None, None, None, None, 1981-12-26 18:00:00, 2.0, None, None
2.0, 95.0, None, None, -7.0, None, 5.0, 1981-12-27 07:50:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-27 18:00:00, 1.0, None, None
0.0, 95.0, None, None, 0.0, None, 2.0, 1981-12-27 19:05:00, None, None, 0.0
None, None, None, None, None, None, None, 1981-12-28 06:00:00, 2.0, None, None
-1.5, 88.0, None, None, -9.0, None, 7.0, 1981-12-28 08:30:00, None, None, 0.0
