station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-5.0, 70.0, None, None, -5.0, -4.0, 1979-11-29 18:00:00, None, None
-6.0, 100.0, None, None, -6.0, -5.0, 1979-11-30 06:00:00, None, None
-2.0, 99.0, None, None, -7.0, -1.0, 1979-11-30 18:00:00, None, None
-5.0, 99.0, None, None, -7.0, -3.0, 1979-12-01 06:00:00, None, None
-6.0, 96.0, None, None, -6.0, -5.0, 1979-12-01 18:00:00, None, None
-7.0, 99.0, None, None, -7.0, -6.0, 1979-12-02 06:00:00, None, None
-1.0, 99.0, None, None, -7.0, -1.0, 1979-12-02 18:00:00, None, None
-4.0, 99.0, None, None, -4.0, -2.0, 1979-12-03 06:00:00, None, None
0.0, 99.0, None, None, -4.5, 0.0, 1979-12-03 18:00:00, None, None
0.0, 99.0, None, None, -1.0, 2.0, 1979-12-04 06:00:00, None, None
-0.5, 99.0, None, None, -0.5, 0.0, 1979-12-04 18:00:00, None, None
-1.0, 99.0, None, None, -1.0, -1.0, 1979-12-05 06:00:00, None, None
-1.0, 99.0, None, None, -1.0, 0.0, 1979-12-05 18:00:00, None, None
1.0, 99.0, None, None, 0.0, 1.0, 1979-12-06 06:00:00, None, None
1.0, 99.0, None, None, 1.0, 1.5, 1979-12-06 18:00:00, None, None
0.0, 99.0, None, None, 0.0, 1.0, 1979-12-07 06:00:00, None, None
0.5, 99.0, None, None, 0.0, 1.0, 1979-12-07 18:00:00, None, None
1.5, 99.0, None, None, 0.5, 1.5, 1979-12-08 06:00:00, None, None
2.0, 99.0, None, None, 1.0, 3.0, 1979-12-08 18:00:00, None, None
4.0, 99.0, None, None, 2.0, 4.0, 1979-12-09 06:00:00, None, None
-0.5, 96.0, None, None, -1.0, 4.0, 1979-12-09 18:00:00, None, None
-7.0, 96.0, None, None, -7.0, 0.0, 1979-12-10 06:00:00, None, None
-9.0, 95.0, None, None, -13.0, -4.0, 1979-12-10 18:00:00, None, None
-6.0, 96.0, None, None, -12.0, -6.0, 1979-12-11 06:00:00, None, None
-3.0, 98.0, None, None, -6.0, -3.0, 1979-12-11 18:00:00, None, None
-6.0, 99.0, None, None, -6.0, -3.0, 1979-12-12 06:00:00, None, None
-6.0, 99.0, None, None, -7.0, -6.0, 1979-12-12 18:00:00, None, None
-6.0, 99.0, None, None, -6.0, -5.5, 1979-12-13 06:00:00, None, None
-1.0, 99.0, None, None, -6.0, -1.0, 1979-12-13 18:00:00, None, None
0.0, 99.0, None, None, -1.0, 0.0, 1979-12-14 06:00:00, None, None
-10.0, 97.0, None, None, -10.0, 0.0, 1979-12-14 18:00:00, None, None
-15.0, 87.0, None, None, -15.0, -10.0, 1979-12-15 06:00:00, None, None
-23.0, 87.0, None, None, -23.0, -15.0, 1979-12-15 18:00:00, None, None
-20.0, 87.0, 87.0, None, -23.0, -20.0, 1979-12-16 06:00:00, None, None
-11.0, 92.0, None, None, -19.0, -11.0, 1979-12-16 18:00:00, None, None
-2.0, 99.0, None, None, -11.0, -2.0, 1979-12-17 06:00:00, None, None
1.0, 99.0, None, None, -2.0, 1.0, 1979-12-17 18:00:00, None, None
0.0, 99.0, None, None, 0.0, 1.0, 1979-12-18 06:00:00, None, None
1.0, 99.0, None, None, 0.0, 1.0, 1979-12-18 18:00:00, None, None
0.0, 99.0, None, None, -0.5, 2.0, 1979-12-19 06:00:00, None, None
-1.5, 99.0, None, None, -1.5, 0.0, 1979-12-19 18:00:00, None, None
-2.0, 99.0, None, None, -2.0, -1.5, 1979-12-20 06:00:00, None, None
0.5, 94.0, None, None, 0.5, 2.5, 1979-12-20 18:00:00, None, None
-4.0, 97.0, None, None, -4.0, 1.0, 1979-12-21 06:00:00, None, None
-2.0, 99.0, None, None, -4.0, 2.0, 1979-12-21 18:00:00, None, None
-7.0, 90.0, None, None, -7.0, -2.0, 1979-12-22 06:00:00, None, None
-15.0, 96.0, None, None, -15.0, -2.0, 1979-12-22 18:00:00, None, None
-11.0, 97.0, None, None, -17.0, -11.0, 1979-12-23 06:00:00, None, None
-4.0, 65.0, None, None, -12.0, -3.0, 1979-12-23 18:00:00, None, None
-5.0, 85.0, None, None, -5.0, -4.0, 1979-12-24 06:00:00, None, None
-2.0, 77.0, None, None, -9.0, 0.0, 1979-12-24 18:00:00, None, None
-5.0, 96.0, None, None, -7.0, -2.0, 1979-12-25 06:00:00, None, None
-1.0, 98.0, None, None, -5.0, 0.0, 1979-12-25 18:00:00, None, None
-1.0, 97.0, None, None, -1.0, 0.0, 1979-12-26 06:00:00, None, None
-1.0, 99.0, None, None, -1.0, -1.0, 1979-12-26 18:00:00, None, None
-4.0, 98.0, None, None, -4.0, -1.0, 1979-12-27 06:00:00, None, None
-3.0, 98.0, None, None, -8.0, -3.0, 1979-12-27 18:00:00, None, None
-9.0, 99.0, None, None, -9.0, -7.0, 1979-12-28 06:00:00, None, None
-3.0, 91.0, None, None, -9.0, -3.0, 1979-12-28 18:00:00, None, None
-7.0, 99.0, None, None, -7.0, -3.0, 1979-12-29 06:00:00, None, None
0.0, 96.0, None, None, -2.0, 1.0, 1979-12-29 18:00:00, None, None
0.0, 96.0, None, None, 0.0, 0.0, 1979-12-30 06:00:00, None, None
-5.0, 96.0, None, None, -5.0, -3.0, 1979-12-30 18:00:00, None, None
-6.0, 99.0, None, None, -8.0, -5.0, 1979-12-31 06:00:00, None, None
-3.0, 99.0, None, None, -3.0, -1.0, 1979-12-31 18:00:00, None, None
-5.0, 99.0, None, None, -6.0, -2.0, 1980-01-01 06:00:00, None, None
-2.0, 99.0, None, None, -2.0, 0.0, 1980-01-01 18:00:00, None, None
-3.0, 95.0, None, None, -4.5, -2.5, 1980-01-02 06:00:00, None, None
-4.0, 99.0, None, None, -4.0, -1.0, 1980-01-02 18:00:00, None, None
-4.0, 99.0, None, None, -4.0, -4.0, 1980-01-03 06:00:00, None, None
-4.0, 99.0, None, None, -4.0, -3.0, 1980-01-03 18:00:00, None, None
