station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, ATMOSPHERIC_PRESSURE, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, 4.2, 80.0, None, 1985-12-23 08:00:00, 3.8, None, None, None, None, 4.2, 2.0, None, None
None, 6.5, 80.0, None, 1985-12-23 10:00:00, 3.8, None, None, None, None, 6.5, 4.0, None, None
None, 5.7, 106.0, None, 1986-06-05 00:00:00, 5.7, None, None, None, None, 7.9, -4.0, None, None
None, 5.4, 110.0, None, 1986-06-05 01:00:00, 5.4, None, None, None, None, 7.9, -8.0, None, None
None, 5.0, 114.0, None, 1986-06-05 02:00:00, 5.0, None, None, None, None, 7.9, -7.0, None, None
None, 5.2, 112.0, None, 1986-06-05 03:00:00, 5.0, None, None, None, None, 7.9, -6.0, None, None
None, 4.9, 114.0, None, 1986-06-05 04:00:00, 4.9, None, None, None, None, 7.9, -5.0, None, None
None, 4.7, 115.0, None, 1986-06-05 05:00:00, 4.7, None, None, None, None, 7.9, -5.0, None, None
None, 4.8, 115.0, None, 1986-06-05 06:00:00, 4.7, None, None, None, None, 7.9, -5.0, None, None
None, 4.7, 116.0, None, 1986-06-05 07:00:00, 4.7, None, None, None, None, 4.7, -2.0, None, None
None, 4.6, 117.0, None, 1986-06-05 08:00:00, 4.6, None, None, None, None, 4.7, -5.0, None, None
None, 5.4, 116.0, None, 1986-06-05 09:00:00, 4.6, None, None, None, None, 5.4, None, None, None
None, 9.0, 98.0, None, 1986-06-05 10:00:00, 4.6, None, None, None, None, 9.0, -3.0, None, None
None, 9.4, 82.0, None, 1986-06-05 11:00:00, 4.6, None, None, None, None, 9.4, -2.0, None, None
None, 9.5, 80.0, None, 1986-06-05 12:00:00, 4.6, None, None, None, None, 9.5, -4.0, None, None
None, 11.7, 73.0, None, 1986-06-05 13:00:00, 4.6, None, None, None, None, 11.7, 1.0, None, None
None, 13.1, 68.0, None, 1986-06-05 14:00:00, 4.6, None, None, None, None, 13.1, 3.0, None, None
None, 12.7, 62.0, None, 1986-06-05 15:00:00, 4.6, None, None, None, None, 13.1, 8.0, None, None
None, 14.5, 57.0, None, 1986-06-05 16:00:00, 4.6, None, None, None, None, 14.5, 7.0, None, None
None, 12.4, 62.0, None, 1986-06-05 17:00:00, 4.6, None, None, None, None, 14.5, 6.0, None, None
None, 11.3, 66.0, None, 1986-06-05 18:00:00, 4.6, None, None, None, None, 14.5, 6.0, None, None
None, 9.1, 78.0, None, 1986-06-05 19:00:00, 9.1, None, None, None, None, 9.1, -1.0, None, None
None, 6.5, 98.0, None, 1986-06-05 20:00:00, 6.5, None, None, None, None, 9.1, -2.0, None, None
None, 5.5, 109.0, None, 1986-06-05 21:00:00, 5.5, None, None, None, None, 9.1, -3.0, None, None
None, 4.9, 112.0, None, 1986-06-05 22:00:00, 4.9, None, None, None, None, 9.1, -5.0, None, None
None, 4.1, 117.0, None, 1986-06-05 23:00:00, 4.1, None, None, None, None, 9.1, -7.0, None, None
None, 3.8, 117.0, None, 1986-06-06 00:00:00, 3.8, None, None, None, None, 9.1, -6.0, None, None
None, 2.8, 119.0, None, 1986-06-06 01:00:00, 2.8, None, None, None, None, 9.1, 1.0, None, None
None, 2.5, 120.0, None, 1986-06-06 02:00:00, 2.5, None, None, None, None, 9.1, 1.0, None, None
None, 2.7, 121.0, None, 1986-06-06 03:00:00, 2.5, None, None, None, None, 9.1, 1.0, None, None
None, 2.8, 121.0, None, 1986-06-06 04:00:00, 2.5, None, None, None, None, 9.1, -2.0, None, None
None, 3.1, 119.0, None, 1986-06-06 05:00:00, 2.5, None, None, None, None, 9.1, 0.0, None, None
None, 3.4, 114.0, None, 1986-06-06 06:00:00, 2.5, None, None, None, None, 9.1, 1.0, None, None
None, 3.3, 116.0, None, 1986-06-06 07:00:00, 3.3, None, None, None, None, 3.3, -1.0, None, None
None, 3.3, 118.0, None, 1986-06-06 08:00:00, 3.3, None, None, None, None, 3.3, -5.0, None, None
None, 3.4, 118.0, None, 1986-06-06 09:00:00, 3.3, None, None, None, None, 3.4, None, None, None
None, 3.6, 118.0, None, 1986-06-06 10:00:00, 3.3, None, None, None, None, 3.6, None, None, None
None, 5.0, 117.0, None, 1986-06-06 11:00:00, 3.3, None, None, None, None, 5.0, None, None, None
None, 10.0, 79.0, None, 1986-06-06 12:00:00, 3.3, None, None, None, None, 10.0, -9.0, None, None
