station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, WIND_DIRECTION_STD_DEVIATION1, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MAXIMUM_MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1
None, None, None, None, 1989-12-07 09:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-07 10:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-07 11:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-07 12:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-07 13:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-07 14:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-07 15:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-07 16:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-07 17:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-07 18:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-07 19:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-07 20:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-07 21:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-07 22:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-07 23:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-08 00:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-08 01:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-08 02:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-08 03:00:00, 115.0, 3.0, None, None, 21.0
None, None, None, None, 1989-12-08 04:00:00, 115.0, 5.0, None, None, 21.0
None, None, None, None, 1989-12-08 05:00:00, 115.0, 7.0, None, None, 21.0
None, None, None, None, 1989-12-08 06:00:00, 115.0, 8.0, None, None, 21.0
None, None, None, None, 1989-12-08 07:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-08 08:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-08 09:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-08 10:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-08 11:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-08 12:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-08 13:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-08 14:00:00, 115.0, 3.0, None, None, 21.0
None, None, None, None, 1989-12-08 15:00:00, 115.0, 3.0, None, None, 21.0
None, None, None, None, 1989-12-08 16:00:00, 115.0, 3.0, None, None, 21.0
None, None, None, None, 1989-12-08 17:00:00, 115.0, 4.0, None, None, 21.0
None, None, None, None, 1989-12-08 18:00:00, 115.0, 4.0, None, None, 21.0
None, None, None, None, 1989-12-08 19:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-08 20:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-08 21:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-08 22:00:00, 115.0, 3.0, None, None, 21.0
None, None, None, None, 1989-12-08 23:00:00, 115.0, 4.0, None, None, 21.0
None, None, None, None, 1989-12-09 00:00:00, 115.0, 6.0, None, None, 21.0
None, None, None, None, 1989-12-09 01:00:00, 115.0, 7.0, None, None, 21.0
None, None, None, None, 1989-12-09 02:00:00, 115.0, 6.0, None, None, 21.0
None, None, None, None, 1989-12-09 03:00:00, 115.0, 7.0, None, None, 21.0
None, None, None, None, 1989-12-09 04:00:00, 115.0, 7.0, None, None, 21.0
None, None, None, None, 1989-12-09 05:00:00, 115.0, 8.0, None, None, 21.0
None, None, None, None, 1989-12-09 06:00:00, 115.0, 9.0, None, None, 21.0
None, None, None, None, 1989-12-09 07:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-09 08:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-09 09:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-09 10:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-09 11:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-09 12:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-09 13:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-09 14:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-09 15:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-09 16:00:00, 115.0, 3.0, None, None, 21.0
None, None, None, None, 1989-12-09 17:00:00, 115.0, 3.0, None, None, 21.0
None, None, None, None, 1989-12-09 18:00:00, 115.0, 3.0, None, None, 21.0
None, None, None, None, 1989-12-09 19:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-09 20:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-09 21:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-09 22:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-09 23:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 00:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 01:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 02:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 03:00:00, 115.0, 2.0, None, None, 21.0
None, None, None, None, 1989-12-10 04:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 05:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-10 06:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 07:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 08:00:00, 115.0, -2.0, None, None, 21.0
None, None, None, None, 1989-12-10 09:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 10:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 11:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-10 12:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 13:00:00, 115.0, -2.0, None, None, 21.0
None, None, None, None, 1989-12-10 14:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 15:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 16:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 17:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 18:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 19:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-10 20:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-10 21:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-10 22:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-10 23:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-11 00:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-11 01:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-11 02:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-11 03:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-11 04:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-11 05:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-11 06:00:00, 115.0, 1.0, None, None, 21.0
None, None, None, None, 1989-12-11 07:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-11 08:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-11 09:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-11 10:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-11 11:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-11 12:00:00, 115.0, -2.0, None, None, 21.0
None, None, None, None, 1989-12-11 13:00:00, 115.0, -2.0, None, None, 21.0
None, None, None, None, 1989-12-11 14:00:00, 115.0, -2.0, None, None, 21.0
None, None, None, None, 1989-12-11 15:00:00, 115.0, -2.0, None, None, 21.0
None, None, None, None, 1989-12-11 16:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-11 17:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-11 18:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-11 19:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-11 20:00:00, 115.0, -1.0, None, None, 21.0
None, None, None, None, 1989-12-11 21:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-11 22:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-11 23:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-12 00:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-12 01:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-12 02:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-12 03:00:00, 115.0, 0.0, None, None, 21.0
None, None, None, None, 1989-12-12 04:00:00, 115.0, 0.0, None, None, 21.0
