station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, ATMOSPHERIC_PRESSURE, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -11.2, 71.0, None, 1986-11-25 18:00:00, -11.4, None, None, None, None, -8.5, None, None, None
None, -11.2, 71.0, None, 1986-11-25 19:00:00, -11.2, None, None, None, None, -11.2, None, None, None
None, -10.8, 70.0, None, 1986-11-25 20:00:00, -11.2, None, None, None, None, -10.8, None, None, None
None, -10.6, 70.0, None, 1986-11-25 21:00:00, -11.2, None, None, None, None, -10.6, None, None, None
None, -10.4, 69.0, None, 1986-11-25 22:00:00, -11.2, None, None, None, None, -10.4, None, None, None
None, -10.7, 70.0, None, 1986-11-25 23:00:00, -11.2, None, None, None, None, -10.4, None, None, None
None, -11.3, 71.0, None, 1986-11-26 00:00:00, -11.3, None, None, None, None, -10.4, None, None, None
None, -11.3, 71.0, None, 1986-11-26 01:00:00, -11.3, None, None, None, None, -10.4, None, None, None
None, -11.2, 71.0, None, 1986-11-26 02:00:00, -11.3, None, None, None, None, -10.4, None, None, None
None, -10.8, 70.0, None, 1986-11-26 03:00:00, -11.3, None, None, None, None, -10.4, None, None, None
None, -11.4, 71.0, None, 1986-11-26 04:00:00, -11.4, None, None, None, None, -10.4, None, None, None
None, -11.5, 72.0, None, 1986-11-26 05:00:00, -11.5, None, None, None, None, -10.4, None, None, None
None, -11.9, 72.0, None, 1986-11-26 06:00:00, -11.9, None, None, None, None, -10.4, None, None, None
None, -12.3, 73.0, None, 1986-11-26 07:00:00, -12.3, None, None, None, None, -12.3, None, None, None
None, -12.5, 74.0, None, 1986-11-26 08:00:00, -12.5, None, None, None, None, -12.3, None, None, None
None, -12.5, 74.0, None, 1986-11-26 09:00:00, -12.5, None, None, None, None, -12.3, None, None, None
None, -12.1, 73.0, None, 1986-11-26 10:00:00, -12.5, None, None, None, None, -12.1, None, None, None
None, -11.8, 72.0, None, 1986-11-26 11:00:00, -12.5, None, None, None, None, -11.8, None, None, None
None, -11.5, 71.0, None, 1986-11-26 12:00:00, -12.5, None, None, None, None, -11.5, None, None, None
None, -11.2, 71.0, None, 1986-11-26 13:00:00, -12.5, None, None, None, None, -11.2, None, None, None
None, -10.2, 68.0, None, 1986-11-26 14:00:00, -12.5, None, None, None, None, -10.2, None, None, None
None, -9.7, 67.0, None, 1986-11-26 15:00:00, -12.5, None, None, None, None, -9.7, None, None, None
None, -9.8, 68.0, None, 1986-11-26 16:00:00, -12.5, None, None, None, None, -9.7, None, None, None
None, -9.6, 67.0, None, 1986-11-26 17:00:00, -12.5, None, None, None, None, -9.6, None, None, None
None, -9.6, 67.0, None, 1986-11-26 18:00:00, -12.5, None, None, None, None, -9.6, None, None, None
None, -9.8, 68.0, None, 1986-11-26 19:00:00, -9.8, None, None, None, None, -9.8, None, None, None
None, -10.3, 69.0, None, 1986-11-26 20:00:00, -10.3, None, None, None, None, -9.8, None, None, None
None, -10.9, 70.0, None, 1986-11-26 21:00:00, -10.9, None, None, None, None, -9.8, None, None, None
None, -11.0, 71.0, None, 1986-11-26 22:00:00, -11.0, None, None, None, None, -9.8, None, None, None
None, -10.9, 70.0, None, 1986-11-26 23:00:00, -11.0, None, None, None, None, -9.8, None, None, None
None, -10.9, 70.0, None, 1986-11-27 00:00:00, -11.0, None, None, None, None, -9.8, None, None, None
None, -11.2, 71.0, None, 1986-11-27 01:00:00, -11.2, None, None, None, None, -9.8, None, None, None
None, -11.3, 71.0, None, 1986-11-27 02:00:00, -11.3, None, None, None, None, -9.8, None, None, None
None, -11.4, 71.0, None, 1986-11-27 03:00:00, -11.4, None, None, None, None, -9.8, None, None, None
None, -11.4, 71.0, None, 1986-11-27 04:00:00, -11.4, None, None, None, None, -9.8, None, None, None
None, -11.3, 71.0, None, 1986-11-27 05:00:00, -11.4, None, None, None, None, -9.8, None, None, None
None, -11.2, 71.0, None, 1986-11-27 06:00:00, -11.4, None, None, None, None, -9.8, None, None, None
None, -11.1, 71.0, None, 1986-11-27 07:00:00, -11.1, None, None, None, None, -11.1, None, None, None
None, -11.1, 71.0, None, 1986-11-27 08:00:00, -11.1, None, None, None, None, -11.1, None, None, None
None, -11.1, 71.0, None, 1986-11-27 09:00:00, -11.1, None, None, None, None, -11.1, None, None, None
None, -11.0, 70.0, None, 1986-11-27 10:00:00, -11.1, None, None, None, None, -11.0, None, None, None
None, -10.8, 70.0, None, 1986-11-27 11:00:00, -11.1, None, None, None, None, -10.8, None, None, None
None, -10.5, 69.0, None, 1986-11-27 12:00:00, -11.1, None, None, None, None, -10.5, None, None, None
None, -10.2, 68.0, None, 1986-11-27 13:00:00, -11.1, None, None, None, None, -10.2, None, None, None
None, -10.1, 68.0, None, 1986-11-27 14:00:00, -11.1, None, None, None, None, -10.1, None, None, None
None, -10.3, 69.0, None, 1986-11-27 15:00:00, -11.1, None, None, None, None, -10.1, None, None, None
None, -10.6, 69.0, None, 1986-11-27 16:00:00, -11.1, None, None, None, None, -10.1, None, None, None
None, -10.8, 70.0, None, 1986-11-27 17:00:00, -11.1, None, None, None, None, -10.1, None, None, None
None, -10.8, 70.0, None, 1986-11-27 18:00:00, -11.1, None, None, None, None, -10.1, None, None, None
None, -10.8, 70.0, None, 1986-11-27 19:00:00, -10.8, None, None, None, None, -10.8, None, None, None
None, -10.7, 70.0, None, 1986-11-27 20:00:00, -10.8, None, None, None, None, -10.7, None, None, None
None, -10.7, 70.0, None, 1986-11-27 21:00:00, -10.8, None, None, None, None, -10.7, None, None, None
None, -10.7, 70.0, None, 1986-11-27 22:00:00, -10.8, None, None, None, None, -10.7, None, None, None
None, -10.6, 69.0, None, 1986-11-27 23:00:00, -10.8, None, None, None, None, -10.6, None, None, None
None, -10.5, 69.0, None, 1986-11-28 00:00:00, -10.8, None, None, None, None, -10.5, None, None, None
None, -10.5, 69.0, None, 1986-11-28 01:00:00, -10.8, None, None, None, None, -10.5, None, None, None
None, -10.6, 69.0, None, 1986-11-28 02:00:00, -10.8, None, None, None, None, -10.5, None, None, None
None, -11.1, 70.0, None, 1986-11-28 03:00:00, -11.1, None, None, None, None, -10.5, None, None, None
None, -11.6, 72.0, None, 1986-11-28 04:00:00, -11.6, None, None, None, None, -10.5, None, None, None
None, -12.2, 73.0, None, 1986-11-28 05:00:00, -12.2, None, None, None, None, -10.5, None, None, None
None, -12.8, 74.0, None, 1986-11-28 06:00:00, -12.8, None, None, None, None, -10.5, None, None, None
None, -13.2, 75.0, None, 1986-11-28 07:00:00, -13.2, None, None, None, None, -13.2, None, None, None
None, -13.5, 76.0, None, 1986-11-28 08:00:00, -13.5, None, None, None, None, -13.2, None, None, None
None, -13.7, 76.0, None, 1986-11-28 09:00:00, -13.7, None, None, None, None, -13.2, None, None, None
None, -13.8, 77.0, None, 1986-11-28 10:00:00, -13.8, None, None, None, None, -13.2, None, None, None
None, -13.5, 76.0, None, 1986-11-28 11:00:00, -13.8, None, None, None, None, -13.2, None, None, None
None, -13.4, 75.0, None, 1986-11-28 12:00:00, -13.8, None, None, None, None, -13.2, None, None, None
None, -13.3, 75.0, None, 1986-11-28 13:00:00, -13.8, None, None, None, None, -13.2, None, None, None
None, -12.9, 74.0, None, 1986-11-28 14:00:00, -13.8, None, None, None, None, -12.9, None, None, None
None, -12.7, 74.0, None, 1986-11-28 15:00:00, -13.8, None, None, None, None, -12.7, None, None, None
None, -12.8, 74.0, None, 1986-11-28 16:00:00, -13.8, None, None, None, None, -12.7, None, None, None
None, -13.0, 74.0, None, 1986-11-28 17:00:00, -13.8, None, None, None, None, -12.7, None, None, None
None, -12.8, 74.0, None, 1986-11-28 18:00:00, -13.8, None, None, None, None, -12.7, None, None, None
None, -12.5, 73.0, None, 1986-11-28 19:00:00, -12.5, None, None, None, None, -12.5, None, None, None
None, -12.1, 73.0, None, 1986-11-28 20:00:00, -12.5, None, None, None, None, -12.1, None, None, None
None, -11.6, 71.0, None, 1986-11-28 21:00:00, -12.5, None, None, None, None, -11.6, None, None, None
None, -11.3, 71.0, None, 1986-11-28 22:00:00, -12.5, None, None, None, None, -11.3, None, None, None
None, -10.7, 69.0, None, 1986-11-28 23:00:00, -12.5, None, None, None, None, -10.7, None, None, None
None, -10.2, 68.0, None, 1986-11-29 00:00:00, -12.5, None, None, None, None, -10.2, None, None, None
None, -9.8, 67.0, None, 1986-11-29 01:00:00, -12.5, None, None, None, None, -9.8, None, None, None
None, -9.4, 66.0, None, 1986-11-29 02:00:00, -12.5, None, None, None, None, -9.4, None, None, None
None, -9.0, 66.0, None, 1986-11-29 03:00:00, -12.5, None, None, None, None, -9.0, None, None, None
None, -8.6, 65.0, None, 1986-11-29 04:00:00, -12.5, None, None, None, None, -8.6, None, None, None
None, -8.5, 65.0, None, 1986-11-29 05:00:00, -12.5, None, None, None, None, -8.5, None, None, None
None, -8.4, 64.0, None, 1986-11-29 06:00:00, -12.5, None, None, None, None, -8.4, None, None, None
None, -8.2, 64.0, None, 1986-11-29 07:00:00, -8.2, None, None, None, None, -8.2, None, None, None
None, -8.0, 64.0, None, 1986-11-29 08:00:00, -8.2, None, None, None, None, -8.0, None, None, None
None, -7.9, 64.0, None, 1986-11-29 09:00:00, -8.2, None, None, None, None, -7.9, None, None, None
None, -7.8, 63.0, None, 1986-11-29 10:00:00, -8.2, None, None, None, None, -7.8, None, None, None
None, -7.5, 63.0, None, 1986-11-29 11:00:00, -8.2, None, None, None, None, -7.5, None, None, None
None, -7.3, 62.0, None, 1986-11-29 12:00:00, -8.2, None, None, None, None, -7.3, None, None, None
None, -7.1, 62.0, None, 1986-11-29 13:00:00, -8.2, None, None, None, None, -7.1, None, None, None
None, -7.1, 62.0, None, 1986-11-29 14:00:00, -8.2, None, None, None, None, -7.1, None, None, None
None, -7.2, 62.0, None, 1986-11-29 15:00:00, -8.2, None, None, None, None, -7.1, None, None, None
None, -7.5, 63.0, None, 1986-11-29 16:00:00, -8.2, None, None, None, None, -7.1, None, None, None
None, -7.8, 64.0, None, 1986-11-29 17:00:00, -8.2, None, None, None, None, -7.1, None, None, None
None, -8.1, 64.0, None, 1986-11-29 18:00:00, -8.2, None, None, None, None, -7.1, None, None, None
None, -8.6, 65.0, None, 1986-11-29 19:00:00, -8.6, None, None, None, None, -8.6, None, None, None
None, -9.0, 66.0, None, 1986-11-29 20:00:00, -9.0, None, None, None, None, -8.6, None, None, None
None, -9.1, 66.0, None, 1986-11-29 21:00:00, -9.1, None, None, None, None, -8.6, None, None, None
None, -9.0, None, None, 1986-11-29 22:00:00, -9.1, None, None, None, None, -8.6, None, None, None
None, -9.0, 66.0, None, 1986-11-29 23:00:00, -9.1, None, None, None, None, -8.6, None, None, None
None, -9.2, 67.0, None, 1986-11-30 00:00:00, -9.2, None, None, None, None, -8.6, None, None, None
None, -9.3, 67.0, None, 1986-11-30 01:00:00, -9.3, None, None, None, None, -8.6, None, None, None
